group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_left_shift,,2,2,bytes,2050945.0,ns,32
cost_bitwise_left_shift,,2,2,bytes,4005171.0,ns,64
cost_bitwise_left_shift,,2,2,bytes,6022343.0,ns,96
cost_bitwise_left_shift,,2,2,bytes,8079648.0,ns,128
cost_bitwise_left_shift,,2,2,bytes,10075900.0,ns,160
cost_bitwise_left_shift,,2,2,bytes,12189249.0,ns,192
cost_bitwise_left_shift,,2,2,bytes,14167592.0,ns,224
cost_bitwise_left_shift,,2,2,bytes,16070233.0,ns,256
cost_bitwise_left_shift,,2,2,bytes,18095534.0,ns,288
cost_bitwise_left_shift,,2,2,bytes,20237124.0,ns,320
cost_bitwise_left_shift,,2,2,bytes,22080571.0,ns,352
cost_bitwise_left_shift,,2,2,bytes,24070092.0,ns,384
cost_bitwise_left_shift,,2,2,bytes,26079875.0,ns,416
cost_bitwise_left_shift,,2,2,bytes,28154844.0,ns,448
cost_bitwise_left_shift,,2,2,bytes,30062522.0,ns,480
cost_bitwise_left_shift,,2,2,bytes,32050665.0,ns,512
cost_bitwise_left_shift,,2,2,bytes,34065222.0,ns,544
cost_bitwise_left_shift,,2,2,bytes,36060619.0,ns,576
cost_bitwise_left_shift,,2,2,bytes,38040625.0,ns,608
cost_bitwise_left_shift,,2,2,bytes,40052232.0,ns,640
cost_bitwise_left_shift,,2,2,bytes,42015455.0,ns,672
cost_bitwise_left_shift,,2,2,bytes,44040328.0,ns,704
cost_bitwise_left_shift,,2,2,bytes,46068279.0,ns,736
cost_bitwise_left_shift,,2,2,bytes,48084007.0,ns,768
cost_bitwise_left_shift,,2,2,bytes,51487478.0,ns,800
cost_bitwise_left_shift,,2,2,bytes,52179810.0,ns,832
cost_bitwise_left_shift,,2,2,bytes,54364160.0,ns,864
cost_bitwise_left_shift,,2,2,bytes,56221208.0,ns,896
cost_bitwise_left_shift,,2,2,bytes,58159699.0,ns,928
cost_bitwise_left_shift,,2,2,bytes,60161094.0,ns,960
cost_bitwise_left_shift,,2,2,bytes,62184914.0,ns,992
cost_bitwise_left_shift,,2,2,bytes,64150341.0,ns,1024
cost_bitwise_left_shift,,2,2,bytes,66165444.0,ns,1056
cost_bitwise_left_shift,,2,2,bytes,69635186.0,ns,1088
cost_bitwise_left_shift,,2,2,bytes,70178876.0,ns,1120
cost_bitwise_left_shift,,2,2,bytes,72156754.0,ns,1152
cost_bitwise_left_shift,,2,2,bytes,74122782.0,ns,1184
cost_bitwise_left_shift,,2,2,bytes,76143378.0,ns,1216
cost_bitwise_left_shift,,2,2,bytes,78170346.0,ns,1248
cost_bitwise_left_shift,,2,2,bytes,80298738.0,ns,1280
cost_bitwise_left_shift,,2,2,bytes,82212789.0,ns,1312
cost_bitwise_left_shift,,2,2,bytes,84509469.0,ns,1344
cost_bitwise_left_shift,,2,2,bytes,86462686.0,ns,1376
cost_bitwise_left_shift,,2,2,bytes,88703254.0,ns,1408
cost_bitwise_left_shift,,2,2,bytes,90264780.0,ns,1440
cost_bitwise_left_shift,,2,2,bytes,92181815.0,ns,1472
cost_bitwise_left_shift,,2,2,bytes,94198976.0,ns,1504
cost_bitwise_left_shift,,2,2,bytes,96207966.0,ns,1536
cost_bitwise_left_shift,,2,2,bytes,98340720.0,ns,1568
cost_bitwise_left_shift,,2,2,bytes,100421937.0,ns,1600
cost_bitwise_left_shift,,2,2,bytes,102218860.0,ns,1632
cost_bitwise_left_shift,,2,2,bytes,104583808.0,ns,1664
cost_bitwise_left_shift,,2,2,bytes,106883653.0,ns,1696
cost_bitwise_left_shift,,2,2,bytes,108881944.0,ns,1728
cost_bitwise_left_shift,,2,2,bytes,110824599.0,ns,1760
cost_bitwise_left_shift,,2,2,bytes,112826201.0,ns,1792
cost_bitwise_left_shift,,2,2,bytes,114689656.0,ns,1824
cost_bitwise_left_shift,,2,2,bytes,116389262.0,ns,1856
cost_bitwise_left_shift,,2,2,bytes,118229946.0,ns,1888
cost_bitwise_left_shift,,2,2,bytes,120345450.0,ns,1920
cost_bitwise_left_shift,,2,2,bytes,122444322.0,ns,1952
cost_bitwise_left_shift,,2,2,bytes,125004420.0,ns,1984
cost_bitwise_left_shift,,2,2,bytes,126487201.0,ns,2016
cost_bitwise_left_shift,,2,2,bytes,128417176.0,ns,2048
cost_bitwise_left_shift,,2,2,bytes,130358144.0,ns,2080
cost_bitwise_left_shift,,2,2,bytes,132345851.0,ns,2112
cost_bitwise_left_shift,,2,2,bytes,134383241.0,ns,2144
cost_bitwise_left_shift,,2,2,bytes,136770687.0,ns,2176
cost_bitwise_left_shift,,2,2,bytes,138682082.0,ns,2208
cost_bitwise_left_shift,,2,2,bytes,141415439.0,ns,2240
cost_bitwise_left_shift,,2,2,bytes,143082088.0,ns,2272
cost_bitwise_left_shift,,2,2,bytes,145315380.0,ns,2304
cost_bitwise_left_shift,,2,2,bytes,146486236.0,ns,2336
cost_bitwise_left_shift,,2,2,bytes,148422336.0,ns,2368
cost_bitwise_left_shift,,2,2,bytes,150446232.0,ns,2400
cost_bitwise_left_shift,,2,2,bytes,153134340.0,ns,2432
cost_bitwise_left_shift,,2,2,bytes,155026649.0,ns,2464
cost_bitwise_left_shift,,2,2,bytes,156708181.0,ns,2496
cost_bitwise_left_shift,,2,2,bytes,158702135.0,ns,2528
cost_bitwise_left_shift,,2,2,bytes,161045179.0,ns,2560
cost_bitwise_left_shift,,2,2,bytes,162388619.0,ns,2592
cost_bitwise_left_shift,,2,2,bytes,164425776.0,ns,2624
cost_bitwise_left_shift,,2,2,bytes,166266573.0,ns,2656
cost_bitwise_left_shift,,2,2,bytes,168504627.0,ns,2688
cost_bitwise_left_shift,,2,2,bytes,170871409.0,ns,2720
cost_bitwise_left_shift,,2,2,bytes,173890649.0,ns,2752
cost_bitwise_left_shift,,2,2,bytes,174996125.0,ns,2784
cost_bitwise_left_shift,,2,2,bytes,176819370.0,ns,2816
cost_bitwise_left_shift,,2,2,bytes,178614728.0,ns,2848
cost_bitwise_left_shift,,2,2,bytes,180471246.0,ns,2880
cost_bitwise_left_shift,,2,2,bytes,182364450.0,ns,2912
cost_bitwise_left_shift,,2,2,bytes,184363654.0,ns,2944
cost_bitwise_left_shift,,2,2,bytes,186891042.0,ns,2976
cost_bitwise_left_shift,,2,2,bytes,189271105.0,ns,3008
cost_bitwise_left_shift,,2,2,bytes,190908879.0,ns,3040
cost_bitwise_left_shift,,2,2,bytes,193379178.0,ns,3072
cost_bitwise_left_shift,,2,2,bytes,194328845.0,ns,3104
cost_bitwise_left_shift,,2,2,bytes,196690348.0,ns,3136
cost_bitwise_left_shift,,2,2,bytes,198859778.0,ns,3168
cost_bitwise_left_shift,,2,2,bytes,200799885.0,ns,3200
