group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_not,,1,1,bytes,2227307.0,ns,51
cost_bitwise_not,,1,1,bytes,4013818.0,ns,102
cost_bitwise_not,,1,1,bytes,6066703.0,ns,153
cost_bitwise_not,,1,1,bytes,8006617.0,ns,204
cost_bitwise_not,,1,1,bytes,10076395.0,ns,255
cost_bitwise_not,,1,1,bytes,11984134.0,ns,306
cost_bitwise_not,,1,1,bytes,14010440.0,ns,357
cost_bitwise_not,,1,1,bytes,15981704.0,ns,408
cost_bitwise_not,,1,1,bytes,17979167.0,ns,459
cost_bitwise_not,,1,1,bytes,19968419.0,ns,510
cost_bitwise_not,,1,1,bytes,21958277.0,ns,561
cost_bitwise_not,,1,1,bytes,23985784.0,ns,612
cost_bitwise_not,,1,1,bytes,25955242.0,ns,663
cost_bitwise_not,,1,1,bytes,27935706.0,ns,714
cost_bitwise_not,,1,1,bytes,29936682.0,ns,765
cost_bitwise_not,,1,1,bytes,31919979.0,ns,816
cost_bitwise_not,,1,1,bytes,33935999.0,ns,867
cost_bitwise_not,,1,1,bytes,35922642.0,ns,918
cost_bitwise_not,,1,1,bytes,37903964.0,ns,969
cost_bitwise_not,,1,1,bytes,39917727.0,ns,1020
cost_bitwise_not,,1,1,bytes,41915949.0,ns,1071
cost_bitwise_not,,1,1,bytes,43911417.0,ns,1122
cost_bitwise_not,,1,1,bytes,45895929.0,ns,1173
cost_bitwise_not,,1,1,bytes,47895638.0,ns,1224
cost_bitwise_not,,1,1,bytes,49901687.0,ns,1275
cost_bitwise_not,,1,1,bytes,51957275.0,ns,1326
cost_bitwise_not,,1,1,bytes,53893739.0,ns,1377
cost_bitwise_not,,1,1,bytes,55896184.0,ns,1428
cost_bitwise_not,,1,1,bytes,57911885.0,ns,1479
cost_bitwise_not,,1,1,bytes,59904097.0,ns,1530
cost_bitwise_not,,1,1,bytes,62579953.0,ns,1581
cost_bitwise_not,,1,1,bytes,63882218.0,ns,1632
cost_bitwise_not,,1,1,bytes,65885100.0,ns,1683
cost_bitwise_not,,1,1,bytes,67832399.0,ns,1734
cost_bitwise_not,,1,1,bytes,69916585.0,ns,1785
cost_bitwise_not,,1,1,bytes,72773822.0,ns,1836
cost_bitwise_not,,1,1,bytes,73863486.0,ns,1887
cost_bitwise_not,,1,1,bytes,75835174.0,ns,1938
cost_bitwise_not,,1,1,bytes,77831008.0,ns,1989
cost_bitwise_not,,1,1,bytes,79852476.0,ns,2040
cost_bitwise_not,,1,1,bytes,81895524.0,ns,2091
cost_bitwise_not,,1,1,bytes,83850728.0,ns,2142
cost_bitwise_not,,1,1,bytes,85848215.0,ns,2193
cost_bitwise_not,,1,1,bytes,88102450.0,ns,2244
cost_bitwise_not,,1,1,bytes,90058765.0,ns,2295
cost_bitwise_not,,1,1,bytes,91871272.0,ns,2346
cost_bitwise_not,,1,1,bytes,93839719.0,ns,2397
cost_bitwise_not,,1,1,bytes,95860052.0,ns,2448
cost_bitwise_not,,1,1,bytes,97866929.0,ns,2499
cost_bitwise_not,,1,1,bytes,99815849.0,ns,2550
cost_bitwise_not,,1,1,bytes,101818459.0,ns,2601
cost_bitwise_not,,1,1,bytes,103815480.0,ns,2652
cost_bitwise_not,,1,1,bytes,105797480.0,ns,2703
cost_bitwise_not,,1,1,bytes,107828772.0,ns,2754
cost_bitwise_not,,1,1,bytes,109813314.0,ns,2805
cost_bitwise_not,,1,1,bytes,111788588.0,ns,2856
cost_bitwise_not,,1,1,bytes,113774781.0,ns,2907
cost_bitwise_not,,1,1,bytes,115772839.0,ns,2958
cost_bitwise_not,,1,1,bytes,117791160.0,ns,3009
cost_bitwise_not,,1,1,bytes,119772393.0,ns,3060
cost_bitwise_not,,1,1,bytes,121860597.0,ns,3111
cost_bitwise_not,,1,1,bytes,123789211.0,ns,3162
cost_bitwise_not,,1,1,bytes,126052264.0,ns,3213
cost_bitwise_not,,1,1,bytes,127936277.0,ns,3264
cost_bitwise_not,,1,1,bytes,129750130.0,ns,3315
cost_bitwise_not,,1,1,bytes,131741194.0,ns,3366
cost_bitwise_not,,1,1,bytes,133728298.0,ns,3417
cost_bitwise_not,,1,1,bytes,135757800.0,ns,3468
cost_bitwise_not,,1,1,bytes,137848430.0,ns,3519
cost_bitwise_not,,1,1,bytes,139911695.0,ns,3570
cost_bitwise_not,,1,1,bytes,141753535.0,ns,3621
cost_bitwise_not,,1,1,bytes,143725445.0,ns,3672
cost_bitwise_not,,1,1,bytes,146460095.0,ns,3723
cost_bitwise_not,,1,1,bytes,147721656.0,ns,3774
cost_bitwise_not,,1,1,bytes,149701322.0,ns,3825
cost_bitwise_not,,1,1,bytes,151769558.0,ns,3876
cost_bitwise_not,,1,1,bytes,153779148.0,ns,3927
cost_bitwise_not,,1,1,bytes,156224466.0,ns,3978
cost_bitwise_not,,1,1,bytes,158458708.0,ns,4029
cost_bitwise_not,,1,1,bytes,159849059.0,ns,4080
cost_bitwise_not,,1,1,bytes,161669824.0,ns,4131
cost_bitwise_not,,1,1,bytes,164054328.0,ns,4182
cost_bitwise_not,,1,1,bytes,165727112.0,ns,4233
cost_bitwise_not,,1,1,bytes,168155686.0,ns,4284
