group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_or,,4,4,bytes,2034712.0,ns,28
cost_bitwise_or,,4,4,bytes,3954588.0,ns,56
cost_bitwise_or,,4,4,bytes,5877011.0,ns,84
cost_bitwise_or,,4,4,bytes,7859905.0,ns,112
cost_bitwise_or,,4,4,bytes,9793276.0,ns,140
cost_bitwise_or,,4,4,bytes,11738681.0,ns,168
cost_bitwise_or,,4,4,bytes,13702181.0,ns,196
cost_bitwise_or,,4,4,bytes,15697681.0,ns,224
cost_bitwise_or,,4,4,bytes,17646446.0,ns,252
cost_bitwise_or,,4,4,bytes,19577626.0,ns,280
cost_bitwise_or,,4,4,bytes,21708355.0,ns,308
cost_bitwise_or,,4,4,bytes,23848892.0,ns,336
cost_bitwise_or,,4,4,bytes,25739649.0,ns,364
cost_bitwise_or,,4,4,bytes,27487854.0,ns,392
cost_bitwise_or,,4,4,bytes,29374836.0,ns,420
cost_bitwise_or,,4,4,bytes,31329015.0,ns,448
cost_bitwise_or,,4,4,bytes,33332410.0,ns,476
cost_bitwise_or,,4,4,bytes,35624186.0,ns,504
cost_bitwise_or,,4,4,bytes,37280424.0,ns,532
cost_bitwise_or,,4,4,bytes,39514052.0,ns,560
cost_bitwise_or,,4,4,bytes,41175098.0,ns,588
cost_bitwise_or,,4,4,bytes,43111251.0,ns,616
cost_bitwise_or,,4,4,bytes,45423806.0,ns,644
cost_bitwise_or,,4,4,bytes,47364043.0,ns,672
cost_bitwise_or,,4,4,bytes,49407345.0,ns,700
cost_bitwise_or,,4,4,bytes,51454783.0,ns,728
cost_bitwise_or,,4,4,bytes,53388094.0,ns,756
cost_bitwise_or,,4,4,bytes,55425068.0,ns,784
cost_bitwise_or,,4,4,bytes,57414704.0,ns,812
cost_bitwise_or,,4,4,bytes,58780839.0,ns,840
cost_bitwise_or,,4,4,bytes,60743159.0,ns,868
cost_bitwise_or,,4,4,bytes,62665445.0,ns,896
cost_bitwise_or,,4,4,bytes,64617005.0,ns,924
cost_bitwise_or,,4,4,bytes,66638448.0,ns,952
cost_bitwise_or,,4,4,bytes,68622001.0,ns,980
cost_bitwise_or,,4,4,bytes,70525931.0,ns,1008
cost_bitwise_or,,4,4,bytes,72507467.0,ns,1036
cost_bitwise_or,,4,4,bytes,74628948.0,ns,1064
cost_bitwise_or,,4,4,bytes,77201461.0,ns,1092
cost_bitwise_or,,4,4,bytes,78491436.0,ns,1120
cost_bitwise_or,,4,4,bytes,81345567.0,ns,1148
cost_bitwise_or,,4,4,bytes,82516374.0,ns,1176
cost_bitwise_or,,4,4,bytes,84392619.0,ns,1204
cost_bitwise_or,,4,4,bytes,86268254.0,ns,1232
cost_bitwise_or,,4,4,bytes,88063363.0,ns,1260
cost_bitwise_or,,4,4,bytes,90117461.0,ns,1288
cost_bitwise_or,,4,4,bytes,92110524.0,ns,1316
cost_bitwise_or,,4,4,bytes,94023481.0,ns,1344
cost_bitwise_or,,4,4,bytes,96817589.0,ns,1372
cost_bitwise_or,,4,4,bytes,98248385.0,ns,1400
cost_bitwise_or,,4,4,bytes,99960131.0,ns,1428
cost_bitwise_or,,4,4,bytes,101973869.0,ns,1456
cost_bitwise_or,,4,4,bytes,104116198.0,ns,1484
