group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_or,,8,8,bytes,2146255.0,ns,20
cost_bitwise_or,,8,8,bytes,4157433.0,ns,40
cost_bitwise_or,,8,8,bytes,6207294.0,ns,60
cost_bitwise_or,,8,8,bytes,8282995.0,ns,80
cost_bitwise_or,,8,8,bytes,10374646.0,ns,100
cost_bitwise_or,,8,8,bytes,12412302.0,ns,120
cost_bitwise_or,,8,8,bytes,14515472.0,ns,140
cost_bitwise_or,,8,8,bytes,16554521.0,ns,160
cost_bitwise_or,,8,8,bytes,18620634.0,ns,180
cost_bitwise_or,,8,8,bytes,20728356.0,ns,200
cost_bitwise_or,,8,8,bytes,22911136.0,ns,220
cost_bitwise_or,,8,8,bytes,24954830.0,ns,240
cost_bitwise_or,,8,8,bytes,26994486.0,ns,260
cost_bitwise_or,,8,8,bytes,28978790.0,ns,280
cost_bitwise_or,,8,8,bytes,31182350.0,ns,300
cost_bitwise_or,,8,8,bytes,33214530.0,ns,320
cost_bitwise_or,,8,8,bytes,35220636.0,ns,340
cost_bitwise_or,,8,8,bytes,37215415.0,ns,360
cost_bitwise_or,,8,8,bytes,39403232.0,ns,380
cost_bitwise_or,,8,8,bytes,41356748.0,ns,400
cost_bitwise_or,,8,8,bytes,43447280.0,ns,420
cost_bitwise_or,,8,8,bytes,45810562.0,ns,440
cost_bitwise_or,,8,8,bytes,47853376.0,ns,460
cost_bitwise_or,,8,8,bytes,49986710.0,ns,480
cost_bitwise_or,,8,8,bytes,52250226.0,ns,500
cost_bitwise_or,,8,8,bytes,54373477.0,ns,520
cost_bitwise_or,,8,8,bytes,56409923.0,ns,540
cost_bitwise_or,,8,8,bytes,57951912.0,ns,560
cost_bitwise_or,,8,8,bytes,60151930.0,ns,580
cost_bitwise_or,,8,8,bytes,62216285.0,ns,600
cost_bitwise_or,,8,8,bytes,64186008.0,ns,620
cost_bitwise_or,,8,8,bytes,66305928.0,ns,640
cost_bitwise_or,,8,8,bytes,69039732.0,ns,660
cost_bitwise_or,,8,8,bytes,70784300.0,ns,680
cost_bitwise_or,,8,8,bytes,72843972.0,ns,700
cost_bitwise_or,,8,8,bytes,74853511.0,ns,720
cost_bitwise_or,,8,8,bytes,76613347.0,ns,740
cost_bitwise_or,,8,8,bytes,78723269.0,ns,760
cost_bitwise_or,,8,8,bytes,80802090.0,ns,780
cost_bitwise_or,,8,8,bytes,82704152.0,ns,800
cost_bitwise_or,,8,8,bytes,85111527.0,ns,820
cost_bitwise_or,,8,8,bytes,87168211.0,ns,840
cost_bitwise_or,,8,8,bytes,89914725.0,ns,860
cost_bitwise_or,,8,8,bytes,91267954.0,ns,880
cost_bitwise_or,,8,8,bytes,93193459.0,ns,900
cost_bitwise_or,,8,8,bytes,95484244.0,ns,920
cost_bitwise_or,,8,8,bytes,97342805.0,ns,940
cost_bitwise_or,,8,8,bytes,99521014.0,ns,960
cost_bitwise_or,,8,8,bytes,101690211.0,ns,980
cost_bitwise_or,,8,8,bytes,104146647.0,ns,1000
cost_bitwise_or,,8,8,bytes,106775809.0,ns,1020
cost_bitwise_or,,8,8,bytes,108607136.0,ns,1040
cost_bitwise_or,,8,8,bytes,109949031.0,ns,1060
cost_bitwise_or,,8,8,bytes,111712477.0,ns,1080
cost_bitwise_or,,8,8,bytes,113943815.0,ns,1100
cost_bitwise_or,,8,8,bytes,115809641.0,ns,1120
cost_bitwise_or,,8,8,bytes,117912971.0,ns,1140
cost_bitwise_or,,8,8,bytes,120111952.0,ns,1160
cost_bitwise_or,,8,8,bytes,122360028.0,ns,1180
cost_bitwise_or,,8,8,bytes,125387223.0,ns,1200
cost_bitwise_or,,8,8,bytes,126349785.0,ns,1220
cost_bitwise_or,,8,8,bytes,128764365.0,ns,1240
cost_bitwise_or,,8,8,bytes,130526140.0,ns,1260
cost_bitwise_or,,8,8,bytes,132513137.0,ns,1280
cost_bitwise_or,,8,8,bytes,134703434.0,ns,1300
cost_bitwise_or,,8,8,bytes,136654701.0,ns,1320
cost_bitwise_or,,8,8,bytes,141074722.0,ns,1340
cost_bitwise_or,,8,8,bytes,141865031.0,ns,1360
cost_bitwise_or,,8,8,bytes,144526425.0,ns,1380
cost_bitwise_or,,8,8,bytes,145787179.0,ns,1400
cost_bitwise_or,,8,8,bytes,148552917.0,ns,1420
cost_bitwise_or,,8,8,bytes,149947844.0,ns,1440
cost_bitwise_or,,8,8,bytes,152621312.0,ns,1460
cost_bitwise_or,,8,8,bytes,154216250.0,ns,1480
cost_bitwise_or,,8,8,bytes,155639418.0,ns,1500
cost_bitwise_or,,8,8,bytes,158396068.0,ns,1520
cost_bitwise_or,,8,8,bytes,159634225.0,ns,1540
cost_bitwise_or,,8,8,bytes,162315761.0,ns,1560
cost_bitwise_or,,8,8,bytes,164402728.0,ns,1580
cost_bitwise_or,,8,8,bytes,166459335.0,ns,1600
cost_bitwise_or,,8,8,bytes,168674634.0,ns,1620
cost_bitwise_or,,8,8,bytes,170578059.0,ns,1640
cost_bitwise_or,,8,8,bytes,173564696.0,ns,1660
cost_bitwise_or,,8,8,bytes,175285628.0,ns,1680
cost_bitwise_or,,8,8,bytes,177409603.0,ns,1700
cost_bitwise_or,,8,8,bytes,178450397.0,ns,1720
cost_bitwise_or,,8,8,bytes,180918301.0,ns,1740
cost_bitwise_or,,8,8,bytes,182861056.0,ns,1760
cost_bitwise_or,,8,8,bytes,185299582.0,ns,1780
cost_bitwise_or,,8,8,bytes,187905187.0,ns,1800
cost_bitwise_or,,8,8,bytes,189731246.0,ns,1820
cost_bitwise_or,,8,8,bytes,190639223.0,ns,1840
cost_bitwise_or,,8,8,bytes,192836671.0,ns,1860
cost_bitwise_or,,8,8,bytes,194526294.0,ns,1880
cost_bitwise_or,,8,8,bytes,198268214.0,ns,1900
cost_bitwise_or,,8,8,bytes,200110248.0,ns,1920
cost_bitwise_or,,8,8,bytes,202114339.0,ns,1940
cost_bitwise_or,,8,8,bytes,204008542.0,ns,1960
cost_bitwise_or,,8,8,bytes,206496789.0,ns,1980
cost_bitwise_or,,8,8,bytes,207872162.0,ns,2000
