group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_right_shift,,2,2,bytes,2068040.0,ns,31
cost_bitwise_right_shift,,2,2,bytes,3968921.0,ns,62
cost_bitwise_right_shift,,2,2,bytes,5890848.0,ns,93
cost_bitwise_right_shift,,2,2,bytes,7849047.0,ns,124
cost_bitwise_right_shift,,2,2,bytes,9798170.0,ns,155
cost_bitwise_right_shift,,2,2,bytes,11738074.0,ns,186
cost_bitwise_right_shift,,2,2,bytes,13710495.0,ns,217
cost_bitwise_right_shift,,2,2,bytes,15660522.0,ns,248
cost_bitwise_right_shift,,2,2,bytes,17605846.0,ns,279
cost_bitwise_right_shift,,2,2,bytes,19603914.0,ns,310
cost_bitwise_right_shift,,2,2,bytes,21529583.0,ns,341
cost_bitwise_right_shift,,2,2,bytes,23442105.0,ns,372
cost_bitwise_right_shift,,2,2,bytes,24972632.0,ns,403
cost_bitwise_right_shift,,2,2,bytes,27655357.0,ns,434
cost_bitwise_right_shift,,2,2,bytes,29681345.0,ns,465
cost_bitwise_right_shift,,2,2,bytes,31304753.0,ns,496
cost_bitwise_right_shift,,2,2,bytes,33266172.0,ns,527
cost_bitwise_right_shift,,2,2,bytes,35281961.0,ns,558
cost_bitwise_right_shift,,2,2,bytes,37426478.0,ns,589
cost_bitwise_right_shift,,2,2,bytes,39451961.0,ns,620
cost_bitwise_right_shift,,2,2,bytes,41172411.0,ns,651
cost_bitwise_right_shift,,2,2,bytes,43053859.0,ns,682
cost_bitwise_right_shift,,2,2,bytes,44994436.0,ns,713
cost_bitwise_right_shift,,2,2,bytes,46971586.0,ns,744
cost_bitwise_right_shift,,2,2,bytes,48923299.0,ns,775
cost_bitwise_right_shift,,2,2,bytes,50935199.0,ns,806
cost_bitwise_right_shift,,2,2,bytes,52845476.0,ns,837
cost_bitwise_right_shift,,2,2,bytes,54758577.0,ns,868
cost_bitwise_right_shift,,2,2,bytes,56717883.0,ns,899
cost_bitwise_right_shift,,2,2,bytes,58682528.0,ns,930
cost_bitwise_right_shift,,2,2,bytes,60605780.0,ns,961
cost_bitwise_right_shift,,2,2,bytes,62592810.0,ns,992
cost_bitwise_right_shift,,2,2,bytes,64519974.0,ns,1023
cost_bitwise_right_shift,,2,2,bytes,66525334.0,ns,1054
cost_bitwise_right_shift,,2,2,bytes,68443519.0,ns,1085
cost_bitwise_right_shift,,2,2,bytes,70433756.0,ns,1116
cost_bitwise_right_shift,,2,2,bytes,72651544.0,ns,1147
