group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_bitwise_right_shift,,2,2,bytes,2019065.0,ns,32
cost_bitwise_right_shift,,2,2,bytes,4037071.0,ns,64
cost_bitwise_right_shift,,2,2,bytes,6072820.0,ns,96
cost_bitwise_right_shift,,2,2,bytes,8114577.0,ns,128
cost_bitwise_right_shift,,2,2,bytes,10098995.0,ns,160
cost_bitwise_right_shift,,2,2,bytes,12106299.0,ns,192
cost_bitwise_right_shift,,2,2,bytes,14119463.0,ns,224
cost_bitwise_right_shift,,2,2,bytes,16219058.0,ns,256
cost_bitwise_right_shift,,2,2,bytes,18223826.0,ns,288
cost_bitwise_right_shift,,2,2,bytes,20209587.0,ns,320
cost_bitwise_right_shift,,2,2,bytes,22224585.0,ns,352
cost_bitwise_right_shift,,2,2,bytes,24238818.0,ns,384
cost_bitwise_right_shift,,2,2,bytes,26246113.0,ns,416
cost_bitwise_right_shift,,2,2,bytes,28420355.0,ns,448
cost_bitwise_right_shift,,2,2,bytes,30347597.0,ns,480
cost_bitwise_right_shift,,2,2,bytes,32330722.0,ns,512
cost_bitwise_right_shift,,2,2,bytes,34358499.0,ns,544
cost_bitwise_right_shift,,2,2,bytes,36406233.0,ns,576
cost_bitwise_right_shift,,2,2,bytes,38502093.0,ns,608
cost_bitwise_right_shift,,2,2,bytes,40402098.0,ns,640
cost_bitwise_right_shift,,2,2,bytes,43003171.0,ns,672
cost_bitwise_right_shift,,2,2,bytes,44692738.0,ns,704
cost_bitwise_right_shift,,2,2,bytes,46473476.0,ns,736
cost_bitwise_right_shift,,2,2,bytes,48501622.0,ns,768
cost_bitwise_right_shift,,2,2,bytes,50492988.0,ns,800
cost_bitwise_right_shift,,2,2,bytes,52500492.0,ns,832
cost_bitwise_right_shift,,2,2,bytes,54559936.0,ns,864
cost_bitwise_right_shift,,2,2,bytes,56532945.0,ns,896
cost_bitwise_right_shift,,2,2,bytes,58506409.0,ns,928
cost_bitwise_right_shift,,2,2,bytes,60574029.0,ns,960
cost_bitwise_right_shift,,2,2,bytes,62566955.0,ns,992
cost_bitwise_right_shift,,2,2,bytes,64596331.0,ns,1024
cost_bitwise_right_shift,,2,2,bytes,66620852.0,ns,1056
cost_bitwise_right_shift,,2,2,bytes,68615048.0,ns,1088
cost_bitwise_right_shift,,2,2,bytes,70647951.0,ns,1120
cost_bitwise_right_shift,,2,2,bytes,72762397.0,ns,1152
cost_bitwise_right_shift,,2,2,bytes,74831147.0,ns,1184
cost_bitwise_right_shift,,2,2,bytes,76436679.0,ns,1216
cost_bitwise_right_shift,,2,2,bytes,78320627.0,ns,1248
cost_bitwise_right_shift,,2,2,bytes,80336089.0,ns,1280
cost_bitwise_right_shift,,2,2,bytes,82367627.0,ns,1312
cost_bitwise_right_shift,,2,2,bytes,84380283.0,ns,1344
cost_bitwise_right_shift,,2,2,bytes,86400151.0,ns,1376
cost_bitwise_right_shift,,2,2,bytes,88619366.0,ns,1408
cost_bitwise_right_shift,,2,2,bytes,90926864.0,ns,1440
cost_bitwise_right_shift,,2,2,bytes,93023728.0,ns,1472
cost_bitwise_right_shift,,2,2,bytes,95118215.0,ns,1504
cost_bitwise_right_shift,,2,2,bytes,97163613.0,ns,1536
cost_bitwise_right_shift,,2,2,bytes,98960752.0,ns,1568
cost_bitwise_right_shift,,2,2,bytes,100926326.0,ns,1600
cost_bitwise_right_shift,,2,2,bytes,103073580.0,ns,1632
cost_bitwise_right_shift,,2,2,bytes,105737771.0,ns,1664
cost_bitwise_right_shift,,2,2,bytes,107068434.0,ns,1696
cost_bitwise_right_shift,,2,2,bytes,109133076.0,ns,1728
cost_bitwise_right_shift,,2,2,bytes,111167973.0,ns,1760
cost_bitwise_right_shift,,2,2,bytes,113164474.0,ns,1792
cost_bitwise_right_shift,,2,2,bytes,115179404.0,ns,1824
cost_bitwise_right_shift,,2,2,bytes,117669763.0,ns,1856
cost_bitwise_right_shift,,2,2,bytes,118775523.0,ns,1888
cost_bitwise_right_shift,,2,2,bytes,120579907.0,ns,1920
cost_bitwise_right_shift,,2,2,bytes,122690244.0,ns,1952
cost_bitwise_right_shift,,2,2,bytes,124437137.0,ns,1984
cost_bitwise_right_shift,,2,2,bytes,126493672.0,ns,2016
cost_bitwise_right_shift,,2,2,bytes,128535806.0,ns,2048
cost_bitwise_right_shift,,2,2,bytes,130570959.0,ns,2080
cost_bitwise_right_shift,,2,2,bytes,132804140.0,ns,2112
cost_bitwise_right_shift,,2,2,bytes,134505543.0,ns,2144
cost_bitwise_right_shift,,2,2,bytes,136631674.0,ns,2176
cost_bitwise_right_shift,,2,2,bytes,138841602.0,ns,2208
cost_bitwise_right_shift,,2,2,bytes,140820225.0,ns,2240
cost_bitwise_right_shift,,2,2,bytes,143520097.0,ns,2272
cost_bitwise_right_shift,,2,2,bytes,145502185.0,ns,2304
cost_bitwise_right_shift,,2,2,bytes,147590576.0,ns,2336
cost_bitwise_right_shift,,2,2,bytes,149756743.0,ns,2368
cost_bitwise_right_shift,,2,2,bytes,150757604.0,ns,2400
cost_bitwise_right_shift,,2,2,bytes,152923947.0,ns,2432
cost_bitwise_right_shift,,2,2,bytes,155504402.0,ns,2464
cost_bitwise_right_shift,,2,2,bytes,157637609.0,ns,2496
cost_bitwise_right_shift,,2,2,bytes,159901368.0,ns,2528
cost_bitwise_right_shift,,2,2,bytes,161776304.0,ns,2560
cost_bitwise_right_shift,,2,2,bytes,162743489.0,ns,2592
cost_bitwise_right_shift,,2,2,bytes,165816580.0,ns,2624
cost_bitwise_right_shift,,2,2,bytes,166661221.0,ns,2656
cost_bitwise_right_shift,,2,2,bytes,168604542.0,ns,2688
cost_bitwise_right_shift,,2,2,bytes,170794099.0,ns,2720
cost_bitwise_right_shift,,2,2,bytes,172972418.0,ns,2752
cost_bitwise_right_shift,,2,2,bytes,175426403.0,ns,2784
cost_bitwise_right_shift,,2,2,bytes,177455763.0,ns,2816
cost_bitwise_right_shift,,2,2,bytes,179128592.0,ns,2848
cost_bitwise_right_shift,,2,2,bytes,180766083.0,ns,2880
cost_bitwise_right_shift,,2,2,bytes,183153992.0,ns,2912
cost_bitwise_right_shift,,2,2,bytes,185186913.0,ns,2944
cost_bitwise_right_shift,,2,2,bytes,187669003.0,ns,2976
cost_bitwise_right_shift,,2,2,bytes,190051571.0,ns,3008
cost_bitwise_right_shift,,2,2,bytes,191732387.0,ns,3040
cost_bitwise_right_shift,,2,2,bytes,194168238.0,ns,3072
cost_bitwise_right_shift,,2,2,bytes,194801932.0,ns,3104
cost_bitwise_right_shift,,2,2,bytes,196822378.0,ns,3136
cost_bitwise_right_shift,,2,2,bytes,199136865.0,ns,3168
cost_bitwise_right_shift,,2,2,bytes,200651294.0,ns,3200
