group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_buff_to_int_be,,1,1,bytes,2038334.0,ns,48
cost_buff_to_int_be,,1,1,bytes,3997716.0,ns,96
cost_buff_to_int_be,,1,1,bytes,5989947.0,ns,144
cost_buff_to_int_be,,1,1,bytes,7980173.0,ns,192
cost_buff_to_int_be,,1,1,bytes,9975131.0,ns,240
cost_buff_to_int_be,,1,1,bytes,11973810.0,ns,288
cost_buff_to_int_be,,1,1,bytes,13971239.0,ns,336
cost_buff_to_int_be,,1,1,bytes,15969520.0,ns,384
cost_buff_to_int_be,,1,1,bytes,17956902.0,ns,432
cost_buff_to_int_be,,1,1,bytes,19956873.0,ns,480
cost_buff_to_int_be,,1,1,bytes,21963179.0,ns,528
cost_buff_to_int_be,,1,1,bytes,24030540.0,ns,576
cost_buff_to_int_be,,1,1,bytes,25962193.0,ns,624
cost_buff_to_int_be,,1,1,bytes,27936532.0,ns,672
cost_buff_to_int_be,,1,1,bytes,29963123.0,ns,720
cost_buff_to_int_be,,1,1,bytes,31967566.0,ns,768
cost_buff_to_int_be,,1,1,bytes,33920913.0,ns,816
cost_buff_to_int_be,,1,1,bytes,36091485.0,ns,864
cost_buff_to_int_be,,1,1,bytes,37953247.0,ns,912
cost_buff_to_int_be,,1,1,bytes,39941349.0,ns,960
cost_buff_to_int_be,,1,1,bytes,42115911.0,ns,1008
cost_buff_to_int_be,,1,1,bytes,44286716.0,ns,1056
cost_buff_to_int_be,,1,1,bytes,45924242.0,ns,1104
cost_buff_to_int_be,,1,1,bytes,47941240.0,ns,1152
cost_buff_to_int_be,,1,1,bytes,49906547.0,ns,1200
cost_buff_to_int_be,,1,1,bytes,51916817.0,ns,1248
cost_buff_to_int_be,,1,1,bytes,53885319.0,ns,1296
cost_buff_to_int_be,,1,1,bytes,55896605.0,ns,1344
cost_buff_to_int_be,,1,1,bytes,57874196.0,ns,1392
cost_buff_to_int_be,,1,1,bytes,59895208.0,ns,1440
cost_buff_to_int_be,,1,1,bytes,61882433.0,ns,1488
cost_buff_to_int_be,,1,1,bytes,63865434.0,ns,1536
cost_buff_to_int_be,,1,1,bytes,65858449.0,ns,1584
cost_buff_to_int_be,,1,1,bytes,67914451.0,ns,1632
cost_buff_to_int_be,,1,1,bytes,69861067.0,ns,1680
cost_buff_to_int_be,,1,1,bytes,71853821.0,ns,1728
cost_buff_to_int_be,,1,1,bytes,73853746.0,ns,1776
cost_buff_to_int_be,,1,1,bytes,75959981.0,ns,1824
cost_buff_to_int_be,,1,1,bytes,77974617.0,ns,1872
cost_buff_to_int_be,,1,1,bytes,79862322.0,ns,1920
cost_buff_to_int_be,,1,1,bytes,81877925.0,ns,1968
cost_buff_to_int_be,,1,1,bytes,83837487.0,ns,2016
cost_buff_to_int_be,,1,1,bytes,85991026.0,ns,2064
cost_buff_to_int_be,,1,1,bytes,87803393.0,ns,2112
cost_buff_to_int_be,,1,1,bytes,89837513.0,ns,2160
cost_buff_to_int_be,,1,1,bytes,91799857.0,ns,2208
cost_buff_to_int_be,,1,1,bytes,93855444.0,ns,2256
cost_buff_to_int_be,,1,1,bytes,95823655.0,ns,2304
cost_buff_to_int_be,,1,1,bytes,97786044.0,ns,2352
