group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_buff_to_int_be,,1,1,bytes,2020315.0,ns,36
cost_buff_to_int_be,,1,1,bytes,4095908.0,ns,72
cost_buff_to_int_be,,1,1,bytes,6099457.0,ns,108
cost_buff_to_int_be,,1,1,bytes,8177166.0,ns,144
cost_buff_to_int_be,,1,1,bytes,10110335.0,ns,180
cost_buff_to_int_be,,1,1,bytes,12146672.0,ns,216
cost_buff_to_int_be,,1,1,bytes,14175722.0,ns,252
cost_buff_to_int_be,,1,1,bytes,16491074.0,ns,288
cost_buff_to_int_be,,1,1,bytes,18662034.0,ns,324
cost_buff_to_int_be,,1,1,bytes,20248834.0,ns,360
cost_buff_to_int_be,,1,1,bytes,22451335.0,ns,396
cost_buff_to_int_be,,1,1,bytes,24428517.0,ns,432
cost_buff_to_int_be,,1,1,bytes,26545692.0,ns,468
cost_buff_to_int_be,,1,1,bytes,28368444.0,ns,504
cost_buff_to_int_be,,1,1,bytes,30574205.0,ns,540
cost_buff_to_int_be,,1,1,bytes,32505286.0,ns,576
cost_buff_to_int_be,,1,1,bytes,34778845.0,ns,612
cost_buff_to_int_be,,1,1,bytes,37069492.0,ns,648
cost_buff_to_int_be,,1,1,bytes,38710102.0,ns,684
cost_buff_to_int_be,,1,1,bytes,40870122.0,ns,720
cost_buff_to_int_be,,1,1,bytes,42818091.0,ns,756
cost_buff_to_int_be,,1,1,bytes,44717286.0,ns,792
cost_buff_to_int_be,,1,1,bytes,46898119.0,ns,828
cost_buff_to_int_be,,1,1,bytes,48896260.0,ns,864
cost_buff_to_int_be,,1,1,bytes,51086251.0,ns,900
cost_buff_to_int_be,,1,1,bytes,52702371.0,ns,936
cost_buff_to_int_be,,1,1,bytes,54655059.0,ns,972
cost_buff_to_int_be,,1,1,bytes,56790679.0,ns,1008
cost_buff_to_int_be,,1,1,bytes,58743746.0,ns,1044
cost_buff_to_int_be,,1,1,bytes,60842693.0,ns,1080
cost_buff_to_int_be,,1,1,bytes,62835503.0,ns,1116
cost_buff_to_int_be,,1,1,bytes,65432811.0,ns,1152
cost_buff_to_int_be,,1,1,bytes,67242809.0,ns,1188
cost_buff_to_int_be,,1,1,bytes,69192816.0,ns,1224
cost_buff_to_int_be,,1,1,bytes,71391006.0,ns,1260
cost_buff_to_int_be,,1,1,bytes,73248885.0,ns,1296
cost_buff_to_int_be,,1,1,bytes,75123598.0,ns,1332
cost_buff_to_int_be,,1,1,bytes,77124904.0,ns,1368
cost_buff_to_int_be,,1,1,bytes,79575365.0,ns,1404
cost_buff_to_int_be,,1,1,bytes,82019182.0,ns,1440
cost_buff_to_int_be,,1,1,bytes,83631774.0,ns,1476
cost_buff_to_int_be,,1,1,bytes,85667543.0,ns,1512
cost_buff_to_int_be,,1,1,bytes,88430210.0,ns,1548
cost_buff_to_int_be,,1,1,bytes,89369616.0,ns,1584
cost_buff_to_int_be,,1,1,bytes,91647995.0,ns,1620
cost_buff_to_int_be,,1,1,bytes,93989553.0,ns,1656
