group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_buff_to_int_le,,1,1,bytes,2048883.0,ns,35
cost_buff_to_int_le,,1,1,bytes,4033318.0,ns,70
cost_buff_to_int_le,,1,1,bytes,6211702.0,ns,105
cost_buff_to_int_le,,1,1,bytes,8033362.0,ns,140
cost_buff_to_int_le,,1,1,bytes,10215621.0,ns,175
cost_buff_to_int_le,,1,1,bytes,12277237.0,ns,210
cost_buff_to_int_le,,1,1,bytes,14132287.0,ns,245
cost_buff_to_int_le,,1,1,bytes,16100662.0,ns,280
cost_buff_to_int_le,,1,1,bytes,18143664.0,ns,315
cost_buff_to_int_le,,1,1,bytes,20150610.0,ns,350
cost_buff_to_int_le,,1,1,bytes,22231838.0,ns,385
cost_buff_to_int_le,,1,1,bytes,24313582.0,ns,420
cost_buff_to_int_le,,1,1,bytes,26467342.0,ns,455
cost_buff_to_int_le,,1,1,bytes,28212832.0,ns,490
cost_buff_to_int_le,,1,1,bytes,30204920.0,ns,525
cost_buff_to_int_le,,1,1,bytes,32339909.0,ns,560
cost_buff_to_int_le,,1,1,bytes,34484349.0,ns,595
cost_buff_to_int_le,,1,1,bytes,36411489.0,ns,630
cost_buff_to_int_le,,1,1,bytes,38337102.0,ns,665
cost_buff_to_int_le,,1,1,bytes,40454266.0,ns,700
cost_buff_to_int_le,,1,1,bytes,42411444.0,ns,735
cost_buff_to_int_le,,1,1,bytes,44573545.0,ns,770
cost_buff_to_int_le,,1,1,bytes,46565369.0,ns,805
cost_buff_to_int_le,,1,1,bytes,48412348.0,ns,840
cost_buff_to_int_le,,1,1,bytes,50368379.0,ns,875
cost_buff_to_int_le,,1,1,bytes,52637834.0,ns,910
cost_buff_to_int_le,,1,1,bytes,54475103.0,ns,945
cost_buff_to_int_le,,1,1,bytes,57384850.0,ns,980
cost_buff_to_int_le,,1,1,bytes,60040721.0,ns,1015
cost_buff_to_int_le,,1,1,bytes,61462623.0,ns,1050
cost_buff_to_int_le,,1,1,bytes,62446805.0,ns,1085
cost_buff_to_int_le,,1,1,bytes,64726290.0,ns,1120
cost_buff_to_int_le,,1,1,bytes,66679564.0,ns,1155
cost_buff_to_int_le,,1,1,bytes,68798352.0,ns,1190
cost_buff_to_int_le,,1,1,bytes,70525460.0,ns,1225
cost_buff_to_int_le,,1,1,bytes,72726980.0,ns,1260
cost_buff_to_int_le,,1,1,bytes,75138977.0,ns,1295
cost_buff_to_int_le,,1,1,bytes,76517365.0,ns,1330
cost_buff_to_int_le,,1,1,bytes,78757245.0,ns,1365
cost_buff_to_int_le,,1,1,bytes,80967945.0,ns,1400
cost_buff_to_int_le,,1,1,bytes,82735299.0,ns,1435
cost_buff_to_int_le,,1,1,bytes,84865344.0,ns,1470
cost_buff_to_int_le,,1,1,bytes,86507064.0,ns,1505
cost_buff_to_int_le,,1,1,bytes,89261858.0,ns,1540
cost_buff_to_int_le,,1,1,bytes,91296259.0,ns,1575
cost_buff_to_int_le,,1,1,bytes,94281554.0,ns,1610
cost_buff_to_int_le,,1,1,bytes,96850250.0,ns,1645
cost_buff_to_int_le,,1,1,bytes,97315785.0,ns,1680
cost_buff_to_int_le,,1,1,bytes,100508423.0,ns,1715
cost_buff_to_int_le,,1,1,bytes,102182212.0,ns,1750
cost_buff_to_int_le,,1,1,bytes,104136672.0,ns,1785
cost_buff_to_int_le,,1,1,bytes,105477197.0,ns,1820
cost_buff_to_int_le,,1,1,bytes,106597679.0,ns,1855
cost_buff_to_int_le,,1,1,bytes,108933078.0,ns,1890
cost_buff_to_int_le,,1,1,bytes,110570009.0,ns,1925
cost_buff_to_int_le,,1,1,bytes,113436012.0,ns,1960
cost_buff_to_int_le,,1,1,bytes,115138779.0,ns,1995
cost_buff_to_int_le,,1,1,bytes,117169787.0,ns,2030
cost_buff_to_int_le,,1,1,bytes,118989562.0,ns,2065
cost_buff_to_int_le,,1,1,bytes,120807305.0,ns,2100
cost_buff_to_int_le,,1,1,bytes,123069771.0,ns,2135
cost_buff_to_int_le,,1,1,bytes,127432165.0,ns,2170
cost_buff_to_int_le,,1,1,bytes,127998158.0,ns,2205
cost_buff_to_int_le,,1,1,bytes,129275196.0,ns,2240
cost_buff_to_int_le,,1,1,bytes,131070017.0,ns,2275
cost_buff_to_int_le,,1,1,bytes,133733472.0,ns,2310
cost_buff_to_int_le,,1,1,bytes,135382240.0,ns,2345
cost_buff_to_int_le,,1,1,bytes,137124164.0,ns,2380
cost_buff_to_int_le,,1,1,bytes,139582334.0,ns,2415
cost_buff_to_int_le,,1,1,bytes,141143402.0,ns,2450
cost_buff_to_int_le,,1,1,bytes,143581002.0,ns,2485
cost_buff_to_int_le,,1,1,bytes,145676131.0,ns,2520
cost_buff_to_int_le,,1,1,bytes,147477464.0,ns,2555
cost_buff_to_int_le,,1,1,bytes,149576912.0,ns,2590
cost_buff_to_int_le,,1,1,bytes,151836279.0,ns,2625
cost_buff_to_int_le,,1,1,bytes,154009851.0,ns,2660
cost_buff_to_int_le,,1,1,bytes,155787739.0,ns,2695
cost_buff_to_int_le,,1,1,bytes,157885864.0,ns,2730
cost_buff_to_int_le,,1,1,bytes,159494724.0,ns,2765
cost_buff_to_int_le,,1,1,bytes,161538711.0,ns,2800
cost_buff_to_int_le,,1,1,bytes,163709346.0,ns,2835
cost_buff_to_int_le,,1,1,bytes,165730346.0,ns,2870
cost_buff_to_int_le,,1,1,bytes,167501499.0,ns,2905
cost_buff_to_int_le,,1,1,bytes,169537930.0,ns,2940
cost_buff_to_int_le,,1,1,bytes,171797260.0,ns,2975
cost_buff_to_int_le,,1,1,bytes,173148083.0,ns,3010
cost_buff_to_int_le,,1,1,bytes,176106991.0,ns,3045
cost_buff_to_int_le,,1,1,bytes,178600920.0,ns,3080
cost_buff_to_int_le,,1,1,bytes,180370114.0,ns,3115
cost_buff_to_int_le,,1,1,bytes,182688223.0,ns,3150
cost_buff_to_int_le,,1,1,bytes,184619358.0,ns,3185
cost_buff_to_int_le,,1,1,bytes,186069056.0,ns,3220
cost_buff_to_int_le,,1,1,bytes,187893580.0,ns,3255
cost_buff_to_int_le,,1,1,bytes,189370405.0,ns,3290
cost_buff_to_int_le,,1,1,bytes,191386457.0,ns,3325
cost_buff_to_int_le,,1,1,bytes,193401448.0,ns,3360
cost_buff_to_int_le,,1,1,bytes,195262259.0,ns,3395
cost_buff_to_int_le,,1,1,bytes,197935186.0,ns,3430
cost_buff_to_int_le,,1,1,bytes,200199327.0,ns,3465
cost_buff_to_int_le,,1,1,bytes,202075962.0,ns,3500
