group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_buff_to_uint_be,,1,1,bytes,1996739.0,ns,48
cost_buff_to_uint_be,,1,1,bytes,3999653.0,ns,96
cost_buff_to_uint_be,,1,1,bytes,5982313.0,ns,144
cost_buff_to_uint_be,,1,1,bytes,7977383.0,ns,192
cost_buff_to_uint_be,,1,1,bytes,9997481.0,ns,240
cost_buff_to_uint_be,,1,1,bytes,11970127.0,ns,288
cost_buff_to_uint_be,,1,1,bytes,13972438.0,ns,336
cost_buff_to_uint_be,,1,1,bytes,15986635.0,ns,384
cost_buff_to_uint_be,,1,1,bytes,17963398.0,ns,432
cost_buff_to_uint_be,,1,1,bytes,19965118.0,ns,480
cost_buff_to_uint_be,,1,1,bytes,21953267.0,ns,528
cost_buff_to_uint_be,,1,1,bytes,23934003.0,ns,576
cost_buff_to_uint_be,,1,1,bytes,25944851.0,ns,624
cost_buff_to_uint_be,,1,1,bytes,27937395.0,ns,672
cost_buff_to_uint_be,,1,1,bytes,29932097.0,ns,720
cost_buff_to_uint_be,,1,1,bytes,31926396.0,ns,768
cost_buff_to_uint_be,,1,1,bytes,33944638.0,ns,816
cost_buff_to_uint_be,,1,1,bytes,35944131.0,ns,864
cost_buff_to_uint_be,,1,1,bytes,37922240.0,ns,912
cost_buff_to_uint_be,,1,1,bytes,39898426.0,ns,960
cost_buff_to_uint_be,,1,1,bytes,41899235.0,ns,1008
cost_buff_to_uint_be,,1,1,bytes,43874870.0,ns,1056
cost_buff_to_uint_be,,1,1,bytes,45873899.0,ns,1104
cost_buff_to_uint_be,,1,1,bytes,47861256.0,ns,1152
cost_buff_to_uint_be,,1,1,bytes,49873391.0,ns,1200
cost_buff_to_uint_be,,1,1,bytes,51850640.0,ns,1248
cost_buff_to_uint_be,,1,1,bytes,53892214.0,ns,1296
cost_buff_to_uint_be,,1,1,bytes,55863210.0,ns,1344
cost_buff_to_uint_be,,1,1,bytes,57894133.0,ns,1392
cost_buff_to_uint_be,,1,1,bytes,59859381.0,ns,1440
cost_buff_to_uint_be,,1,1,bytes,61830040.0,ns,1488
cost_buff_to_uint_be,,1,1,bytes,64118826.0,ns,1536
cost_buff_to_uint_be,,1,1,bytes,66457985.0,ns,1584
cost_buff_to_uint_be,,1,1,bytes,67894747.0,ns,1632
cost_buff_to_uint_be,,1,1,bytes,69891575.0,ns,1680
cost_buff_to_uint_be,,1,1,bytes,71897879.0,ns,1728
cost_buff_to_uint_be,,1,1,bytes,73859427.0,ns,1776
cost_buff_to_uint_be,,1,1,bytes,76957679.0,ns,1824
cost_buff_to_uint_be,,1,1,bytes,77803117.0,ns,1872
cost_buff_to_uint_be,,1,1,bytes,79832398.0,ns,1920
cost_buff_to_uint_be,,1,1,bytes,81849592.0,ns,1968
cost_buff_to_uint_be,,1,1,bytes,83844194.0,ns,2016
cost_buff_to_uint_be,,1,1,bytes,85802246.0,ns,2064
cost_buff_to_uint_be,,1,1,bytes,87829106.0,ns,2112
cost_buff_to_uint_be,,1,1,bytes,90040671.0,ns,2160
cost_buff_to_uint_be,,1,1,bytes,92081853.0,ns,2208
cost_buff_to_uint_be,,1,1,bytes,93840800.0,ns,2256
cost_buff_to_uint_be,,1,1,bytes,95821800.0,ns,2304
cost_buff_to_uint_be,,1,1,bytes,97779514.0,ns,2352
cost_buff_to_uint_be,,1,1,bytes,99771247.0,ns,2400
cost_buff_to_uint_be,,1,1,bytes,101752837.0,ns,2448
cost_buff_to_uint_be,,1,1,bytes,103716989.0,ns,2496
cost_buff_to_uint_be,,1,1,bytes,105757723.0,ns,2544
cost_buff_to_uint_be,,1,1,bytes,107911778.0,ns,2592
cost_buff_to_uint_be,,1,1,bytes,110060464.0,ns,2640
cost_buff_to_uint_be,,1,1,bytes,111758044.0,ns,2688
cost_buff_to_uint_be,,1,1,bytes,113785980.0,ns,2736
cost_buff_to_uint_be,,1,1,bytes,115748836.0,ns,2784
cost_buff_to_uint_be,,1,1,bytes,117911787.0,ns,2832
