group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_buff_to_uint_be,,1,1,bytes,2011134.0,ns,34
cost_buff_to_uint_be,,1,1,bytes,3920407.0,ns,68
cost_buff_to_uint_be,,1,1,bytes,5871007.0,ns,102
cost_buff_to_uint_be,,1,1,bytes,7782867.0,ns,136
cost_buff_to_uint_be,,1,1,bytes,9755009.0,ns,170
cost_buff_to_uint_be,,1,1,bytes,11837002.0,ns,204
cost_buff_to_uint_be,,1,1,bytes,13597143.0,ns,238
cost_buff_to_uint_be,,1,1,bytes,15698407.0,ns,272
cost_buff_to_uint_be,,1,1,bytes,17274456.0,ns,306
cost_buff_to_uint_be,,1,1,bytes,19282348.0,ns,340
cost_buff_to_uint_be,,1,1,bytes,21500648.0,ns,374
cost_buff_to_uint_be,,1,1,bytes,23080241.0,ns,408
cost_buff_to_uint_be,,1,1,bytes,24964277.0,ns,442
cost_buff_to_uint_be,,1,1,bytes,26880551.0,ns,476
cost_buff_to_uint_be,,1,1,bytes,28970623.0,ns,510
cost_buff_to_uint_be,,1,1,bytes,31172557.0,ns,544
cost_buff_to_uint_be,,1,1,bytes,33397283.0,ns,578
cost_buff_to_uint_be,,1,1,bytes,34684185.0,ns,612
cost_buff_to_uint_be,,1,1,bytes,36792273.0,ns,646
cost_buff_to_uint_be,,1,1,bytes,38650017.0,ns,680
cost_buff_to_uint_be,,1,1,bytes,40312522.0,ns,714
cost_buff_to_uint_be,,1,1,bytes,42277619.0,ns,748
cost_buff_to_uint_be,,1,1,bytes,44815494.0,ns,782
cost_buff_to_uint_be,,1,1,bytes,46742658.0,ns,816
cost_buff_to_uint_be,,1,1,bytes,48283062.0,ns,850
cost_buff_to_uint_be,,1,1,bytes,49912649.0,ns,884
cost_buff_to_uint_be,,1,1,bytes,52484408.0,ns,918
cost_buff_to_uint_be,,1,1,bytes,54768927.0,ns,952
cost_buff_to_uint_be,,1,1,bytes,56270866.0,ns,986
cost_buff_to_uint_be,,1,1,bytes,58364518.0,ns,1020
cost_buff_to_uint_be,,1,1,bytes,60848333.0,ns,1054
cost_buff_to_uint_be,,1,1,bytes,62233173.0,ns,1088
cost_buff_to_uint_be,,1,1,bytes,64716848.0,ns,1122
cost_buff_to_uint_be,,1,1,bytes,65403434.0,ns,1156
cost_buff_to_uint_be,,1,1,bytes,67493091.0,ns,1190
cost_buff_to_uint_be,,1,1,bytes,69609234.0,ns,1224
cost_buff_to_uint_be,,1,1,bytes,71962399.0,ns,1258
cost_buff_to_uint_be,,1,1,bytes,73721304.0,ns,1292
cost_buff_to_uint_be,,1,1,bytes,76108386.0,ns,1326
cost_buff_to_uint_be,,1,1,bytes,77414012.0,ns,1360
cost_buff_to_uint_be,,1,1,bytes,79340512.0,ns,1394
cost_buff_to_uint_be,,1,1,bytes,82091330.0,ns,1428
cost_buff_to_uint_be,,1,1,bytes,83329807.0,ns,1462
cost_buff_to_uint_be,,1,1,bytes,85284412.0,ns,1496
cost_buff_to_uint_be,,1,1,bytes,86978674.0,ns,1530
cost_buff_to_uint_be,,1,1,bytes,88780855.0,ns,1564
cost_buff_to_uint_be,,1,1,bytes,90768131.0,ns,1598
cost_buff_to_uint_be,,1,1,bytes,92713879.0,ns,1632
cost_buff_to_uint_be,,1,1,bytes,94539055.0,ns,1666
cost_buff_to_uint_be,,1,1,bytes,96408849.0,ns,1700
cost_buff_to_uint_be,,1,1,bytes,98347689.0,ns,1734
cost_buff_to_uint_be,,1,1,bytes,100562221.0,ns,1768
cost_buff_to_uint_be,,1,1,bytes,102411663.0,ns,1802
cost_buff_to_uint_be,,1,1,bytes,104784419.0,ns,1836
cost_buff_to_uint_be,,1,1,bytes,107987361.0,ns,1870
cost_buff_to_uint_be,,1,1,bytes,108512657.0,ns,1904
cost_buff_to_uint_be,,1,1,bytes,111281749.0,ns,1938
cost_buff_to_uint_be,,1,1,bytes,111540676.0,ns,1972
cost_buff_to_uint_be,,1,1,bytes,113691762.0,ns,2006
cost_buff_to_uint_be,,1,1,bytes,115982976.0,ns,2040
cost_buff_to_uint_be,,1,1,bytes,117743052.0,ns,2074
cost_buff_to_uint_be,,1,1,bytes,119410772.0,ns,2108
cost_buff_to_uint_be,,1,1,bytes,121731944.0,ns,2142
cost_buff_to_uint_be,,1,1,bytes,124669699.0,ns,2176
cost_buff_to_uint_be,,1,1,bytes,125672470.0,ns,2210
cost_buff_to_uint_be,,1,1,bytes,127354483.0,ns,2244
