group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_buff_to_uint_le,,1,1,bytes,2118883.0,ns,35
cost_buff_to_uint_le,,1,1,bytes,4046294.0,ns,70
cost_buff_to_uint_le,,1,1,bytes,6227506.0,ns,105
cost_buff_to_uint_le,,1,1,bytes,8120849.0,ns,140
cost_buff_to_uint_le,,1,1,bytes,10283746.0,ns,175
cost_buff_to_uint_le,,1,1,bytes,12251055.0,ns,210
cost_buff_to_uint_le,,1,1,bytes,14003669.0,ns,245
cost_buff_to_uint_le,,1,1,bytes,16223422.0,ns,280
cost_buff_to_uint_le,,1,1,bytes,18376316.0,ns,315
cost_buff_to_uint_le,,1,1,bytes,20291347.0,ns,350
cost_buff_to_uint_le,,1,1,bytes,22348359.0,ns,385
cost_buff_to_uint_le,,1,1,bytes,24774978.0,ns,420
cost_buff_to_uint_le,,1,1,bytes,26817081.0,ns,455
cost_buff_to_uint_le,,1,1,bytes,29117852.0,ns,490
cost_buff_to_uint_le,,1,1,bytes,30410060.0,ns,525
cost_buff_to_uint_le,,1,1,bytes,31940279.0,ns,560
cost_buff_to_uint_le,,1,1,bytes,34370473.0,ns,595
cost_buff_to_uint_le,,1,1,bytes,37443403.0,ns,630
cost_buff_to_uint_le,,1,1,bytes,39704905.0,ns,665
cost_buff_to_uint_le,,1,1,bytes,41574741.0,ns,700
cost_buff_to_uint_le,,1,1,bytes,43694011.0,ns,735
cost_buff_to_uint_le,,1,1,bytes,45448768.0,ns,770
cost_buff_to_uint_le,,1,1,bytes,46683753.0,ns,805
cost_buff_to_uint_le,,1,1,bytes,48598402.0,ns,840
cost_buff_to_uint_le,,1,1,bytes,50079186.0,ns,875
cost_buff_to_uint_le,,1,1,bytes,52982753.0,ns,910
cost_buff_to_uint_le,,1,1,bytes,55183525.0,ns,945
cost_buff_to_uint_le,,1,1,bytes,57292731.0,ns,980
cost_buff_to_uint_le,,1,1,bytes,59128284.0,ns,1015
cost_buff_to_uint_le,,1,1,bytes,60907625.0,ns,1050
cost_buff_to_uint_le,,1,1,bytes,62689116.0,ns,1085
cost_buff_to_uint_le,,1,1,bytes,65005996.0,ns,1120
cost_buff_to_uint_le,,1,1,bytes,67288729.0,ns,1155
cost_buff_to_uint_le,,1,1,bytes,69528012.0,ns,1190
cost_buff_to_uint_le,,1,1,bytes,70959017.0,ns,1225
cost_buff_to_uint_le,,1,1,bytes,73003014.0,ns,1260
cost_buff_to_uint_le,,1,1,bytes,75960631.0,ns,1295
cost_buff_to_uint_le,,1,1,bytes,77253387.0,ns,1330
cost_buff_to_uint_le,,1,1,bytes,80375276.0,ns,1365
cost_buff_to_uint_le,,1,1,bytes,82989677.0,ns,1400
cost_buff_to_uint_le,,1,1,bytes,83092485.0,ns,1435
cost_buff_to_uint_le,,1,1,bytes,83970116.0,ns,1470
cost_buff_to_uint_le,,1,1,bytes,87702435.0,ns,1505
cost_buff_to_uint_le,,1,1,bytes,89694354.0,ns,1540
cost_buff_to_uint_le,,1,1,bytes,91603580.0,ns,1575
cost_buff_to_uint_le,,1,1,bytes,94401432.0,ns,1610
cost_buff_to_uint_le,,1,1,bytes,96602705.0,ns,1645
cost_buff_to_uint_le,,1,1,bytes,97694915.0,ns,1680
cost_buff_to_uint_le,,1,1,bytes,99428884.0,ns,1715
cost_buff_to_uint_le,,1,1,bytes,102421574.0,ns,1750
cost_buff_to_uint_le,,1,1,bytes,104110093.0,ns,1785
cost_buff_to_uint_le,,1,1,bytes,107034079.0,ns,1820
cost_buff_to_uint_le,,1,1,bytes,108094812.0,ns,1855
cost_buff_to_uint_le,,1,1,bytes,110434822.0,ns,1890
cost_buff_to_uint_le,,1,1,bytes,111978518.0,ns,1925
cost_buff_to_uint_le,,1,1,bytes,113849211.0,ns,1960
cost_buff_to_uint_le,,1,1,bytes,114186655.0,ns,1995
cost_buff_to_uint_le,,1,1,bytes,117049844.0,ns,2030
cost_buff_to_uint_le,,1,1,bytes,118720084.0,ns,2065
cost_buff_to_uint_le,,1,1,bytes,121949803.0,ns,2100
cost_buff_to_uint_le,,1,1,bytes,123685830.0,ns,2135
cost_buff_to_uint_le,,1,1,bytes,127033074.0,ns,2170
cost_buff_to_uint_le,,1,1,bytes,127834912.0,ns,2205
cost_buff_to_uint_le,,1,1,bytes,131242117.0,ns,2240
cost_buff_to_uint_le,,1,1,bytes,132526431.0,ns,2275
cost_buff_to_uint_le,,1,1,bytes,135353044.0,ns,2310
cost_buff_to_uint_le,,1,1,bytes,134491878.0,ns,2345
cost_buff_to_uint_le,,1,1,bytes,139003052.0,ns,2380
cost_buff_to_uint_le,,1,1,bytes,141779197.0,ns,2415
cost_buff_to_uint_le,,1,1,bytes,141108461.0,ns,2450
