group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_concat,,64,64,bytes,2253066.0,ns,3
cost_concat,,64,64,bytes,4418401.0,ns,6
cost_concat,,64,64,bytes,6627851.0,ns,9
cost_concat,,64,64,bytes,8814346.0,ns,12
cost_concat,,64,64,bytes,11047759.0,ns,15
cost_concat,,64,64,bytes,13229959.0,ns,18
cost_concat,,64,64,bytes,15436639.0,ns,21
cost_concat,,64,64,bytes,17656611.0,ns,24
cost_concat,,64,64,bytes,19862080.0,ns,27
cost_concat,,64,64,bytes,22066147.0,ns,30
cost_concat,,64,64,bytes,24266284.0,ns,33
cost_concat,,64,64,bytes,26483155.0,ns,36
cost_concat,,64,64,bytes,28716277.0,ns,39
cost_concat,,64,64,bytes,30886866.0,ns,42
cost_concat,,64,64,bytes,33108937.0,ns,45
cost_concat,,64,64,bytes,36482122.0,ns,48
cost_concat,,64,64,bytes,37512973.0,ns,51
cost_concat,,64,64,bytes,39693779.0,ns,54
cost_concat,,64,64,bytes,41944461.0,ns,57
cost_concat,,64,64,bytes,44121409.0,ns,60
cost_concat,,64,64,bytes,46362385.0,ns,63
cost_concat,,64,64,bytes,48564856.0,ns,66
cost_concat,,64,64,bytes,50781752.0,ns,69
cost_concat,,64,64,bytes,52941080.0,ns,72
cost_concat,,64,64,bytes,55170195.0,ns,75
cost_concat,,64,64,bytes,57353662.0,ns,78
cost_concat,,64,64,bytes,59594323.0,ns,81
cost_concat,,64,64,bytes,61817552.0,ns,84
cost_concat,,64,64,bytes,63970714.0,ns,87
cost_concat,,64,64,bytes,66242712.0,ns,90
cost_concat,,64,64,bytes,68396626.0,ns,93
cost_concat,,64,64,bytes,70625243.0,ns,96
cost_concat,,64,64,bytes,73063337.0,ns,99
cost_concat,,64,64,bytes,75215588.0,ns,102
cost_concat,,64,64,bytes,77211225.0,ns,105
cost_concat,,64,64,bytes,79464613.0,ns,108
cost_concat,,64,64,bytes,82138080.0,ns,111
cost_concat,,64,64,bytes,84036989.0,ns,114
cost_concat,,64,64,bytes,86137209.0,ns,117
cost_concat,,64,64,bytes,88286136.0,ns,120
cost_concat,,64,64,bytes,90514901.0,ns,123
cost_concat,,64,64,bytes,92636324.0,ns,126
cost_concat,,64,64,bytes,94866528.0,ns,129
cost_concat,,64,64,bytes,97089157.0,ns,132
cost_concat,,64,64,bytes,99413993.0,ns,135
cost_concat,,64,64,bytes,101572646.0,ns,138
cost_concat,,64,64,bytes,103669006.0,ns,141
cost_concat,,64,64,bytes,105920427.0,ns,144
cost_concat,,64,64,bytes,108102616.0,ns,147
cost_concat,,64,64,bytes,110354481.0,ns,150
cost_concat,,64,64,bytes,112564079.0,ns,153
cost_concat,,64,64,bytes,114801757.0,ns,156
cost_concat,,64,64,bytes,116935171.0,ns,159
cost_concat,,64,64,bytes,119414284.0,ns,162
cost_concat,,64,64,bytes,121435455.0,ns,165
cost_concat,,64,64,bytes,123562747.0,ns,168
cost_concat,,64,64,bytes,126389112.0,ns,171
cost_concat,,64,64,bytes,128770013.0,ns,174
cost_concat,,64,64,bytes,130636108.0,ns,177
cost_concat,,64,64,bytes,132379819.0,ns,180
cost_concat,,64,64,bytes,134563327.0,ns,183
cost_concat,,64,64,bytes,137105769.0,ns,186
cost_concat,,64,64,bytes,138984711.0,ns,189
cost_concat,,64,64,bytes,141196337.0,ns,192
cost_concat,,64,64,bytes,143878544.0,ns,195
cost_concat,,64,64,bytes,145814640.0,ns,198
cost_concat,,64,64,bytes,147923147.0,ns,201
cost_concat,,64,64,bytes,150094981.0,ns,204
cost_concat,,64,64,bytes,152828889.0,ns,207
cost_concat,,64,64,bytes,154508391.0,ns,210
cost_concat,,64,64,bytes,156942453.0,ns,213
cost_concat,,64,64,bytes,158852283.0,ns,216
cost_concat,,64,64,bytes,161088300.0,ns,219
cost_concat,,64,64,bytes,163276872.0,ns,222
cost_concat,,64,64,bytes,165516954.0,ns,225
cost_concat,,64,64,bytes,167646973.0,ns,228
cost_concat,,64,64,bytes,170191932.0,ns,231
cost_concat,,64,64,bytes,172180900.0,ns,234
cost_concat,,64,64,bytes,174392899.0,ns,237
cost_concat,,64,64,bytes,176511290.0,ns,240
cost_concat,,64,64,bytes,178690206.0,ns,243
cost_concat,,64,64,bytes,180927030.0,ns,246
cost_concat,,64,64,bytes,183432647.0,ns,249
cost_concat,,64,64,bytes,185334656.0,ns,252
cost_concat,,64,64,bytes,187626748.0,ns,255
cost_concat,,64,64,bytes,190236565.0,ns,258
cost_concat,,64,64,bytes,192988503.0,ns,261
cost_concat,,64,64,bytes,194121636.0,ns,264
cost_concat,,64,64,bytes,196418407.0,ns,267
cost_concat,,64,64,bytes,198612104.0,ns,270
cost_concat,,64,64,bytes,200734014.0,ns,273
cost_concat,,64,64,bytes,202935753.0,ns,276
cost_concat,,64,64,bytes,205379143.0,ns,279
cost_concat,,64,64,bytes,207587750.0,ns,282
cost_concat,,64,64,bytes,209693017.0,ns,285
cost_concat,,64,64,bytes,211776286.0,ns,288
cost_concat,,64,64,bytes,214616683.0,ns,291
cost_concat,,64,64,bytes,216262632.0,ns,294
cost_concat,,64,64,bytes,218437281.0,ns,297
cost_concat,,64,64,bytes,220620750.0,ns,300
