group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_contract_call,,1,1,bytes,2226902.0,ns,54
cost_contract_call,,1,1,bytes,4010281.0,ns,108
cost_contract_call,,1,1,bytes,5996885.0,ns,162
cost_contract_call,,1,1,bytes,7980792.0,ns,216
cost_contract_call,,1,1,bytes,9985866.0,ns,270
cost_contract_call,,1,1,bytes,11971261.0,ns,324
cost_contract_call,,1,1,bytes,14012005.0,ns,378
cost_contract_call,,1,1,bytes,15975891.0,ns,432
cost_contract_call,,1,1,bytes,17973601.0,ns,486
cost_contract_call,,1,1,bytes,19969935.0,ns,540
cost_contract_call,,1,1,bytes,21966725.0,ns,594
cost_contract_call,,1,1,bytes,23956433.0,ns,648
cost_contract_call,,1,1,bytes,25961239.0,ns,702
cost_contract_call,,1,1,bytes,27965586.0,ns,756
cost_contract_call,,1,1,bytes,29960217.0,ns,810
cost_contract_call,,1,1,bytes,31940221.0,ns,864
cost_contract_call,,1,1,bytes,33936636.0,ns,918
cost_contract_call,,1,1,bytes,35942587.0,ns,972
cost_contract_call,,1,1,bytes,37935605.0,ns,1026
cost_contract_call,,1,1,bytes,40028287.0,ns,1080
cost_contract_call,,1,1,bytes,41918453.0,ns,1134
cost_contract_call,,1,1,bytes,43924513.0,ns,1188
cost_contract_call,,1,1,bytes,45938099.0,ns,1242
cost_contract_call,,1,1,bytes,47921679.0,ns,1296
cost_contract_call,,1,1,bytes,50179560.0,ns,1350
cost_contract_call,,1,1,bytes,51988597.0,ns,1404
cost_contract_call,,1,1,bytes,54018357.0,ns,1458
cost_contract_call,,1,1,bytes,55994362.0,ns,1512
cost_contract_call,,1,1,bytes,57918115.0,ns,1566
cost_contract_call,,1,1,bytes,59919900.0,ns,1620
cost_contract_call,,1,1,bytes,62449869.0,ns,1674
cost_contract_call,,1,1,bytes,63880712.0,ns,1728
cost_contract_call,,1,1,bytes,65914228.0,ns,1782
cost_contract_call,,1,1,bytes,67989417.0,ns,1836
cost_contract_call,,1,1,bytes,69912939.0,ns,1890
cost_contract_call,,1,1,bytes,71895087.0,ns,1944
cost_contract_call,,1,1,bytes,73880547.0,ns,1998
cost_contract_call,,1,1,bytes,75860373.0,ns,2052
cost_contract_call,,1,1,bytes,77872884.0,ns,2106
cost_contract_call,,1,1,bytes,79860133.0,ns,2160
cost_contract_call,,1,1,bytes,82176013.0,ns,2214
cost_contract_call,,1,1,bytes,83866112.0,ns,2268
cost_contract_call,,1,1,bytes,85903217.0,ns,2322
cost_contract_call,,1,1,bytes,87931855.0,ns,2376
cost_contract_call,,1,1,bytes,89862850.0,ns,2430
cost_contract_call,,1,1,bytes,91842534.0,ns,2484
cost_contract_call,,1,1,bytes,93816898.0,ns,2538
cost_contract_call,,1,1,bytes,95812750.0,ns,2592
cost_contract_call,,1,1,bytes,97819989.0,ns,2646
cost_contract_call,,1,1,bytes,99824737.0,ns,2700
cost_contract_call,,1,1,bytes,102005771.0,ns,2754
cost_contract_call,,1,1,bytes,103886433.0,ns,2808
cost_contract_call,,1,1,bytes,105824098.0,ns,2862
cost_contract_call,,1,1,bytes,108974588.0,ns,2916
cost_contract_call,,1,1,bytes,109824943.0,ns,2970
cost_contract_call,,1,1,bytes,111817408.0,ns,3024
cost_contract_call,,1,1,bytes,113872835.0,ns,3078
cost_contract_call,,1,1,bytes,115872974.0,ns,3132
cost_contract_call,,1,1,bytes,117867142.0,ns,3186
cost_contract_call,,1,1,bytes,119792752.0,ns,3240
cost_contract_call,,1,1,bytes,122079570.0,ns,3294
cost_contract_call,,1,1,bytes,123811109.0,ns,3348
cost_contract_call,,1,1,bytes,125820681.0,ns,3402
cost_contract_call,,1,1,bytes,127771751.0,ns,3456
cost_contract_call,,1,1,bytes,130164101.0,ns,3510
cost_contract_call,,1,1,bytes,131789532.0,ns,3564
cost_contract_call,,1,1,bytes,133792944.0,ns,3618
cost_contract_call,,1,1,bytes,136125593.0,ns,3672
cost_contract_call,,1,1,bytes,138126661.0,ns,3726
cost_contract_call,,1,1,bytes,140132911.0,ns,3780
cost_contract_call,,1,1,bytes,141797171.0,ns,3834
cost_contract_call,,1,1,bytes,143749349.0,ns,3888
cost_contract_call,,1,1,bytes,145921053.0,ns,3942
cost_contract_call,,1,1,bytes,148069684.0,ns,3996
cost_contract_call,,1,1,bytes,150508413.0,ns,4050
cost_contract_call,,1,1,bytes,151940623.0,ns,4104
cost_contract_call,,1,1,bytes,154501978.0,ns,4158
cost_contract_call,,1,1,bytes,156202856.0,ns,4212
cost_contract_call,,1,1,bytes,158065729.0,ns,4266
cost_contract_call,,1,1,bytes,159813385.0,ns,4320
cost_contract_call,,1,1,bytes,161819443.0,ns,4374
cost_contract_call,,1,1,bytes,164066041.0,ns,4428
cost_contract_call,,1,1,bytes,167014793.0,ns,4482
