group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_contract_call,,1,1,bytes,1920241.0,ns,34
cost_contract_call,,1,1,bytes,3839203.0,ns,68
cost_contract_call,,1,1,bytes,5766851.0,ns,102
cost_contract_call,,1,1,bytes,7669894.0,ns,136
cost_contract_call,,1,1,bytes,9594748.0,ns,170
cost_contract_call,,1,1,bytes,11508734.0,ns,204
cost_contract_call,,1,1,bytes,13469967.0,ns,238
cost_contract_call,,1,1,bytes,15349352.0,ns,272
cost_contract_call,,1,1,bytes,17275979.0,ns,306
cost_contract_call,,1,1,bytes,19196741.0,ns,340
cost_contract_call,,1,1,bytes,21070188.0,ns,374
cost_contract_call,,1,1,bytes,23006914.0,ns,408
cost_contract_call,,1,1,bytes,24947285.0,ns,442
cost_contract_call,,1,1,bytes,26901926.0,ns,476
cost_contract_call,,1,1,bytes,28787925.0,ns,510
cost_contract_call,,1,1,bytes,30692681.0,ns,544
cost_contract_call,,1,1,bytes,32625969.0,ns,578
cost_contract_call,,1,1,bytes,34539148.0,ns,612
cost_contract_call,,1,1,bytes,36460405.0,ns,646
cost_contract_call,,1,1,bytes,38436940.0,ns,680
cost_contract_call,,1,1,bytes,40551684.0,ns,714
cost_contract_call,,1,1,bytes,42299300.0,ns,748
cost_contract_call,,1,1,bytes,44165290.0,ns,782
cost_contract_call,,1,1,bytes,46074338.0,ns,816
cost_contract_call,,1,1,bytes,48011693.0,ns,850
cost_contract_call,,1,1,bytes,49886920.0,ns,884
cost_contract_call,,1,1,bytes,51857919.0,ns,918
cost_contract_call,,1,1,bytes,53736912.0,ns,952
cost_contract_call,,1,1,bytes,55676839.0,ns,986
cost_contract_call,,1,1,bytes,57566380.0,ns,1020
cost_contract_call,,1,1,bytes,59530910.0,ns,1054
cost_contract_call,,1,1,bytes,61154021.0,ns,1088
cost_contract_call,,1,1,bytes,63003252.0,ns,1122
cost_contract_call,,1,1,bytes,64929114.0,ns,1156
cost_contract_call,,1,1,bytes,66894210.0,ns,1190
cost_contract_call,,1,1,bytes,69285526.0,ns,1224
cost_contract_call,,1,1,bytes,71028112.0,ns,1258
cost_contract_call,,1,1,bytes,73985165.0,ns,1292
cost_contract_call,,1,1,bytes,75330787.0,ns,1326
cost_contract_call,,1,1,bytes,76780646.0,ns,1360
cost_contract_call,,1,1,bytes,78829685.0,ns,1394
cost_contract_call,,1,1,bytes,80355334.0,ns,1428
cost_contract_call,,1,1,bytes,82426690.0,ns,1462
cost_contract_call,,1,1,bytes,84473989.0,ns,1496
cost_contract_call,,1,1,bytes,86382944.0,ns,1530
cost_contract_call,,1,1,bytes,88377393.0,ns,1564
cost_contract_call,,1,1,bytes,89968673.0,ns,1598
cost_contract_call,,1,1,bytes,92652846.0,ns,1632
cost_contract_call,,1,1,bytes,94769932.0,ns,1666
