group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_contract_of,,1,1,bytes,108098346.0,ns,12
cost_contract_of,,1,1,bytes,107219516.0,ns,12
cost_contract_of,,1,1,bytes,107301368.0,ns,12
cost_contract_of,,1,1,bytes,108061624.0,ns,12
cost_contract_of,,1,1,bytes,109548873.0,ns,12
cost_contract_of,,1,1,bytes,106905600.0,ns,12
cost_contract_of,,1,1,bytes,106939980.0,ns,12
cost_contract_of,,1,1,bytes,107292869.0,ns,12
cost_contract_of,,1,1,bytes,106911545.0,ns,12
cost_contract_of,,1,1,bytes,107093626.0,ns,12
cost_contract_of,,1,1,bytes,106912979.0,ns,12
cost_contract_of,,1,1,bytes,107369908.0,ns,12
cost_contract_of,,1,1,bytes,107061425.0,ns,12
cost_contract_of,,1,1,bytes,107023768.0,ns,12
cost_contract_of,,1,1,bytes,107183579.0,ns,12
cost_contract_of,,1,1,bytes,106973013.0,ns,12
cost_contract_of,,1,1,bytes,106958367.0,ns,12
cost_contract_of,,1,1,bytes,106943484.0,ns,12
cost_contract_of,,1,1,bytes,106982003.0,ns,12
cost_contract_of,,1,1,bytes,106878269.0,ns,12
cost_contract_of,,1,1,bytes,107097874.0,ns,12
cost_contract_of,,1,1,bytes,108189718.0,ns,12
cost_contract_of,,1,1,bytes,107083876.0,ns,12
cost_contract_of,,1,1,bytes,107322553.0,ns,12
cost_contract_of,,1,1,bytes,106936678.0,ns,12
cost_contract_of,,1,1,bytes,106968287.0,ns,12
cost_contract_of,,1,1,bytes,106987317.0,ns,12
cost_contract_of,,1,1,bytes,107067568.0,ns,12
cost_contract_of,,1,1,bytes,107934138.0,ns,12
cost_contract_of,,1,1,bytes,107384173.0,ns,12
cost_contract_of,,1,1,bytes,107141554.0,ns,12
cost_contract_of,,1,1,bytes,107219448.0,ns,12
cost_contract_of,,1,1,bytes,107240085.0,ns,12
cost_contract_of,,1,1,bytes,107176718.0,ns,12
cost_contract_of,,1,1,bytes,107297031.0,ns,12
cost_contract_of,,1,1,bytes,107563426.0,ns,12
cost_contract_of,,1,1,bytes,107112121.0,ns,12
cost_contract_of,,1,1,bytes,107196855.0,ns,12
cost_contract_of,,1,1,bytes,108647254.0,ns,12
cost_contract_of,,1,1,bytes,107197538.0,ns,12
cost_contract_of,,1,1,bytes,107360660.0,ns,12
cost_contract_of,,1,1,bytes,107765221.0,ns,12
cost_contract_of,,1,1,bytes,108412876.0,ns,12
cost_contract_of,,1,1,bytes,108760625.0,ns,12
cost_contract_of,,1,1,bytes,107137961.0,ns,12
cost_contract_of,,1,1,bytes,111823013.0,ns,12
cost_contract_of,,1,1,bytes,109996648.0,ns,12
cost_contract_of,,1,1,bytes,109972649.0,ns,12
cost_contract_of,,1,1,bytes,107751821.0,ns,12
cost_contract_of,,1,1,bytes,107784217.0,ns,12
cost_contract_of,,1,1,bytes,107073462.0,ns,12
