group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_contract_storage,,1,1,bytes,53202566.0,ns,11
cost_contract_storage,,1,1,bytes,53169185.0,ns,11
cost_contract_storage,,1,1,bytes,55740966.0,ns,11
cost_contract_storage,,1,1,bytes,62352199.0,ns,11
cost_contract_storage,,1,1,bytes,53612546.0,ns,11
cost_contract_storage,,1,1,bytes,53423899.0,ns,11
cost_contract_storage,,1,1,bytes,53051528.0,ns,11
cost_contract_storage,,1,1,bytes,53033295.0,ns,11
cost_contract_storage,,1,1,bytes,53124415.0,ns,11
cost_contract_storage,,1,1,bytes,53045602.0,ns,11
cost_contract_storage,,1,1,bytes,53071748.0,ns,11
cost_contract_storage,,1,1,bytes,196117765.0,ns,11
cost_contract_storage,,1,1,bytes,52781940.0,ns,11
cost_contract_storage,,1,1,bytes,52562453.0,ns,11
cost_contract_storage,,1,1,bytes,52679319.0,ns,11
cost_contract_storage,,1,1,bytes,52699462.0,ns,11
cost_contract_storage,,1,1,bytes,52595248.0,ns,11
cost_contract_storage,,1,1,bytes,52682022.0,ns,11
cost_contract_storage,,1,1,bytes,53992945.0,ns,11
cost_contract_storage,,1,1,bytes,52833566.0,ns,11
cost_contract_storage,,1,1,bytes,53266723.0,ns,11
cost_contract_storage,,1,1,bytes,53005609.0,ns,11
cost_contract_storage,,1,1,bytes,52769747.0,ns,11
cost_contract_storage,,1,1,bytes,52860472.0,ns,11
cost_contract_storage,,1,1,bytes,52719596.0,ns,11
cost_contract_storage,,1,1,bytes,52793676.0,ns,11
cost_contract_storage,,1,1,bytes,62817497.0,ns,11
cost_contract_storage,,1,1,bytes,52542195.0,ns,11
cost_contract_storage,,1,1,bytes,52496784.0,ns,11
cost_contract_storage,,1,1,bytes,52661175.0,ns,11
cost_contract_storage,,1,1,bytes,52639316.0,ns,11
cost_contract_storage,,1,1,bytes,52584446.0,ns,11
cost_contract_storage,,1,1,bytes,52628232.0,ns,11
cost_contract_storage,,1,1,bytes,52813358.0,ns,11
cost_contract_storage,,1,1,bytes,52817040.0,ns,11
cost_contract_storage,,1,1,bytes,52671254.0,ns,11
cost_contract_storage,,1,1,bytes,52778630.0,ns,11
cost_contract_storage,,1,1,bytes,52956090.0,ns,11
cost_contract_storage,,1,1,bytes,52715082.0,ns,11
cost_contract_storage,,1,1,bytes,52867873.0,ns,11
cost_contract_storage,,1,1,bytes,52753378.0,ns,11
