group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_contract_storage,,256,256,bytes,55792942.0,ns,8
cost_contract_storage,,256,256,bytes,55614753.0,ns,8
cost_contract_storage,,256,256,bytes,55560239.0,ns,8
cost_contract_storage,,256,256,bytes,55530427.0,ns,8
cost_contract_storage,,256,256,bytes,55598810.0,ns,8
cost_contract_storage,,256,256,bytes,55771715.0,ns,8
cost_contract_storage,,256,256,bytes,55831898.0,ns,8
cost_contract_storage,,256,256,bytes,124542932.0,ns,8
cost_contract_storage,,256,256,bytes,55734873.0,ns,8
cost_contract_storage,,256,256,bytes,55656797.0,ns,8
cost_contract_storage,,256,256,bytes,58909200.0,ns,8
cost_contract_storage,,256,256,bytes,64564482.0,ns,8
cost_contract_storage,,256,256,bytes,63913230.0,ns,8
cost_contract_storage,,256,256,bytes,64024051.0,ns,8
cost_contract_storage,,256,256,bytes,64003768.0,ns,8
cost_contract_storage,,256,256,bytes,64021028.0,ns,8
cost_contract_storage,,256,256,bytes,63586732.0,ns,8
cost_contract_storage,,256,256,bytes,63532656.0,ns,8
cost_contract_storage,,256,256,bytes,67757198.0,ns,8
cost_contract_storage,,256,256,bytes,63648328.0,ns,8
cost_contract_storage,,256,256,bytes,63786524.0,ns,8
cost_contract_storage,,256,256,bytes,63834368.0,ns,8
cost_contract_storage,,256,256,bytes,63795261.0,ns,8
cost_contract_storage,,256,256,bytes,63880087.0,ns,8
cost_contract_storage,,256,256,bytes,63592459.0,ns,8
cost_contract_storage,,256,256,bytes,63558693.0,ns,8
cost_contract_storage,,256,256,bytes,61662378.0,ns,8
cost_contract_storage,,256,256,bytes,55804910.0,ns,8
cost_contract_storage,,256,256,bytes,55593811.0,ns,8
cost_contract_storage,,256,256,bytes,55695005.0,ns,8
cost_contract_storage,,256,256,bytes,55524799.0,ns,8
cost_contract_storage,,256,256,bytes,55495028.0,ns,8
cost_contract_storage,,256,256,bytes,55682427.0,ns,8
cost_contract_storage,,256,256,bytes,55632341.0,ns,8
cost_contract_storage,,256,256,bytes,55762090.0,ns,8
cost_contract_storage,,256,256,bytes,55698421.0,ns,8
cost_contract_storage,,256,256,bytes,55557666.0,ns,8
cost_contract_storage,,256,256,bytes,55615839.0,ns,8
cost_contract_storage,,256,256,bytes,55801070.0,ns,8
cost_contract_storage,,256,256,bytes,55650268.0,ns,8
cost_contract_storage,,256,256,bytes,55656878.0,ns,8
cost_contract_storage,,256,256,bytes,55895623.0,ns,8
cost_contract_storage,,256,256,bytes,55597870.0,ns,8
cost_contract_storage,,256,256,bytes,55336117.0,ns,8
cost_contract_storage,,256,256,bytes,55240519.0,ns,8
cost_contract_storage,,256,256,bytes,55240484.0,ns,8
cost_contract_storage,,256,256,bytes,55333781.0,ns,8
cost_contract_storage,,256,256,bytes,55459109.0,ns,8
cost_contract_storage,,256,256,bytes,55637624.0,ns,8
cost_contract_storage,,256,256,bytes,55795611.0,ns,8
cost_contract_storage,,256,256,bytes,55849654.0,ns,8
cost_contract_storage,,256,256,bytes,55576564.0,ns,8
cost_contract_storage,,256,256,bytes,55594028.0,ns,8
cost_contract_storage,,256,256,bytes,55647866.0,ns,8
cost_contract_storage,,256,256,bytes,55780842.0,ns,8
cost_contract_storage,,256,256,bytes,55768502.0,ns,8
cost_contract_storage,,256,256,bytes,55887527.0,ns,8
cost_contract_storage,,256,256,bytes,56015431.0,ns,8
cost_contract_storage,,256,256,bytes,56421795.0,ns,8
cost_contract_storage,,256,256,bytes,56714321.0,ns,8
cost_contract_storage,,256,256,bytes,56309587.0,ns,8
cost_contract_storage,,256,256,bytes,56086543.0,ns,8
cost_contract_storage,,256,256,bytes,56992426.0,ns,8
cost_contract_storage,,256,256,bytes,56264150.0,ns,8
cost_contract_storage,,256,256,bytes,56101776.0,ns,8
cost_contract_storage,,256,256,bytes,56268810.0,ns,8
cost_contract_storage,,256,256,bytes,56111621.0,ns,8
cost_contract_storage,,256,256,bytes,56013570.0,ns,8
cost_contract_storage,,256,256,bytes,55831616.0,ns,8
cost_contract_storage,,256,256,bytes,55984646.0,ns,8
cost_contract_storage,,256,256,bytes,56023720.0,ns,8
cost_contract_storage,,256,256,bytes,56054843.0,ns,8
cost_contract_storage,,256,256,bytes,55870572.0,ns,8
cost_contract_storage,,256,256,bytes,55977475.0,ns,8
cost_contract_storage,,256,256,bytes,55995347.0,ns,8
cost_contract_storage,,256,256,bytes,55968177.0,ns,8
cost_contract_storage,,256,256,bytes,56015262.0,ns,8
cost_contract_storage,,256,256,bytes,55867078.0,ns,8
cost_contract_storage,,256,256,bytes,63555927.0,ns,8
cost_contract_storage,,256,256,bytes,202674167.0,ns,8
cost_contract_storage,,256,256,bytes,55868581.0,ns,8
cost_contract_storage,,256,256,bytes,55647901.0,ns,8
cost_contract_storage,,256,256,bytes,55431493.0,ns,8
cost_contract_storage,,256,256,bytes,55178167.0,ns,8
cost_contract_storage,,256,256,bytes,55250188.0,ns,8
cost_contract_storage,,256,256,bytes,55321148.0,ns,8
cost_contract_storage,,256,256,bytes,55484912.0,ns,8
cost_contract_storage,,256,256,bytes,55209694.0,ns,8
cost_contract_storage,,256,256,bytes,55140867.0,ns,8
cost_contract_storage,,256,256,bytes,55504881.0,ns,8
cost_contract_storage,,256,256,bytes,55397556.0,ns,8
cost_contract_storage,,256,256,bytes,55094809.0,ns,8
cost_contract_storage,,256,256,bytes,55254014.0,ns,8
cost_contract_storage,,256,256,bytes,55132225.0,ns,8
cost_contract_storage,,256,256,bytes,55162403.0,ns,8
cost_contract_storage,,256,256,bytes,56620331.0,ns,8
cost_contract_storage,,256,256,bytes,62927083.0,ns,8
cost_contract_storage,,256,256,bytes,63783926.0,ns,8
cost_contract_storage,,256,256,bytes,63869817.0,ns,8
cost_contract_storage,,256,256,bytes,71928921.0,ns,8
