group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_ft,,0,0,bytes,1283131.0,ns,1
cost_create_ft,,0,0,bytes,2463313.0,ns,2
cost_create_ft,,0,0,bytes,3669227.0,ns,3
cost_create_ft,,0,0,bytes,4915386.0,ns,4
cost_create_ft,,0,0,bytes,6161931.0,ns,5
cost_create_ft,,0,0,bytes,7363438.0,ns,6
cost_create_ft,,0,0,bytes,8596247.0,ns,7
cost_create_ft,,0,0,bytes,9774096.0,ns,8
cost_create_ft,,0,0,bytes,11011941.0,ns,9
cost_create_ft,,0,0,bytes,12174472.0,ns,10
cost_create_ft,,0,0,bytes,13475042.0,ns,11
cost_create_ft,,0,0,bytes,14607637.0,ns,12
cost_create_ft,,0,0,bytes,15929859.0,ns,13
cost_create_ft,,0,0,bytes,17258737.0,ns,14
cost_create_ft,,0,0,bytes,18414447.0,ns,15
cost_create_ft,,0,0,bytes,19459047.0,ns,16
cost_create_ft,,0,0,bytes,20649110.0,ns,17
cost_create_ft,,0,0,bytes,22114130.0,ns,18
cost_create_ft,,0,0,bytes,23273687.0,ns,19
cost_create_ft,,0,0,bytes,24463686.0,ns,20
cost_create_ft,,0,0,bytes,25780172.0,ns,21
cost_create_ft,,0,0,bytes,26930441.0,ns,22
cost_create_ft,,0,0,bytes,28560282.0,ns,23
cost_create_ft,,0,0,bytes,29164286.0,ns,24
cost_create_ft,,0,0,bytes,30457653.0,ns,25
cost_create_ft,,0,0,bytes,31783647.0,ns,26
cost_create_ft,,0,0,bytes,33033804.0,ns,27
cost_create_ft,,0,0,bytes,34421984.0,ns,28
cost_create_ft,,0,0,bytes,36009734.0,ns,29
cost_create_ft,,0,0,bytes,37028125.0,ns,30
cost_create_ft,,0,0,bytes,502443366.0,ns,31
cost_create_ft,,0,0,bytes,38800663.0,ns,32
cost_create_ft,,0,0,bytes,40107766.0,ns,33
cost_create_ft,,0,0,bytes,41614270.0,ns,34
cost_create_ft,,0,0,bytes,42457179.0,ns,35
cost_create_ft,,0,0,bytes,43447529.0,ns,36
cost_create_ft,,0,0,bytes,44691181.0,ns,37
cost_create_ft,,0,0,bytes,46001166.0,ns,38
cost_create_ft,,0,0,bytes,47166435.0,ns,39
cost_create_ft,,0,0,bytes,48123277.0,ns,40
cost_create_ft,,0,0,bytes,49702085.0,ns,41
cost_create_ft,,0,0,bytes,50534875.0,ns,42
cost_create_ft,,0,0,bytes,51700192.0,ns,43
cost_create_ft,,0,0,bytes,52915024.0,ns,44
cost_create_ft,,0,0,bytes,54245770.0,ns,45
cost_create_ft,,0,0,bytes,55803854.0,ns,46
cost_create_ft,,0,0,bytes,57081473.0,ns,47
cost_create_ft,,0,0,bytes,62981973.0,ns,48
cost_create_ft,,0,0,bytes,59167204.0,ns,49
cost_create_ft,,0,0,bytes,60133109.0,ns,50
cost_create_ft,,0,0,bytes,61426826.0,ns,51
cost_create_ft,,0,0,bytes,62482112.0,ns,52
cost_create_ft,,0,0,bytes,63423215.0,ns,53
cost_create_ft,,0,0,bytes,64918884.0,ns,54
cost_create_ft,,0,0,bytes,66194765.0,ns,55
cost_create_ft,,0,0,bytes,67832820.0,ns,56
cost_create_ft,,0,0,bytes,68290361.0,ns,57
cost_create_ft,,0,0,bytes,69558266.0,ns,58
cost_create_ft,,0,0,bytes,70674448.0,ns,59
cost_create_ft,,0,0,bytes,71718639.0,ns,60
cost_create_ft,,0,0,bytes,73502941.0,ns,61
cost_create_ft,,0,0,bytes,84799348.0,ns,62
cost_create_ft,,0,0,bytes,75504618.0,ns,63
cost_create_ft,,0,0,bytes,76381524.0,ns,64
cost_create_ft,,0,0,bytes,77454253.0,ns,65
cost_create_ft,,0,0,bytes,79227889.0,ns,66
cost_create_ft,,0,0,bytes,80519787.0,ns,67
cost_create_ft,,0,0,bytes,81471361.0,ns,68
cost_create_ft,,0,0,bytes,83524538.0,ns,69
cost_create_ft,,0,0,bytes,85193570.0,ns,70
cost_create_ft,,0,0,bytes,85821056.0,ns,71
