group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_ft,,0,0,bytes,2672210.0,ns,3
cost_create_ft,,0,0,bytes,5002426.0,ns,6
cost_create_ft,,0,0,bytes,7526131.0,ns,9
cost_create_ft,,0,0,bytes,10035217.0,ns,12
cost_create_ft,,0,0,bytes,12530357.0,ns,15
cost_create_ft,,0,0,bytes,15020938.0,ns,18
cost_create_ft,,0,0,bytes,17551478.0,ns,21
cost_create_ft,,0,0,bytes,20046857.0,ns,24
cost_create_ft,,0,0,bytes,22616255.0,ns,27
cost_create_ft,,0,0,bytes,25141943.0,ns,30
cost_create_ft,,0,0,bytes,28118292.0,ns,33
cost_create_ft,,0,0,bytes,30110681.0,ns,36
cost_create_ft,,0,0,bytes,32623811.0,ns,39
cost_create_ft,,0,0,bytes,35131238.0,ns,42
cost_create_ft,,0,0,bytes,38389797.0,ns,45
cost_create_ft,,0,0,bytes,40177459.0,ns,48
cost_create_ft,,0,0,bytes,42697868.0,ns,51
cost_create_ft,,0,0,bytes,45164479.0,ns,54
cost_create_ft,,0,0,bytes,48517054.0,ns,57
cost_create_ft,,0,0,bytes,50345368.0,ns,60
cost_create_ft,,0,0,bytes,52843918.0,ns,63
cost_create_ft,,0,0,bytes,55245892.0,ns,66
cost_create_ft,,0,0,bytes,57732153.0,ns,69
cost_create_ft,,0,0,bytes,60185012.0,ns,72
cost_create_ft,,0,0,bytes,63250003.0,ns,75
cost_create_ft,,0,0,bytes,65315735.0,ns,78
cost_create_ft,,0,0,bytes,70804650.0,ns,81
cost_create_ft,,0,0,bytes,70510232.0,ns,84
cost_create_ft,,0,0,bytes,73358312.0,ns,87
cost_create_ft,,0,0,bytes,76337289.0,ns,90
cost_create_ft,,0,0,bytes,78440286.0,ns,93
cost_create_ft,,0,0,bytes,81119058.0,ns,96
cost_create_ft,,0,0,bytes,83588822.0,ns,99
cost_create_ft,,0,0,bytes,87113597.0,ns,102
cost_create_ft,,0,0,bytes,88768269.0,ns,105
cost_create_ft,,0,0,bytes,93088233.0,ns,108
cost_create_ft,,0,0,bytes,387196783.0,ns,111
cost_create_ft,,0,0,bytes,97051713.0,ns,114
cost_create_ft,,0,0,bytes,98917208.0,ns,117
cost_create_ft,,0,0,bytes,101623803.0,ns,120
cost_create_ft,,0,0,bytes,103625587.0,ns,123
cost_create_ft,,0,0,bytes,106060138.0,ns,126
cost_create_ft,,0,0,bytes,108754227.0,ns,129
cost_create_ft,,0,0,bytes,134306418.0,ns,132
cost_create_ft,,0,0,bytes,118707332.0,ns,135
cost_create_ft,,0,0,bytes,115988102.0,ns,138
cost_create_ft,,0,0,bytes,118697404.0,ns,141
cost_create_ft,,0,0,bytes,120234930.0,ns,144
cost_create_ft,,0,0,bytes,122813306.0,ns,147
cost_create_ft,,0,0,bytes,125103158.0,ns,150
cost_create_ft,,0,0,bytes,126860580.0,ns,153
cost_create_ft,,0,0,bytes,130176234.0,ns,156
cost_create_ft,,0,0,bytes,132996232.0,ns,159
cost_create_ft,,0,0,bytes,136295169.0,ns,162
cost_create_ft,,0,0,bytes,139357094.0,ns,165
cost_create_ft,,0,0,bytes,141103052.0,ns,168
cost_create_ft,,0,0,bytes,142604619.0,ns,171
cost_create_ft,,0,0,bytes,144989525.0,ns,174
cost_create_ft,,0,0,bytes,150074405.0,ns,177
cost_create_ft,,0,0,bytes,154812367.0,ns,180
cost_create_ft,,0,0,bytes,154711665.0,ns,183
cost_create_ft,,0,0,bytes,155741742.0,ns,186
cost_create_ft,,0,0,bytes,158137089.0,ns,189
cost_create_ft,,0,0,bytes,160112849.0,ns,192
cost_create_ft,,0,0,bytes,163076924.0,ns,195
cost_create_ft,,0,0,bytes,165034614.0,ns,198
cost_create_ft,,0,0,bytes,168002361.0,ns,201
cost_create_ft,,0,0,bytes,170446649.0,ns,204
cost_create_ft,,0,0,bytes,174145990.0,ns,207
cost_create_ft,,0,0,bytes,175466853.0,ns,210
cost_create_ft,,0,0,bytes,180433331.0,ns,213
cost_create_ft,,0,0,bytes,187407443.0,ns,216
cost_create_ft,,0,0,bytes,188778379.0,ns,219
cost_create_ft,,0,0,bytes,715207639.0,ns,222
cost_create_ft,,0,0,bytes,188308651.0,ns,225
cost_create_ft,,0,0,bytes,191014068.0,ns,228
cost_create_ft,,0,0,bytes,193372943.0,ns,231
cost_create_ft,,0,0,bytes,195375818.0,ns,234
cost_create_ft,,0,0,bytes,198213016.0,ns,237
cost_create_ft,,0,0,bytes,201562163.0,ns,240
cost_create_ft,,0,0,bytes,245190890.0,ns,243
cost_create_ft,,0,0,bytes,205184601.0,ns,246
cost_create_ft,,0,0,bytes,208715186.0,ns,249
cost_create_ft,,0,0,bytes,211781381.0,ns,252
cost_create_ft,,0,0,bytes,213371914.0,ns,255
cost_create_ft,,0,0,bytes,215550263.0,ns,258
cost_create_ft,,0,0,bytes,217163599.0,ns,261
cost_create_ft,,0,0,bytes,220109624.0,ns,264
cost_create_ft,,0,0,bytes,223055825.0,ns,267
cost_create_ft,,0,0,bytes,225830897.0,ns,270
cost_create_ft,,0,0,bytes,229166491.0,ns,273
cost_create_ft,,0,0,bytes,231951529.0,ns,276
cost_create_ft,,0,0,bytes,234320043.0,ns,279
cost_create_ft,,0,0,bytes,237311269.0,ns,282
cost_create_ft,,0,0,bytes,238597489.0,ns,285
cost_create_ft,,0,0,bytes,241821614.0,ns,288
cost_create_ft,,0,0,bytes,243262579.0,ns,291
cost_create_ft,,0,0,bytes,246561738.0,ns,294
cost_create_ft,,0,0,bytes,248642059.0,ns,297
cost_create_ft,,0,0,bytes,251275296.0,ns,300
