group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_map,,2,2,bytes,2734451.0,ns,3
cost_create_map,,2,2,bytes,5433319.0,ns,6
cost_create_map,,2,2,bytes,8104351.0,ns,9
cost_create_map,,2,2,bytes,10753707.0,ns,12
cost_create_map,,2,2,bytes,13397595.0,ns,15
cost_create_map,,2,2,bytes,16096158.0,ns,18
cost_create_map,,2,2,bytes,19211953.0,ns,21
cost_create_map,,2,2,bytes,21554192.0,ns,24
cost_create_map,,2,2,bytes,24247094.0,ns,27
cost_create_map,,2,2,bytes,27007981.0,ns,30
cost_create_map,,2,2,bytes,29567210.0,ns,33
cost_create_map,,2,2,bytes,32184047.0,ns,36
cost_create_map,,2,2,bytes,34821128.0,ns,39
cost_create_map,,2,2,bytes,37392671.0,ns,42
cost_create_map,,2,2,bytes,40310428.0,ns,45
cost_create_map,,2,2,bytes,42887082.0,ns,48
cost_create_map,,2,2,bytes,45447089.0,ns,51
cost_create_map,,2,2,bytes,48389285.0,ns,54
cost_create_map,,2,2,bytes,50895574.0,ns,57
cost_create_map,,2,2,bytes,53526508.0,ns,60
cost_create_map,,2,2,bytes,56222451.0,ns,63
cost_create_map,,2,2,bytes,59018173.0,ns,66
cost_create_map,,2,2,bytes,62336869.0,ns,69
cost_create_map,,2,2,bytes,65888761.0,ns,72
cost_create_map,,2,2,bytes,68777591.0,ns,75
cost_create_map,,2,2,bytes,70371234.0,ns,78
cost_create_map,,2,2,bytes,73427786.0,ns,81
cost_create_map,,2,2,bytes,76189308.0,ns,84
cost_create_map,,2,2,bytes,78835636.0,ns,87
cost_create_map,,2,2,bytes,81562091.0,ns,90
cost_create_map,,2,2,bytes,84364440.0,ns,93
cost_create_map,,2,2,bytes,87606164.0,ns,96
cost_create_map,,2,2,bytes,90289923.0,ns,99
cost_create_map,,2,2,bytes,92748850.0,ns,102
cost_create_map,,2,2,bytes,95634525.0,ns,105
cost_create_map,,2,2,bytes,100295924.0,ns,108
cost_create_map,,2,2,bytes,325744496.0,ns,111
cost_create_map,,2,2,bytes,101489254.0,ns,114
cost_create_map,,2,2,bytes,103607879.0,ns,117
cost_create_map,,2,2,bytes,106974541.0,ns,120
cost_create_map,,2,2,bytes,109294187.0,ns,123
cost_create_map,,2,2,bytes,111764548.0,ns,126
cost_create_map,,2,2,bytes,114471837.0,ns,129
cost_create_map,,2,2,bytes,128640919.0,ns,132
cost_create_map,,2,2,bytes,123036859.0,ns,135
cost_create_map,,2,2,bytes,123678104.0,ns,138
cost_create_map,,2,2,bytes,125863395.0,ns,141
cost_create_map,,2,2,bytes,128390495.0,ns,144
cost_create_map,,2,2,bytes,131450380.0,ns,147
cost_create_map,,2,2,bytes,134086408.0,ns,150
cost_create_map,,2,2,bytes,138876231.0,ns,153
cost_create_map,,2,2,bytes,141248504.0,ns,156
cost_create_map,,2,2,bytes,143317772.0,ns,159
cost_create_map,,2,2,bytes,145725790.0,ns,162
cost_create_map,,2,2,bytes,148279533.0,ns,165
cost_create_map,,2,2,bytes,150100964.0,ns,168
cost_create_map,,2,2,bytes,153527117.0,ns,171
cost_create_map,,2,2,bytes,156170349.0,ns,174
cost_create_map,,2,2,bytes,159392652.0,ns,177
cost_create_map,,2,2,bytes,161559380.0,ns,180
cost_create_map,,2,2,bytes,164450652.0,ns,183
cost_create_map,,2,2,bytes,168163595.0,ns,186
cost_create_map,,2,2,bytes,169881035.0,ns,189
cost_create_map,,2,2,bytes,175179605.0,ns,192
cost_create_map,,2,2,bytes,175366259.0,ns,195
cost_create_map,,2,2,bytes,178351571.0,ns,198
cost_create_map,,2,2,bytes,181758349.0,ns,201
cost_create_map,,2,2,bytes,184850060.0,ns,204
cost_create_map,,2,2,bytes,192857364.0,ns,207
cost_create_map,,2,2,bytes,190041240.0,ns,210
cost_create_map,,2,2,bytes,191610107.0,ns,213
cost_create_map,,2,2,bytes,195339550.0,ns,216
cost_create_map,,2,2,bytes,198842657.0,ns,219
cost_create_map,,2,2,bytes,729371683.0,ns,222
cost_create_map,,2,2,bytes,201347316.0,ns,225
cost_create_map,,2,2,bytes,204311421.0,ns,228
cost_create_map,,2,2,bytes,208881433.0,ns,231
cost_create_map,,2,2,bytes,212248042.0,ns,234
cost_create_map,,2,2,bytes,214905863.0,ns,237
cost_create_map,,2,2,bytes,216685081.0,ns,240
cost_create_map,,2,2,bytes,232856637.0,ns,243
cost_create_map,,2,2,bytes,224538177.0,ns,246
cost_create_map,,2,2,bytes,225640419.0,ns,249
cost_create_map,,2,2,bytes,229256905.0,ns,252
cost_create_map,,2,2,bytes,233530118.0,ns,255
cost_create_map,,2,2,bytes,234801456.0,ns,258
cost_create_map,,2,2,bytes,235987463.0,ns,261
cost_create_map,,2,2,bytes,238553187.0,ns,264
cost_create_map,,2,2,bytes,240661650.0,ns,267
cost_create_map,,2,2,bytes,246336807.0,ns,270
cost_create_map,,2,2,bytes,248311289.0,ns,273
cost_create_map,,2,2,bytes,252337153.0,ns,276
cost_create_map,,2,2,bytes,251879077.0,ns,279
cost_create_map,,2,2,bytes,257769371.0,ns,282
cost_create_map,,2,2,bytes,257087862.0,ns,285
cost_create_map,,2,2,bytes,261519841.0,ns,288
cost_create_map,,2,2,bytes,265142094.0,ns,291
cost_create_map,,2,2,bytes,271191899.0,ns,294
cost_create_map,,2,2,bytes,275160905.0,ns,297
cost_create_map,,2,2,bytes,275774404.0,ns,300
