group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_map,,65,65,bytes,2051286.0,ns,2
cost_create_map,,65,65,bytes,3943757.0,ns,4
cost_create_map,,65,65,bytes,5825095.0,ns,6
cost_create_map,,65,65,bytes,7737788.0,ns,8
cost_create_map,,65,65,bytes,9676581.0,ns,10
cost_create_map,,65,65,bytes,11643353.0,ns,12
cost_create_map,,65,65,bytes,13564776.0,ns,14
cost_create_map,,65,65,bytes,15491868.0,ns,16
cost_create_map,,65,65,bytes,17488269.0,ns,18
cost_create_map,,65,65,bytes,19338967.0,ns,20
cost_create_map,,65,65,bytes,21279517.0,ns,22
cost_create_map,,65,65,bytes,23202126.0,ns,24
cost_create_map,,65,65,bytes,25131404.0,ns,26
cost_create_map,,65,65,bytes,27039161.0,ns,28
cost_create_map,,65,65,bytes,29049323.0,ns,30
cost_create_map,,65,65,bytes,30954295.0,ns,32
cost_create_map,,65,65,bytes,32951978.0,ns,34
cost_create_map,,65,65,bytes,34950766.0,ns,36
cost_create_map,,65,65,bytes,37000142.0,ns,38
cost_create_map,,65,65,bytes,38837235.0,ns,40
cost_create_map,,65,65,bytes,40676916.0,ns,42
cost_create_map,,65,65,bytes,42703797.0,ns,44
cost_create_map,,65,65,bytes,44652991.0,ns,46
cost_create_map,,65,65,bytes,46592048.0,ns,48
cost_create_map,,65,65,bytes,48389743.0,ns,50
cost_create_map,,65,65,bytes,50439849.0,ns,52
cost_create_map,,65,65,bytes,52227571.0,ns,54
cost_create_map,,65,65,bytes,54493652.0,ns,56
cost_create_map,,65,65,bytes,56533505.0,ns,58
cost_create_map,,65,65,bytes,58206889.0,ns,60
cost_create_map,,65,65,bytes,60198474.0,ns,62
cost_create_map,,65,65,bytes,62064927.0,ns,64
cost_create_map,,65,65,bytes,64051932.0,ns,66
cost_create_map,,65,65,bytes,65743603.0,ns,68
cost_create_map,,65,65,bytes,67811933.0,ns,70
cost_create_map,,65,65,bytes,70048909.0,ns,72
cost_create_map,,65,65,bytes,72053093.0,ns,74
cost_create_map,,65,65,bytes,74081069.0,ns,76
cost_create_map,,65,65,bytes,76076477.0,ns,78
cost_create_map,,65,65,bytes,77951698.0,ns,80
cost_create_map,,65,65,bytes,79619969.0,ns,82
cost_create_map,,65,65,bytes,81810789.0,ns,84
cost_create_map,,65,65,bytes,85181539.0,ns,86
cost_create_map,,65,65,bytes,86291531.0,ns,88
cost_create_map,,65,65,bytes,361903354.0,ns,90
cost_create_map,,65,65,bytes,88235253.0,ns,92
cost_create_map,,65,65,bytes,90981955.0,ns,94
cost_create_map,,65,65,bytes,91518258.0,ns,96
cost_create_map,,65,65,bytes,92897233.0,ns,98
cost_create_map,,65,65,bytes,94757143.0,ns,100
cost_create_map,,65,65,bytes,97066949.0,ns,102
cost_create_map,,65,65,bytes,98732000.0,ns,104
cost_create_map,,65,65,bytes,100893999.0,ns,106
cost_create_map,,65,65,bytes,110300641.0,ns,108
cost_create_map,,65,65,bytes,104633866.0,ns,110
cost_create_map,,65,65,bytes,106827429.0,ns,112
cost_create_map,,65,65,bytes,108576742.0,ns,114
cost_create_map,,65,65,bytes,110620908.0,ns,116
cost_create_map,,65,65,bytes,112302415.0,ns,118
cost_create_map,,65,65,bytes,113712444.0,ns,120
cost_create_map,,65,65,bytes,116991015.0,ns,122
cost_create_map,,65,65,bytes,119337790.0,ns,124
cost_create_map,,65,65,bytes,120432195.0,ns,126
cost_create_map,,65,65,bytes,122288582.0,ns,128
cost_create_map,,65,65,bytes,123335718.0,ns,130
cost_create_map,,65,65,bytes,125658533.0,ns,132
cost_create_map,,65,65,bytes,126974520.0,ns,134
cost_create_map,,65,65,bytes,129336684.0,ns,136
cost_create_map,,65,65,bytes,131540032.0,ns,138
cost_create_map,,65,65,bytes,133889349.0,ns,140
cost_create_map,,65,65,bytes,135519768.0,ns,142
cost_create_map,,65,65,bytes,137292326.0,ns,144
cost_create_map,,65,65,bytes,139257565.0,ns,146
cost_create_map,,65,65,bytes,140948641.0,ns,148
cost_create_map,,65,65,bytes,142791398.0,ns,150
cost_create_map,,65,65,bytes,146110225.0,ns,152
cost_create_map,,65,65,bytes,146947772.0,ns,154
cost_create_map,,65,65,bytes,147934745.0,ns,156
cost_create_map,,65,65,bytes,150221143.0,ns,158
cost_create_map,,65,65,bytes,152022723.0,ns,160
cost_create_map,,65,65,bytes,154045514.0,ns,162
cost_create_map,,65,65,bytes,155767150.0,ns,164
cost_create_map,,65,65,bytes,159539795.0,ns,166
cost_create_map,,65,65,bytes,163055068.0,ns,168
cost_create_map,,65,65,bytes,163676698.0,ns,170
cost_create_map,,65,65,bytes,164863435.0,ns,172
cost_create_map,,65,65,bytes,166913161.0,ns,174
cost_create_map,,65,65,bytes,169046503.0,ns,176
cost_create_map,,65,65,bytes,172984392.0,ns,178
cost_create_map,,65,65,bytes,700092556.0,ns,180
cost_create_map,,65,65,bytes,176943842.0,ns,182
cost_create_map,,65,65,bytes,179095952.0,ns,184
cost_create_map,,65,65,bytes,181298961.0,ns,186
cost_create_map,,65,65,bytes,183527389.0,ns,188
cost_create_map,,65,65,bytes,185177676.0,ns,190
cost_create_map,,65,65,bytes,187216724.0,ns,192
cost_create_map,,65,65,bytes,192912418.0,ns,194
cost_create_map,,65,65,bytes,192609091.0,ns,196
cost_create_map,,65,65,bytes,208673183.0,ns,198
cost_create_map,,65,65,bytes,194237937.0,ns,200
