group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_nft,,512,512,bytes,2634287.0,ns,2
cost_create_nft,,512,512,bytes,4988990.0,ns,4
cost_create_nft,,512,512,bytes,7479862.0,ns,6
cost_create_nft,,512,512,bytes,9973755.0,ns,8
cost_create_nft,,512,512,bytes,12487298.0,ns,10
cost_create_nft,,512,512,bytes,14963941.0,ns,12
cost_create_nft,,512,512,bytes,17493729.0,ns,14
cost_create_nft,,512,512,bytes,20068358.0,ns,16
cost_create_nft,,512,512,bytes,22584378.0,ns,18
cost_create_nft,,512,512,bytes,25122989.0,ns,20
cost_create_nft,,512,512,bytes,27651483.0,ns,22
cost_create_nft,,512,512,bytes,30092985.0,ns,24
cost_create_nft,,512,512,bytes,32474979.0,ns,26
cost_create_nft,,512,512,bytes,34946525.0,ns,28
cost_create_nft,,512,512,bytes,37184455.0,ns,30
cost_create_nft,,512,512,bytes,39660964.0,ns,32
cost_create_nft,,512,512,bytes,42384016.0,ns,34
cost_create_nft,,512,512,bytes,44896505.0,ns,36
cost_create_nft,,512,512,bytes,47145719.0,ns,38
cost_create_nft,,512,512,bytes,49467561.0,ns,40
cost_create_nft,,512,512,bytes,52173283.0,ns,42
cost_create_nft,,512,512,bytes,54750117.0,ns,44
cost_create_nft,,512,512,bytes,57468209.0,ns,46
cost_create_nft,,512,512,bytes,59641285.0,ns,48
cost_create_nft,,512,512,bytes,61886657.0,ns,50
cost_create_nft,,512,512,bytes,65514974.0,ns,52
cost_create_nft,,512,512,bytes,67173640.0,ns,54
cost_create_nft,,512,512,bytes,69755841.0,ns,56
cost_create_nft,,512,512,bytes,72446073.0,ns,58
cost_create_nft,,512,512,bytes,74979952.0,ns,60
cost_create_nft,,512,512,bytes,77446145.0,ns,62
cost_create_nft,,512,512,bytes,79870011.0,ns,64
cost_create_nft,,512,512,bytes,82831622.0,ns,66
cost_create_nft,,512,512,bytes,84920868.0,ns,68
cost_create_nft,,512,512,bytes,87664734.0,ns,70
cost_create_nft,,512,512,bytes,90502940.0,ns,72
cost_create_nft,,512,512,bytes,92542929.0,ns,74
cost_create_nft,,512,512,bytes,95148377.0,ns,76
cost_create_nft,,512,512,bytes,97731512.0,ns,78
cost_create_nft,,512,512,bytes,99560888.0,ns,80
cost_create_nft,,512,512,bytes,102168135.0,ns,82
cost_create_nft,,512,512,bytes,105238901.0,ns,84
cost_create_nft,,512,512,bytes,108155571.0,ns,86
cost_create_nft,,512,512,bytes,112590752.0,ns,88
cost_create_nft,,512,512,bytes,477392416.0,ns,90
cost_create_nft,,512,512,bytes,114488719.0,ns,92
cost_create_nft,,512,512,bytes,116528346.0,ns,94
cost_create_nft,,512,512,bytes,119393175.0,ns,96
cost_create_nft,,512,512,bytes,121125950.0,ns,98
