group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_var,,16,16,bytes,2582581.0,ns,2
cost_create_var,,16,16,bytes,5005251.0,ns,4
cost_create_var,,16,16,bytes,7510934.0,ns,6
cost_create_var,,16,16,bytes,10062409.0,ns,8
cost_create_var,,16,16,bytes,12557363.0,ns,10
cost_create_var,,16,16,bytes,15086687.0,ns,12
cost_create_var,,16,16,bytes,17645970.0,ns,14
cost_create_var,,16,16,bytes,20113812.0,ns,16
cost_create_var,,16,16,bytes,22520190.0,ns,18
cost_create_var,,16,16,bytes,25023474.0,ns,20
cost_create_var,,16,16,bytes,27574020.0,ns,22
cost_create_var,,16,16,bytes,30153391.0,ns,24
cost_create_var,,16,16,bytes,33075704.0,ns,26
cost_create_var,,16,16,bytes,35164828.0,ns,28
cost_create_var,,16,16,bytes,37711865.0,ns,30
cost_create_var,,16,16,bytes,40313881.0,ns,32
cost_create_var,,16,16,bytes,42786044.0,ns,34
cost_create_var,,16,16,bytes,45301735.0,ns,36
cost_create_var,,16,16,bytes,47782504.0,ns,38
cost_create_var,,16,16,bytes,51013436.0,ns,40
cost_create_var,,16,16,bytes,52953707.0,ns,42
cost_create_var,,16,16,bytes,55301373.0,ns,44
cost_create_var,,16,16,bytes,57763002.0,ns,46
cost_create_var,,16,16,bytes,60694890.0,ns,48
cost_create_var,,16,16,bytes,63032303.0,ns,50
cost_create_var,,16,16,bytes,65612604.0,ns,52
cost_create_var,,16,16,bytes,68891142.0,ns,54
cost_create_var,,16,16,bytes,71154119.0,ns,56
cost_create_var,,16,16,bytes,73676984.0,ns,58
cost_create_var,,16,16,bytes,76363160.0,ns,60
cost_create_var,,16,16,bytes,79269831.0,ns,62
cost_create_var,,16,16,bytes,81486957.0,ns,64
cost_create_var,,16,16,bytes,83940858.0,ns,66
cost_create_var,,16,16,bytes,86505671.0,ns,68
cost_create_var,,16,16,bytes,89243507.0,ns,70
cost_create_var,,16,16,bytes,91915478.0,ns,72
cost_create_var,,16,16,bytes,94865654.0,ns,74
cost_create_var,,16,16,bytes,97113062.0,ns,76
cost_create_var,,16,16,bytes,99786476.0,ns,78
cost_create_var,,16,16,bytes,101748710.0,ns,80
cost_create_var,,16,16,bytes,104619201.0,ns,82
cost_create_var,,16,16,bytes,108084815.0,ns,84
cost_create_var,,16,16,bytes,109547909.0,ns,86
cost_create_var,,16,16,bytes,112113030.0,ns,88
cost_create_var,,16,16,bytes,454568627.0,ns,90
cost_create_var,,16,16,bytes,116691765.0,ns,92
cost_create_var,,16,16,bytes,118896149.0,ns,94
cost_create_var,,16,16,bytes,121712381.0,ns,96
cost_create_var,,16,16,bytes,124472399.0,ns,98
cost_create_var,,16,16,bytes,127255594.0,ns,100
cost_create_var,,16,16,bytes,129767211.0,ns,102
cost_create_var,,16,16,bytes,132089078.0,ns,104
cost_create_var,,16,16,bytes,134522454.0,ns,106
cost_create_var,,16,16,bytes,146449192.0,ns,108
cost_create_var,,16,16,bytes,139767417.0,ns,110
cost_create_var,,16,16,bytes,142531872.0,ns,112
cost_create_var,,16,16,bytes,144855977.0,ns,114
cost_create_var,,16,16,bytes,147209264.0,ns,116
cost_create_var,,16,16,bytes,150606139.0,ns,118
cost_create_var,,16,16,bytes,153192033.0,ns,120
cost_create_var,,16,16,bytes,154714893.0,ns,122
cost_create_var,,16,16,bytes,156728102.0,ns,124
cost_create_var,,16,16,bytes,159372254.0,ns,126
cost_create_var,,16,16,bytes,163327349.0,ns,128
cost_create_var,,16,16,bytes,164623890.0,ns,130
cost_create_var,,16,16,bytes,167626629.0,ns,132
cost_create_var,,16,16,bytes,170707818.0,ns,134
cost_create_var,,16,16,bytes,172066551.0,ns,136
cost_create_var,,16,16,bytes,175024869.0,ns,138
cost_create_var,,16,16,bytes,178235843.0,ns,140
cost_create_var,,16,16,bytes,181529520.0,ns,142
cost_create_var,,16,16,bytes,184472480.0,ns,144
cost_create_var,,16,16,bytes,187957915.0,ns,146
cost_create_var,,16,16,bytes,188549526.0,ns,148
cost_create_var,,16,16,bytes,190749772.0,ns,150
cost_create_var,,16,16,bytes,193471060.0,ns,152
cost_create_var,,16,16,bytes,197529856.0,ns,154
cost_create_var,,16,16,bytes,198791796.0,ns,156
cost_create_var,,16,16,bytes,201236902.0,ns,158
cost_create_var,,16,16,bytes,205114731.0,ns,160
cost_create_var,,16,16,bytes,206311515.0,ns,162
cost_create_var,,16,16,bytes,210436173.0,ns,164
cost_create_var,,16,16,bytes,212056931.0,ns,166
cost_create_var,,16,16,bytes,214643901.0,ns,168
cost_create_var,,16,16,bytes,218445112.0,ns,170
cost_create_var,,16,16,bytes,220378506.0,ns,172
cost_create_var,,16,16,bytes,223952009.0,ns,174
cost_create_var,,16,16,bytes,226622591.0,ns,176
cost_create_var,,16,16,bytes,229893481.0,ns,178
cost_create_var,,16,16,bytes,1030075854.0,ns,180
cost_create_var,,16,16,bytes,231505291.0,ns,182
cost_create_var,,16,16,bytes,239069717.0,ns,184
cost_create_var,,16,16,bytes,237780097.0,ns,186
cost_create_var,,16,16,bytes,240035158.0,ns,188
cost_create_var,,16,16,bytes,243997760.0,ns,190
cost_create_var,,16,16,bytes,245114311.0,ns,192
cost_create_var,,16,16,bytes,246073367.0,ns,194
cost_create_var,,16,16,bytes,246856817.0,ns,196
cost_create_var,,16,16,bytes,292995994.0,ns,198
cost_create_var,,16,16,bytes,253196938.0,ns,200
