group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_create_var,,256,256,bytes,2456223.0,ns,1
cost_create_var,,256,256,bytes,4741931.0,ns,2
cost_create_var,,256,256,bytes,7091051.0,ns,3
cost_create_var,,256,256,bytes,9459263.0,ns,4
cost_create_var,,256,256,bytes,11812624.0,ns,5
cost_create_var,,256,256,bytes,14206474.0,ns,6
cost_create_var,,256,256,bytes,16580740.0,ns,7
cost_create_var,,256,256,bytes,18979311.0,ns,8
cost_create_var,,256,256,bytes,21338194.0,ns,9
cost_create_var,,256,256,bytes,23903785.0,ns,10
cost_create_var,,256,256,bytes,26288602.0,ns,11
cost_create_var,,256,256,bytes,28386183.0,ns,12
cost_create_var,,256,256,bytes,30703370.0,ns,13
cost_create_var,,256,256,bytes,32999761.0,ns,14
cost_create_var,,256,256,bytes,35481026.0,ns,15
cost_create_var,,256,256,bytes,37861542.0,ns,16
cost_create_var,,256,256,bytes,40741667.0,ns,17
cost_create_var,,256,256,bytes,42685586.0,ns,18
cost_create_var,,256,256,bytes,44946106.0,ns,19
cost_create_var,,256,256,bytes,47445510.0,ns,20
cost_create_var,,256,256,bytes,49552790.0,ns,21
cost_create_var,,256,256,bytes,51995952.0,ns,22
cost_create_var,,256,256,bytes,54258433.0,ns,23
cost_create_var,,256,256,bytes,56512957.0,ns,24
cost_create_var,,256,256,bytes,58988109.0,ns,25
cost_create_var,,256,256,bytes,61502316.0,ns,26
cost_create_var,,256,256,bytes,63664593.0,ns,27
cost_create_var,,256,256,bytes,66150623.0,ns,28
cost_create_var,,256,256,bytes,68765260.0,ns,29
cost_create_var,,256,256,bytes,71189395.0,ns,30
cost_create_var,,256,256,bytes,73431343.0,ns,31
cost_create_var,,256,256,bytes,75793920.0,ns,32
cost_create_var,,256,256,bytes,78412785.0,ns,33
cost_create_var,,256,256,bytes,80466309.0,ns,34
cost_create_var,,256,256,bytes,82951554.0,ns,35
cost_create_var,,256,256,bytes,85506797.0,ns,36
cost_create_var,,256,256,bytes,88105777.0,ns,37
cost_create_var,,256,256,bytes,90399763.0,ns,38
cost_create_var,,256,256,bytes,92794467.0,ns,39
cost_create_var,,256,256,bytes,95121436.0,ns,40
cost_create_var,,256,256,bytes,97727836.0,ns,41
cost_create_var,,256,256,bytes,101008100.0,ns,42
cost_create_var,,256,256,bytes,102840703.0,ns,43
cost_create_var,,256,256,bytes,106653709.0,ns,44
cost_create_var,,256,256,bytes,317480201.0,ns,45
cost_create_var,,256,256,bytes,107581291.0,ns,46
cost_create_var,,256,256,bytes,109630822.0,ns,47
cost_create_var,,256,256,bytes,112193046.0,ns,48
cost_create_var,,256,256,bytes,114661320.0,ns,49
cost_create_var,,256,256,bytes,117113571.0,ns,50
cost_create_var,,256,256,bytes,120891894.0,ns,51
cost_create_var,,256,256,bytes,121676994.0,ns,52
cost_create_var,,256,256,bytes,123858121.0,ns,53
cost_create_var,,256,256,bytes,131054051.0,ns,54
cost_create_var,,256,256,bytes,127746980.0,ns,55
cost_create_var,,256,256,bytes,131017934.0,ns,56
cost_create_var,,256,256,bytes,133462489.0,ns,57
cost_create_var,,256,256,bytes,135869929.0,ns,58
cost_create_var,,256,256,bytes,138753830.0,ns,59
cost_create_var,,256,256,bytes,142709621.0,ns,60
cost_create_var,,256,256,bytes,143366700.0,ns,61
cost_create_var,,256,256,bytes,146158424.0,ns,62
cost_create_var,,256,256,bytes,148588788.0,ns,63
cost_create_var,,256,256,bytes,150628391.0,ns,64
cost_create_var,,256,256,bytes,152905870.0,ns,65
cost_create_var,,256,256,bytes,155037518.0,ns,66
cost_create_var,,256,256,bytes,157174112.0,ns,67
cost_create_var,,256,256,bytes,159978633.0,ns,68
cost_create_var,,256,256,bytes,161812775.0,ns,69
cost_create_var,,256,256,bytes,164257759.0,ns,70
cost_create_var,,256,256,bytes,166456015.0,ns,71
cost_create_var,,256,256,bytes,170355145.0,ns,72
cost_create_var,,256,256,bytes,173517646.0,ns,73
cost_create_var,,256,256,bytes,174086847.0,ns,74
cost_create_var,,256,256,bytes,176087218.0,ns,75
cost_create_var,,256,256,bytes,177887018.0,ns,76
cost_create_var,,256,256,bytes,180256835.0,ns,77
cost_create_var,,256,256,bytes,182976952.0,ns,78
cost_create_var,,256,256,bytes,185426493.0,ns,79
cost_create_var,,256,256,bytes,188330644.0,ns,80
cost_create_var,,256,256,bytes,190360800.0,ns,81
cost_create_var,,256,256,bytes,192877085.0,ns,82
cost_create_var,,256,256,bytes,197608659.0,ns,83
cost_create_var,,256,256,bytes,197222059.0,ns,84
cost_create_var,,256,256,bytes,199595057.0,ns,85
cost_create_var,,256,256,bytes,202311354.0,ns,86
cost_create_var,,256,256,bytes,205266567.0,ns,87
cost_create_var,,256,256,bytes,208551943.0,ns,88
cost_create_var,,256,256,bytes,210503938.0,ns,89
cost_create_var,,256,256,bytes,625117250.0,ns,90
cost_create_var,,256,256,bytes,213646272.0,ns,91
cost_create_var,,256,256,bytes,216788500.0,ns,92
cost_create_var,,256,256,bytes,217086775.0,ns,93
cost_create_var,,256,256,bytes,219198422.0,ns,94
cost_create_var,,256,256,bytes,221965562.0,ns,95
cost_create_var,,256,256,bytes,224139254.0,ns,96
cost_create_var,,256,256,bytes,226409400.0,ns,97
cost_create_var,,256,256,bytes,228020855.0,ns,98
cost_create_var,,256,256,bytes,240124688.0,ns,99
cost_create_var,,256,256,bytes,235589655.0,ns,100
