group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_default_to,,1,1,bytes,1096277.0,ns,7
cost_default_to,,1,1,bytes,2145091.0,ns,14
cost_default_to,,1,1,bytes,3213179.0,ns,21
cost_default_to,,1,1,bytes,4293582.0,ns,28
cost_default_to,,1,1,bytes,5388928.0,ns,35
cost_default_to,,1,1,bytes,6441548.0,ns,42
cost_default_to,,1,1,bytes,7515615.0,ns,49
cost_default_to,,1,1,bytes,8573827.0,ns,56
cost_default_to,,1,1,bytes,9645587.0,ns,63
cost_default_to,,1,1,bytes,10703130.0,ns,70
cost_default_to,,1,1,bytes,11789420.0,ns,77
cost_default_to,,1,1,bytes,12843006.0,ns,84
cost_default_to,,1,1,bytes,13937290.0,ns,91
cost_default_to,,1,1,bytes,14997240.0,ns,98
cost_default_to,,1,1,bytes,16070654.0,ns,105
cost_default_to,,1,1,bytes,17133212.0,ns,112
cost_default_to,,1,1,bytes,18195696.0,ns,119
cost_default_to,,1,1,bytes,19269620.0,ns,126
cost_default_to,,1,1,bytes,20320960.0,ns,133
cost_default_to,,1,1,bytes,21366240.0,ns,140
cost_default_to,,1,1,bytes,22940594.0,ns,147
cost_default_to,,1,1,bytes,23998259.0,ns,154
cost_default_to,,1,1,bytes,24930847.0,ns,161
cost_default_to,,1,1,bytes,26116440.0,ns,168
cost_default_to,,1,1,bytes,26722630.0,ns,175
cost_default_to,,1,1,bytes,27747902.0,ns,182
cost_default_to,,1,1,bytes,29077336.0,ns,189
cost_default_to,,1,1,bytes,30211400.0,ns,196
cost_default_to,,1,1,bytes,31440819.0,ns,203
cost_default_to,,1,1,bytes,32415999.0,ns,210
cost_default_to,,1,1,bytes,33709266.0,ns,217
cost_default_to,,1,1,bytes,34475468.0,ns,224
cost_default_to,,1,1,bytes,35393089.0,ns,231
cost_default_to,,1,1,bytes,36430804.0,ns,238
cost_default_to,,1,1,bytes,37502740.0,ns,245
cost_default_to,,1,1,bytes,38710792.0,ns,252
cost_default_to,,1,1,bytes,39911642.0,ns,259
cost_default_to,,1,1,bytes,40957738.0,ns,266
cost_default_to,,1,1,bytes,41907803.0,ns,273
cost_default_to,,1,1,bytes,43014823.0,ns,280
cost_default_to,,1,1,bytes,44000914.0,ns,287
cost_default_to,,1,1,bytes,45069577.0,ns,294
cost_default_to,,1,1,bytes,46250114.0,ns,301
cost_default_to,,1,1,bytes,47173095.0,ns,308
cost_default_to,,1,1,bytes,48246702.0,ns,315
cost_default_to,,1,1,bytes,49586484.0,ns,322
cost_default_to,,1,1,bytes,50478157.0,ns,329
cost_default_to,,1,1,bytes,51853704.0,ns,336
cost_default_to,,1,1,bytes,52630100.0,ns,343
cost_default_to,,1,1,bytes,53666383.0,ns,350
cost_default_to,,1,1,bytes,54693314.0,ns,357
cost_default_to,,1,1,bytes,56032985.0,ns,364
cost_default_to,,1,1,bytes,56886089.0,ns,371
cost_default_to,,1,1,bytes,58259110.0,ns,378
cost_default_to,,1,1,bytes,59227655.0,ns,385
cost_default_to,,1,1,bytes,60548830.0,ns,392
cost_default_to,,1,1,bytes,61343391.0,ns,399
cost_default_to,,1,1,bytes,62345320.0,ns,406
cost_default_to,,1,1,bytes,63368498.0,ns,413
cost_default_to,,1,1,bytes,64317202.0,ns,420
cost_default_to,,1,1,bytes,65605877.0,ns,427
cost_default_to,,1,1,bytes,66796259.0,ns,434
cost_default_to,,1,1,bytes,67731521.0,ns,441
cost_default_to,,1,1,bytes,68632676.0,ns,448
cost_default_to,,1,1,bytes,69601471.0,ns,455
cost_default_to,,1,1,bytes,70813977.0,ns,462
cost_default_to,,1,1,bytes,72602939.0,ns,469
cost_default_to,,1,1,bytes,73519322.0,ns,476
cost_default_to,,1,1,bytes,74169105.0,ns,483
cost_default_to,,1,1,bytes,75320152.0,ns,490
cost_default_to,,1,1,bytes,76292678.0,ns,497
cost_default_to,,1,1,bytes,77221933.0,ns,504
cost_default_to,,1,1,bytes,78247818.0,ns,511
cost_default_to,,1,1,bytes,79395469.0,ns,518
cost_default_to,,1,1,bytes,80734350.0,ns,525
cost_default_to,,1,1,bytes,81308103.0,ns,532
cost_default_to,,1,1,bytes,82560518.0,ns,539
cost_default_to,,1,1,bytes,83539759.0,ns,546
cost_default_to,,1,1,bytes,84890457.0,ns,553
cost_default_to,,1,1,bytes,85800820.0,ns,560
cost_default_to,,1,1,bytes,88091924.0,ns,567
cost_default_to,,1,1,bytes,88095929.0,ns,574
cost_default_to,,1,1,bytes,89891968.0,ns,581
cost_default_to,,1,1,bytes,90245236.0,ns,588
cost_default_to,,1,1,bytes,91475832.0,ns,595
cost_default_to,,1,1,bytes,92185362.0,ns,602
cost_default_to,,1,1,bytes,93148733.0,ns,609
cost_default_to,,1,1,bytes,94527959.0,ns,616
cost_default_to,,1,1,bytes,95327541.0,ns,623
cost_default_to,,1,1,bytes,96545135.0,ns,630
cost_default_to,,1,1,bytes,98200621.0,ns,637
cost_default_to,,1,1,bytes,98852989.0,ns,644
cost_default_to,,1,1,bytes,99517861.0,ns,651
cost_default_to,,1,1,bytes,100991145.0,ns,658
cost_default_to,,1,1,bytes,102178495.0,ns,665
cost_default_to,,1,1,bytes,103871961.0,ns,672
cost_default_to,,1,1,bytes,104562817.0,ns,679
cost_default_to,,1,1,bytes,105147567.0,ns,686
cost_default_to,,1,1,bytes,106411894.0,ns,693
cost_default_to,,1,1,bytes,108631095.0,ns,700
