group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_default_to,,1,1,bytes,2206437.0,ns,28
cost_default_to,,1,1,bytes,4666955.0,ns,56
cost_default_to,,1,1,bytes,6082861.0,ns,84
cost_default_to,,1,1,bytes,8080183.0,ns,112
cost_default_to,,1,1,bytes,10094805.0,ns,140
cost_default_to,,1,1,bytes,12113076.0,ns,168
cost_default_to,,1,1,bytes,14138104.0,ns,196
cost_default_to,,1,1,bytes,16178256.0,ns,224
cost_default_to,,1,1,bytes,18198757.0,ns,252
cost_default_to,,1,1,bytes,20210595.0,ns,280
cost_default_to,,1,1,bytes,22232245.0,ns,308
cost_default_to,,1,1,bytes,24250013.0,ns,336
cost_default_to,,1,1,bytes,26285745.0,ns,364
cost_default_to,,1,1,bytes,28496107.0,ns,392
cost_default_to,,1,1,bytes,30306504.0,ns,420
cost_default_to,,1,1,bytes,32460653.0,ns,448
cost_default_to,,1,1,bytes,34411215.0,ns,476
cost_default_to,,1,1,bytes,36423654.0,ns,504
cost_default_to,,1,1,bytes,38452754.0,ns,532
cost_default_to,,1,1,bytes,40467065.0,ns,560
cost_default_to,,1,1,bytes,42450168.0,ns,588
cost_default_to,,1,1,bytes,44474683.0,ns,616
cost_default_to,,1,1,bytes,46471745.0,ns,644
cost_default_to,,1,1,bytes,48530090.0,ns,672
cost_default_to,,1,1,bytes,50541620.0,ns,700
cost_default_to,,1,1,bytes,52608995.0,ns,728
cost_default_to,,1,1,bytes,54686198.0,ns,756
cost_default_to,,1,1,bytes,56736290.0,ns,784
cost_default_to,,1,1,bytes,58764983.0,ns,812
cost_default_to,,1,1,bytes,60913060.0,ns,840
cost_default_to,,1,1,bytes,62828505.0,ns,868
cost_default_to,,1,1,bytes,64786800.0,ns,896
cost_default_to,,1,1,bytes,66756057.0,ns,924
cost_default_to,,1,1,bytes,68809715.0,ns,952
cost_default_to,,1,1,bytes,71132495.0,ns,980
cost_default_to,,1,1,bytes,73023682.0,ns,1008
cost_default_to,,1,1,bytes,75033441.0,ns,1036
cost_default_to,,1,1,bytes,77111132.0,ns,1064
cost_default_to,,1,1,bytes,79072929.0,ns,1092
cost_default_to,,1,1,bytes,81057047.0,ns,1120
cost_default_to,,1,1,bytes,83047305.0,ns,1148
cost_default_to,,1,1,bytes,85077466.0,ns,1176
cost_default_to,,1,1,bytes,87156053.0,ns,1204
cost_default_to,,1,1,bytes,89066562.0,ns,1232
cost_default_to,,1,1,bytes,92396218.0,ns,1260
cost_default_to,,1,1,bytes,93258215.0,ns,1288
cost_default_to,,1,1,bytes,94971030.0,ns,1316
cost_default_to,,1,1,bytes,96986543.0,ns,1344
cost_default_to,,1,1,bytes,98964657.0,ns,1372
cost_default_to,,1,1,bytes,101004151.0,ns,1400
cost_default_to,,1,1,bytes,103162716.0,ns,1428
cost_default_to,,1,1,bytes,105073172.0,ns,1456
cost_default_to,,1,1,bytes,107073043.0,ns,1484
cost_default_to,,1,1,bytes,109183232.0,ns,1512
cost_default_to,,1,1,bytes,111075733.0,ns,1540
cost_default_to,,1,1,bytes,113436709.0,ns,1568
cost_default_to,,1,1,bytes,115450840.0,ns,1596
cost_default_to,,1,1,bytes,117290398.0,ns,1624
cost_default_to,,1,1,bytes,119329021.0,ns,1652
cost_default_to,,1,1,bytes,121327731.0,ns,1680
cost_default_to,,1,1,bytes,123213733.0,ns,1708
cost_default_to,,1,1,bytes,125389305.0,ns,1736
cost_default_to,,1,1,bytes,127734054.0,ns,1764
cost_default_to,,1,1,bytes,129269126.0,ns,1792
cost_default_to,,1,1,bytes,131331433.0,ns,1820
cost_default_to,,1,1,bytes,133226969.0,ns,1848
cost_default_to,,1,1,bytes,135366308.0,ns,1876
cost_default_to,,1,1,bytes,137330505.0,ns,1904
cost_default_to,,1,1,bytes,139279676.0,ns,1932
cost_default_to,,1,1,bytes,141602950.0,ns,1960
cost_default_to,,1,1,bytes,143448488.0,ns,1988
cost_default_to,,1,1,bytes,146020938.0,ns,2016
cost_default_to,,1,1,bytes,147572367.0,ns,2044
cost_default_to,,1,1,bytes,149437528.0,ns,2072
cost_default_to,,1,1,bytes,151393504.0,ns,2100
cost_default_to,,1,1,bytes,153550033.0,ns,2128
cost_default_to,,1,1,bytes,156075399.0,ns,2156
cost_default_to,,1,1,bytes,157928856.0,ns,2184
cost_default_to,,1,1,bytes,159860391.0,ns,2212
cost_default_to,,1,1,bytes,161860771.0,ns,2240
cost_default_to,,1,1,bytes,164168194.0,ns,2268
cost_default_to,,1,1,bytes,166332546.0,ns,2296
cost_default_to,,1,1,bytes,168227684.0,ns,2324
cost_default_to,,1,1,bytes,170209922.0,ns,2352
cost_default_to,,1,1,bytes,173193847.0,ns,2380
cost_default_to,,1,1,bytes,174296698.0,ns,2408
cost_default_to,,1,1,bytes,176322607.0,ns,2436
cost_default_to,,1,1,bytes,178178748.0,ns,2464
cost_default_to,,1,1,bytes,181337905.0,ns,2492
cost_default_to,,1,1,bytes,182961274.0,ns,2520
cost_default_to,,1,1,bytes,184043915.0,ns,2548
cost_default_to,,1,1,bytes,186059166.0,ns,2576
cost_default_to,,1,1,bytes,187989122.0,ns,2604
cost_default_to,,1,1,bytes,189931961.0,ns,2632
cost_default_to,,1,1,bytes,192250670.0,ns,2660
cost_default_to,,1,1,bytes,194899908.0,ns,2688
cost_default_to,,1,1,bytes,197050168.0,ns,2716
cost_default_to,,1,1,bytes,199211485.0,ns,2744
cost_default_to,,1,1,bytes,201848192.0,ns,2772
cost_default_to,,1,1,bytes,203388469.0,ns,2800
