group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_div,,3,3,bytes,2143069.0,ns,37
cost_div,,3,3,bytes,3999632.0,ns,74
cost_div,,3,3,bytes,5992290.0,ns,111
cost_div,,3,3,bytes,7963014.0,ns,148
cost_div,,3,3,bytes,9945964.0,ns,185
cost_div,,3,3,bytes,12020061.0,ns,222
cost_div,,3,3,bytes,13951109.0,ns,259
cost_div,,3,3,bytes,15971541.0,ns,296
cost_div,,3,3,bytes,17927786.0,ns,333
cost_div,,3,3,bytes,19904400.0,ns,370
cost_div,,3,3,bytes,21898282.0,ns,407
cost_div,,3,3,bytes,23949087.0,ns,444
cost_div,,3,3,bytes,25870760.0,ns,481
cost_div,,3,3,bytes,27860414.0,ns,518
cost_div,,3,3,bytes,29872480.0,ns,555
cost_div,,3,3,bytes,31941423.0,ns,592
cost_div,,3,3,bytes,33853982.0,ns,629
cost_div,,3,3,bytes,35840747.0,ns,666
cost_div,,3,3,bytes,37845712.0,ns,703
cost_div,,3,3,bytes,39874451.0,ns,740
cost_div,,3,3,bytes,41844898.0,ns,777
cost_div,,3,3,bytes,43894277.0,ns,814
cost_div,,3,3,bytes,45804596.0,ns,851
cost_div,,3,3,bytes,47867108.0,ns,888
cost_div,,3,3,bytes,49776184.0,ns,925
cost_div,,3,3,bytes,52256887.0,ns,962
cost_div,,3,3,bytes,53842779.0,ns,999
cost_div,,3,3,bytes,55771470.0,ns,1036
cost_div,,3,3,bytes,57743258.0,ns,1073
cost_div,,3,3,bytes,59796070.0,ns,1110
cost_div,,3,3,bytes,61707569.0,ns,1147
cost_div,,3,3,bytes,63743748.0,ns,1184
cost_div,,3,3,bytes,65724108.0,ns,1221
cost_div,,3,3,bytes,67671516.0,ns,1258
cost_div,,3,3,bytes,69867713.0,ns,1295
cost_div,,3,3,bytes,71745630.0,ns,1332
cost_div,,3,3,bytes,73649630.0,ns,1369
cost_div,,3,3,bytes,75667055.0,ns,1406
cost_div,,3,3,bytes,77650297.0,ns,1443
cost_div,,3,3,bytes,79966968.0,ns,1480
cost_div,,3,3,bytes,81978644.0,ns,1517
cost_div,,3,3,bytes,83974836.0,ns,1554
cost_div,,3,3,bytes,85996783.0,ns,1591
cost_div,,3,3,bytes,87797712.0,ns,1628
cost_div,,3,3,bytes,89733226.0,ns,1665
cost_div,,3,3,bytes,91644318.0,ns,1702
cost_div,,3,3,bytes,93581319.0,ns,1739
cost_div,,3,3,bytes,95623875.0,ns,1776
cost_div,,3,3,bytes,97589672.0,ns,1813
cost_div,,3,3,bytes,99576588.0,ns,1850
cost_div,,3,3,bytes,101608996.0,ns,1887
cost_div,,3,3,bytes,103562330.0,ns,1924
cost_div,,3,3,bytes,105569910.0,ns,1961
cost_div,,3,3,bytes,107512212.0,ns,1998
cost_div,,3,3,bytes,109521997.0,ns,2035
cost_div,,3,3,bytes,111507430.0,ns,2072
cost_div,,3,3,bytes,113419830.0,ns,2109
cost_div,,3,3,bytes,115565051.0,ns,2146
cost_div,,3,3,bytes,117548512.0,ns,2183
cost_div,,3,3,bytes,119370186.0,ns,2220
cost_div,,3,3,bytes,121988023.0,ns,2257
cost_div,,3,3,bytes,123397194.0,ns,2294
cost_div,,3,3,bytes,127039790.0,ns,2331
cost_div,,3,3,bytes,127452721.0,ns,2368
cost_div,,3,3,bytes,129528917.0,ns,2405
cost_div,,3,3,bytes,131408983.0,ns,2442
cost_div,,3,3,bytes,133321547.0,ns,2479
cost_div,,3,3,bytes,135255347.0,ns,2516
cost_div,,3,3,bytes,137300001.0,ns,2553
cost_div,,3,3,bytes,139632596.0,ns,2590
cost_div,,3,3,bytes,141315724.0,ns,2627
cost_div,,3,3,bytes,143224665.0,ns,2664
cost_div,,3,3,bytes,145277722.0,ns,2701
cost_div,,3,3,bytes,147299981.0,ns,2738
cost_div,,3,3,bytes,149238955.0,ns,2775
cost_div,,3,3,bytes,151599673.0,ns,2812
cost_div,,3,3,bytes,153640018.0,ns,2849
cost_div,,3,3,bytes,155317749.0,ns,2886
cost_div,,3,3,bytes,157184072.0,ns,2923
cost_div,,3,3,bytes,159181037.0,ns,2960
cost_div,,3,3,bytes,161204859.0,ns,2997
cost_div,,3,3,bytes,163158863.0,ns,3034
cost_div,,3,3,bytes,165474610.0,ns,3071
cost_div,,3,3,bytes,167414244.0,ns,3108
cost_div,,3,3,bytes,170330551.0,ns,3145
cost_div,,3,3,bytes,171356048.0,ns,3182
cost_div,,3,3,bytes,173375982.0,ns,3219
cost_div,,3,3,bytes,175359522.0,ns,3256
cost_div,,3,3,bytes,177268051.0,ns,3293
cost_div,,3,3,bytes,179251896.0,ns,3330
cost_div,,3,3,bytes,181087498.0,ns,3367
cost_div,,3,3,bytes,183126450.0,ns,3404
cost_div,,3,3,bytes,185349362.0,ns,3441
cost_div,,3,3,bytes,187495732.0,ns,3478
cost_div,,3,3,bytes,189267492.0,ns,3515
cost_div,,3,3,bytes,191173689.0,ns,3552
cost_div,,3,3,bytes,193264824.0,ns,3589
cost_div,,3,3,bytes,195066174.0,ns,3626
cost_div,,3,3,bytes,197111497.0,ns,3663
cost_div,,3,3,bytes,200093373.0,ns,3700
