group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_div,,8,8,bytes,2017365.0,ns,19
cost_div,,8,8,bytes,4024284.0,ns,38
cost_div,,8,8,bytes,6070675.0,ns,57
cost_div,,8,8,bytes,8051892.0,ns,76
cost_div,,8,8,bytes,10303192.0,ns,95
cost_div,,8,8,bytes,12353276.0,ns,114
cost_div,,8,8,bytes,14116916.0,ns,133
cost_div,,8,8,bytes,16063557.0,ns,152
cost_div,,8,8,bytes,18106931.0,ns,171
cost_div,,8,8,bytes,20038758.0,ns,190
cost_div,,8,8,bytes,22071846.0,ns,209
cost_div,,8,8,bytes,24051047.0,ns,228
cost_div,,8,8,bytes,26275262.0,ns,247
cost_div,,8,8,bytes,28257433.0,ns,266
cost_div,,8,8,bytes,30214421.0,ns,285
cost_div,,8,8,bytes,32053030.0,ns,304
cost_div,,8,8,bytes,34423364.0,ns,323
cost_div,,8,8,bytes,37001630.0,ns,342
cost_div,,8,8,bytes,38518374.0,ns,361
cost_div,,8,8,bytes,40186253.0,ns,380
cost_div,,8,8,bytes,42081971.0,ns,399
cost_div,,8,8,bytes,44186564.0,ns,418
cost_div,,8,8,bytes,46181509.0,ns,437
cost_div,,8,8,bytes,48110757.0,ns,456
cost_div,,8,8,bytes,50065522.0,ns,475
cost_div,,8,8,bytes,52158261.0,ns,494
cost_div,,8,8,bytes,54041783.0,ns,513
cost_div,,8,8,bytes,56051433.0,ns,532
cost_div,,8,8,bytes,58074594.0,ns,551
cost_div,,8,8,bytes,60148058.0,ns,570
cost_div,,8,8,bytes,62980899.0,ns,589
cost_div,,8,8,bytes,64566526.0,ns,608
cost_div,,8,8,bytes,66437010.0,ns,627
cost_div,,8,8,bytes,68839990.0,ns,646
cost_div,,8,8,bytes,70151149.0,ns,665
cost_div,,8,8,bytes,72029610.0,ns,684
cost_div,,8,8,bytes,74055928.0,ns,703
cost_div,,8,8,bytes,76161147.0,ns,722
cost_div,,8,8,bytes,78073159.0,ns,741
cost_div,,8,8,bytes,80058363.0,ns,760
cost_div,,8,8,bytes,82076927.0,ns,779
cost_div,,8,8,bytes,83953280.0,ns,798
cost_div,,8,8,bytes,85966937.0,ns,817
cost_div,,8,8,bytes,87931261.0,ns,836
cost_div,,8,8,bytes,90334711.0,ns,855
cost_div,,8,8,bytes,92737904.0,ns,874
cost_div,,8,8,bytes,94122408.0,ns,893
cost_div,,8,8,bytes,96017512.0,ns,912
cost_div,,8,8,bytes,97975406.0,ns,931
cost_div,,8,8,bytes,99958372.0,ns,950
cost_div,,8,8,bytes,102006560.0,ns,969
cost_div,,8,8,bytes,104177598.0,ns,988
cost_div,,8,8,bytes,106095472.0,ns,1007
cost_div,,8,8,bytes,107990512.0,ns,1026
cost_div,,8,8,bytes,109984741.0,ns,1045
cost_div,,8,8,bytes,111968191.0,ns,1064
cost_div,,8,8,bytes,115248436.0,ns,1083
cost_div,,8,8,bytes,115986401.0,ns,1102
cost_div,,8,8,bytes,118062970.0,ns,1121
cost_div,,8,8,bytes,119935747.0,ns,1140
cost_div,,8,8,bytes,122121821.0,ns,1159
cost_div,,8,8,bytes,124119651.0,ns,1178
cost_div,,8,8,bytes,126547477.0,ns,1197
cost_div,,8,8,bytes,129515454.0,ns,1216
cost_div,,8,8,bytes,130305554.0,ns,1235
cost_div,,8,8,bytes,132266035.0,ns,1254
cost_div,,8,8,bytes,134181309.0,ns,1273
cost_div,,8,8,bytes,136011656.0,ns,1292
cost_div,,8,8,bytes,138110899.0,ns,1311
cost_div,,8,8,bytes,140422941.0,ns,1330
cost_div,,8,8,bytes,143324898.0,ns,1349
cost_div,,8,8,bytes,144414083.0,ns,1368
cost_div,,8,8,bytes,145938838.0,ns,1387
cost_div,,8,8,bytes,147958263.0,ns,1406
cost_div,,8,8,bytes,149859820.0,ns,1425
cost_div,,8,8,bytes,152106709.0,ns,1444
cost_div,,8,8,bytes,153884522.0,ns,1463
cost_div,,8,8,bytes,156323551.0,ns,1482
cost_div,,8,8,bytes,158030005.0,ns,1501
cost_div,,8,8,bytes,160013352.0,ns,1520
cost_div,,8,8,bytes,161989601.0,ns,1539
cost_div,,8,8,bytes,164061815.0,ns,1558
cost_div,,8,8,bytes,166093037.0,ns,1577
cost_div,,8,8,bytes,168073293.0,ns,1596
cost_div,,8,8,bytes,170580540.0,ns,1615
cost_div,,8,8,bytes,172162561.0,ns,1634
cost_div,,8,8,bytes,174087384.0,ns,1653
cost_div,,8,8,bytes,176108247.0,ns,1672
cost_div,,8,8,bytes,178722553.0,ns,1691
cost_div,,8,8,bytes,181705765.0,ns,1710
cost_div,,8,8,bytes,182480524.0,ns,1729
cost_div,,8,8,bytes,184487929.0,ns,1748
cost_div,,8,8,bytes,186181985.0,ns,1767
cost_div,,8,8,bytes,188087456.0,ns,1786
cost_div,,8,8,bytes,190308456.0,ns,1805
cost_div,,8,8,bytes,193205761.0,ns,1824
cost_div,,8,8,bytes,194874639.0,ns,1843
cost_div,,8,8,bytes,196824789.0,ns,1862
cost_div,,8,8,bytes,198356225.0,ns,1881
cost_div,,8,8,bytes,201361774.0,ns,1900
