group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_element_at,,1,1,bytes,2291425.0,ns,9
cost_element_at,,1,1,bytes,4452507.0,ns,18
cost_element_at,,1,1,bytes,6616135.0,ns,27
cost_element_at,,1,1,bytes,8799491.0,ns,36
cost_element_at,,1,1,bytes,11033227.0,ns,45
cost_element_at,,1,1,bytes,13213515.0,ns,54
cost_element_at,,1,1,bytes,15434116.0,ns,63
cost_element_at,,1,1,bytes,17658603.0,ns,72
cost_element_at,,1,1,bytes,19820388.0,ns,81
cost_element_at,,1,1,bytes,21988304.0,ns,90
cost_element_at,,1,1,bytes,24207883.0,ns,99
cost_element_at,,1,1,bytes,26385046.0,ns,108
cost_element_at,,1,1,bytes,28590457.0,ns,117
cost_element_at,,1,1,bytes,30808255.0,ns,126
cost_element_at,,1,1,bytes,33014513.0,ns,135
cost_element_at,,1,1,bytes,35205842.0,ns,144
cost_element_at,,1,1,bytes,38115164.0,ns,153
cost_element_at,,1,1,bytes,39600074.0,ns,162
cost_element_at,,1,1,bytes,41765571.0,ns,171
cost_element_at,,1,1,bytes,43961707.0,ns,180
cost_element_at,,1,1,bytes,46166105.0,ns,189
cost_element_at,,1,1,bytes,48324419.0,ns,198
cost_element_at,,1,1,bytes,50550563.0,ns,207
cost_element_at,,1,1,bytes,52816660.0,ns,216
cost_element_at,,1,1,bytes,54995373.0,ns,225
cost_element_at,,1,1,bytes,57224604.0,ns,234
cost_element_at,,1,1,bytes,59434492.0,ns,243
cost_element_at,,1,1,bytes,61660640.0,ns,252
cost_element_at,,1,1,bytes,63952872.0,ns,261
cost_element_at,,1,1,bytes,65994585.0,ns,270
cost_element_at,,1,1,bytes,68187406.0,ns,279
cost_element_at,,1,1,bytes,70516625.0,ns,288
cost_element_at,,1,1,bytes,72703316.0,ns,297
cost_element_at,,1,1,bytes,74879248.0,ns,306
cost_element_at,,1,1,bytes,77075652.0,ns,315
cost_element_at,,1,1,bytes,79261978.0,ns,324
cost_element_at,,1,1,bytes,81387990.0,ns,333
cost_element_at,,1,1,bytes,83581242.0,ns,342
cost_element_at,,1,1,bytes,85782841.0,ns,351
cost_element_at,,1,1,bytes,87994693.0,ns,360
cost_element_at,,1,1,bytes,91345124.0,ns,369
cost_element_at,,1,1,bytes,93379573.0,ns,378
cost_element_at,,1,1,bytes,94784250.0,ns,387
cost_element_at,,1,1,bytes,96903173.0,ns,396
cost_element_at,,1,1,bytes,99097892.0,ns,405
cost_element_at,,1,1,bytes,102245323.0,ns,414
cost_element_at,,1,1,bytes,103333326.0,ns,423
cost_element_at,,1,1,bytes,105594534.0,ns,432
cost_element_at,,1,1,bytes,107908578.0,ns,441
cost_element_at,,1,1,bytes,110438645.0,ns,450
cost_element_at,,1,1,bytes,112960355.0,ns,459
cost_element_at,,1,1,bytes,114600577.0,ns,468
cost_element_at,,1,1,bytes,116844541.0,ns,477
cost_element_at,,1,1,bytes,119002523.0,ns,486
cost_element_at,,1,1,bytes,121163509.0,ns,495
cost_element_at,,1,1,bytes,123507457.0,ns,504
cost_element_at,,1,1,bytes,125567339.0,ns,513
cost_element_at,,1,1,bytes,127883828.0,ns,522
cost_element_at,,1,1,bytes,130064650.0,ns,531
cost_element_at,,1,1,bytes,132262508.0,ns,540
cost_element_at,,1,1,bytes,134327255.0,ns,549
cost_element_at,,1,1,bytes,136620589.0,ns,558
cost_element_at,,1,1,bytes,138791570.0,ns,567
cost_element_at,,1,1,bytes,140802396.0,ns,576
cost_element_at,,1,1,bytes,142991271.0,ns,585
cost_element_at,,1,1,bytes,145461643.0,ns,594
cost_element_at,,1,1,bytes,148997725.0,ns,603
cost_element_at,,1,1,bytes,149867336.0,ns,612
cost_element_at,,1,1,bytes,152003276.0,ns,621
cost_element_at,,1,1,bytes,154017784.0,ns,630
cost_element_at,,1,1,bytes,156347403.0,ns,639
cost_element_at,,1,1,bytes,158367166.0,ns,648
cost_element_at,,1,1,bytes,160602693.0,ns,657
cost_element_at,,1,1,bytes,162809252.0,ns,666
cost_element_at,,1,1,bytes,164895358.0,ns,675
cost_element_at,,1,1,bytes,170059141.0,ns,684
cost_element_at,,1,1,bytes,169475231.0,ns,693
cost_element_at,,1,1,bytes,171608410.0,ns,702
cost_element_at,,1,1,bytes,174875301.0,ns,711
cost_element_at,,1,1,bytes,176533423.0,ns,720
cost_element_at,,1,1,bytes,178476932.0,ns,729
cost_element_at,,1,1,bytes,180528634.0,ns,738
cost_element_at,,1,1,bytes,182831995.0,ns,747
cost_element_at,,1,1,bytes,184875160.0,ns,756
cost_element_at,,1,1,bytes,187030068.0,ns,765
cost_element_at,,1,1,bytes,189114577.0,ns,774
cost_element_at,,1,1,bytes,191546937.0,ns,783
cost_element_at,,1,1,bytes,193600229.0,ns,792
cost_element_at,,1,1,bytes,195804561.0,ns,801
cost_element_at,,1,1,bytes,198605355.0,ns,810
cost_element_at,,1,1,bytes,200364676.0,ns,819
cost_element_at,,1,1,bytes,203389457.0,ns,828
cost_element_at,,1,1,bytes,207465466.0,ns,837
cost_element_at,,1,1,bytes,208645369.0,ns,846
cost_element_at,,1,1,bytes,211218999.0,ns,855
cost_element_at,,1,1,bytes,211431053.0,ns,864
cost_element_at,,1,1,bytes,215186279.0,ns,873
cost_element_at,,1,1,bytes,215796210.0,ns,882
cost_element_at,,1,1,bytes,218406964.0,ns,891
cost_element_at,,1,1,bytes,221884314.0,ns,900
