group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_element_at,,1,1,bytes,997761.0,ns,3
cost_element_at,,1,1,bytes,1978592.0,ns,6
cost_element_at,,1,1,bytes,2990243.0,ns,9
cost_element_at,,1,1,bytes,3957046.0,ns,12
cost_element_at,,1,1,bytes,4946631.0,ns,15
cost_element_at,,1,1,bytes,5933077.0,ns,18
cost_element_at,,1,1,bytes,6894674.0,ns,21
cost_element_at,,1,1,bytes,7909727.0,ns,24
cost_element_at,,1,1,bytes,8860652.0,ns,27
cost_element_at,,1,1,bytes,9865171.0,ns,30
cost_element_at,,1,1,bytes,10836836.0,ns,33
cost_element_at,,1,1,bytes,11882744.0,ns,36
cost_element_at,,1,1,bytes,12830575.0,ns,39
cost_element_at,,1,1,bytes,13806478.0,ns,42
cost_element_at,,1,1,bytes,14760097.0,ns,45
cost_element_at,,1,1,bytes,15757976.0,ns,48
cost_element_at,,1,1,bytes,16726510.0,ns,51
cost_element_at,,1,1,bytes,17770197.0,ns,54
cost_element_at,,1,1,bytes,18721065.0,ns,57
cost_element_at,,1,1,bytes,19705218.0,ns,60
cost_element_at,,1,1,bytes,20644439.0,ns,63
cost_element_at,,1,1,bytes,21715029.0,ns,66
cost_element_at,,1,1,bytes,22788779.0,ns,69
cost_element_at,,1,1,bytes,23684517.0,ns,72
cost_element_at,,1,1,bytes,24629581.0,ns,75
cost_element_at,,1,1,bytes,25685849.0,ns,78
cost_element_at,,1,1,bytes,26613403.0,ns,81
cost_element_at,,1,1,bytes,27555322.0,ns,84
cost_element_at,,1,1,bytes,28543492.0,ns,87
cost_element_at,,1,1,bytes,29515084.0,ns,90
cost_element_at,,1,1,bytes,30616705.0,ns,93
cost_element_at,,1,1,bytes,31557924.0,ns,96
cost_element_at,,1,1,bytes,32690880.0,ns,99
cost_element_at,,1,1,bytes,33520577.0,ns,102
cost_element_at,,1,1,bytes,34562653.0,ns,105
cost_element_at,,1,1,bytes,35439228.0,ns,108
cost_element_at,,1,1,bytes,36586257.0,ns,111
cost_element_at,,1,1,bytes,37490634.0,ns,114
cost_element_at,,1,1,bytes,38435154.0,ns,117
cost_element_at,,1,1,bytes,39397328.0,ns,120
cost_element_at,,1,1,bytes,40439103.0,ns,123
cost_element_at,,1,1,bytes,41310706.0,ns,126
cost_element_at,,1,1,bytes,42525419.0,ns,129
cost_element_at,,1,1,bytes,43870102.0,ns,132
cost_element_at,,1,1,bytes,44723567.0,ns,135
cost_element_at,,1,1,bytes,45974624.0,ns,138
cost_element_at,,1,1,bytes,46353408.0,ns,141
cost_element_at,,1,1,bytes,47345964.0,ns,144
cost_element_at,,1,1,bytes,48207919.0,ns,147
cost_element_at,,1,1,bytes,49234048.0,ns,150
cost_element_at,,1,1,bytes,50278098.0,ns,153
cost_element_at,,1,1,bytes,51193233.0,ns,156
cost_element_at,,1,1,bytes,52151555.0,ns,159
cost_element_at,,1,1,bytes,53163638.0,ns,162
cost_element_at,,1,1,bytes,54111708.0,ns,165
cost_element_at,,1,1,bytes,55162933.0,ns,168
cost_element_at,,1,1,bytes,56189068.0,ns,171
cost_element_at,,1,1,bytes,57107732.0,ns,174
cost_element_at,,1,1,bytes,58050756.0,ns,177
cost_element_at,,1,1,bytes,59068320.0,ns,180
cost_element_at,,1,1,bytes,60153885.0,ns,183
cost_element_at,,1,1,bytes,61059482.0,ns,186
cost_element_at,,1,1,bytes,62029629.0,ns,189
cost_element_at,,1,1,bytes,63451886.0,ns,192
cost_element_at,,1,1,bytes,64074753.0,ns,195
cost_element_at,,1,1,bytes,65724322.0,ns,198
cost_element_at,,1,1,bytes,66157447.0,ns,201
cost_element_at,,1,1,bytes,67079260.0,ns,204
cost_element_at,,1,1,bytes,68179442.0,ns,207
cost_element_at,,1,1,bytes,68998366.0,ns,210
cost_element_at,,1,1,bytes,69978545.0,ns,213
cost_element_at,,1,1,bytes,70877463.0,ns,216
cost_element_at,,1,1,bytes,71872167.0,ns,219
cost_element_at,,1,1,bytes,73054680.0,ns,222
cost_element_at,,1,1,bytes,74037636.0,ns,225
cost_element_at,,1,1,bytes,74988441.0,ns,228
cost_element_at,,1,1,bytes,75887704.0,ns,231
cost_element_at,,1,1,bytes,77236148.0,ns,234
cost_element_at,,1,1,bytes,78640723.0,ns,237
cost_element_at,,1,1,bytes,79012960.0,ns,240
cost_element_at,,1,1,bytes,80048042.0,ns,243
cost_element_at,,1,1,bytes,81298558.0,ns,246
cost_element_at,,1,1,bytes,81982235.0,ns,249
cost_element_at,,1,1,bytes,82712991.0,ns,252
cost_element_at,,1,1,bytes,84412187.0,ns,255
cost_element_at,,1,1,bytes,85292916.0,ns,258
cost_element_at,,1,1,bytes,85880101.0,ns,261
cost_element_at,,1,1,bytes,86827283.0,ns,264
cost_element_at,,1,1,bytes,87922904.0,ns,267
cost_element_at,,1,1,bytes,89229716.0,ns,270
cost_element_at,,1,1,bytes,90258594.0,ns,273
cost_element_at,,1,1,bytes,90794389.0,ns,276
cost_element_at,,1,1,bytes,92246620.0,ns,279
cost_element_at,,1,1,bytes,92999050.0,ns,282
cost_element_at,,1,1,bytes,93900750.0,ns,285
cost_element_at,,1,1,bytes,94866178.0,ns,288
cost_element_at,,1,1,bytes,95719145.0,ns,291
cost_element_at,,1,1,bytes,96898119.0,ns,294
cost_element_at,,1,1,bytes,97330295.0,ns,297
cost_element_at,,1,1,bytes,98675703.0,ns,300
