group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_err_cons,,1,1,bytes,1004960.0,ns,8
cost_err_cons,,1,1,bytes,1967309.0,ns,16
cost_err_cons,,1,1,bytes,2959048.0,ns,24
cost_err_cons,,1,1,bytes,3992859.0,ns,32
cost_err_cons,,1,1,bytes,4935925.0,ns,40
cost_err_cons,,1,1,bytes,5926384.0,ns,48
cost_err_cons,,1,1,bytes,6887510.0,ns,56
cost_err_cons,,1,1,bytes,7899438.0,ns,64
cost_err_cons,,1,1,bytes,8862344.0,ns,72
cost_err_cons,,1,1,bytes,9875569.0,ns,80
cost_err_cons,,1,1,bytes,11239430.0,ns,88
cost_err_cons,,1,1,bytes,11826734.0,ns,96
cost_err_cons,,1,1,bytes,12813030.0,ns,104
cost_err_cons,,1,1,bytes,13822770.0,ns,112
cost_err_cons,,1,1,bytes,14854222.0,ns,120
cost_err_cons,,1,1,bytes,15789172.0,ns,128
cost_err_cons,,1,1,bytes,16819357.0,ns,136
cost_err_cons,,1,1,bytes,17752126.0,ns,144
cost_err_cons,,1,1,bytes,18748294.0,ns,152
cost_err_cons,,1,1,bytes,19717757.0,ns,160
cost_err_cons,,1,1,bytes,20731512.0,ns,168
cost_err_cons,,1,1,bytes,21696202.0,ns,176
cost_err_cons,,1,1,bytes,22700046.0,ns,184
cost_err_cons,,1,1,bytes,23664933.0,ns,192
cost_err_cons,,1,1,bytes,24672920.0,ns,200
cost_err_cons,,1,1,bytes,25639561.0,ns,208
cost_err_cons,,1,1,bytes,26616184.0,ns,216
cost_err_cons,,1,1,bytes,27600857.0,ns,224
cost_err_cons,,1,1,bytes,28594409.0,ns,232
cost_err_cons,,1,1,bytes,29584053.0,ns,240
cost_err_cons,,1,1,bytes,30572200.0,ns,248
cost_err_cons,,1,1,bytes,31524915.0,ns,256
cost_err_cons,,1,1,bytes,32756925.0,ns,264
cost_err_cons,,1,1,bytes,33593533.0,ns,272
cost_err_cons,,1,1,bytes,34749806.0,ns,280
cost_err_cons,,1,1,bytes,35642626.0,ns,288
cost_err_cons,,1,1,bytes,36828395.0,ns,296
cost_err_cons,,1,1,bytes,37632456.0,ns,304
cost_err_cons,,1,1,bytes,38463696.0,ns,312
cost_err_cons,,1,1,bytes,39493079.0,ns,320
cost_err_cons,,1,1,bytes,40458311.0,ns,328
cost_err_cons,,1,1,bytes,41417034.0,ns,336
cost_err_cons,,1,1,bytes,42400477.0,ns,344
