group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_err_cons,,22,22,bytes,2169889.0,ns,40
cost_err_cons,,22,22,bytes,4038808.0,ns,80
cost_err_cons,,22,22,bytes,6058454.0,ns,120
cost_err_cons,,22,22,bytes,8214136.0,ns,160
cost_err_cons,,22,22,bytes,10132355.0,ns,200
cost_err_cons,,22,22,bytes,12154279.0,ns,240
cost_err_cons,,22,22,bytes,14167199.0,ns,280
cost_err_cons,,22,22,bytes,16153983.0,ns,320
cost_err_cons,,22,22,bytes,18172422.0,ns,360
cost_err_cons,,22,22,bytes,20280774.0,ns,400
cost_err_cons,,22,22,bytes,22188057.0,ns,440
cost_err_cons,,22,22,bytes,24234771.0,ns,480
cost_err_cons,,22,22,bytes,26216972.0,ns,520
cost_err_cons,,22,22,bytes,28223122.0,ns,560
cost_err_cons,,22,22,bytes,30308713.0,ns,600
cost_err_cons,,22,22,bytes,32300358.0,ns,640
cost_err_cons,,22,22,bytes,34385734.0,ns,680
cost_err_cons,,22,22,bytes,36713948.0,ns,720
cost_err_cons,,22,22,bytes,38368599.0,ns,760
cost_err_cons,,22,22,bytes,40375312.0,ns,800
cost_err_cons,,22,22,bytes,42398205.0,ns,840
cost_err_cons,,22,22,bytes,44463196.0,ns,880
cost_err_cons,,22,22,bytes,46432735.0,ns,920
cost_err_cons,,22,22,bytes,50228103.0,ns,960
cost_err_cons,,22,22,bytes,50469700.0,ns,1000
cost_err_cons,,22,22,bytes,52547399.0,ns,1040
cost_err_cons,,22,22,bytes,54544751.0,ns,1080
cost_err_cons,,22,22,bytes,56835900.0,ns,1120
cost_err_cons,,22,22,bytes,58598637.0,ns,1160
cost_err_cons,,22,22,bytes,60656709.0,ns,1200
cost_err_cons,,22,22,bytes,62793815.0,ns,1240
cost_err_cons,,22,22,bytes,64641492.0,ns,1280
cost_err_cons,,22,22,bytes,66735221.0,ns,1320
cost_err_cons,,22,22,bytes,68680440.0,ns,1360
cost_err_cons,,22,22,bytes,70722507.0,ns,1400
cost_err_cons,,22,22,bytes,72761526.0,ns,1440
cost_err_cons,,22,22,bytes,74722478.0,ns,1480
cost_err_cons,,22,22,bytes,77608102.0,ns,1520
cost_err_cons,,22,22,bytes,78801085.0,ns,1560
cost_err_cons,,22,22,bytes,80758759.0,ns,1600
cost_err_cons,,22,22,bytes,82795297.0,ns,1640
cost_err_cons,,22,22,bytes,84822143.0,ns,1680
cost_err_cons,,22,22,bytes,86854850.0,ns,1720
cost_err_cons,,22,22,bytes,88925777.0,ns,1760
cost_err_cons,,22,22,bytes,90846709.0,ns,1800
cost_err_cons,,22,22,bytes,93022196.0,ns,1840
cost_err_cons,,22,22,bytes,94954319.0,ns,1880
cost_err_cons,,22,22,bytes,96968884.0,ns,1920
cost_err_cons,,22,22,bytes,98898586.0,ns,1960
cost_err_cons,,22,22,bytes,101221975.0,ns,2000
cost_err_cons,,22,22,bytes,103097218.0,ns,2040
cost_err_cons,,22,22,bytes,105066536.0,ns,2080
cost_err_cons,,22,22,bytes,106978489.0,ns,2120
cost_err_cons,,22,22,bytes,109833843.0,ns,2160
cost_err_cons,,22,22,bytes,111014119.0,ns,2200
cost_err_cons,,22,22,bytes,113223360.0,ns,2240
cost_err_cons,,22,22,bytes,115111510.0,ns,2280
cost_err_cons,,22,22,bytes,117248603.0,ns,2320
cost_err_cons,,22,22,bytes,119078991.0,ns,2360
cost_err_cons,,22,22,bytes,121016358.0,ns,2400
cost_err_cons,,22,22,bytes,123248909.0,ns,2440
cost_err_cons,,22,22,bytes,125617659.0,ns,2480
cost_err_cons,,22,22,bytes,127739301.0,ns,2520
cost_err_cons,,22,22,bytes,129288410.0,ns,2560
cost_err_cons,,22,22,bytes,131302451.0,ns,2600
cost_err_cons,,22,22,bytes,133287663.0,ns,2640
cost_err_cons,,22,22,bytes,135287497.0,ns,2680
cost_err_cons,,22,22,bytes,137268200.0,ns,2720
cost_err_cons,,22,22,bytes,139308665.0,ns,2760
cost_err_cons,,22,22,bytes,141691688.0,ns,2800
cost_err_cons,,22,22,bytes,143421468.0,ns,2840
cost_err_cons,,22,22,bytes,145405490.0,ns,2880
cost_err_cons,,22,22,bytes,147551628.0,ns,2920
cost_err_cons,,22,22,bytes,149486865.0,ns,2960
cost_err_cons,,22,22,bytes,151673056.0,ns,3000
cost_err_cons,,22,22,bytes,153491591.0,ns,3040
cost_err_cons,,22,22,bytes,155804853.0,ns,3080
cost_err_cons,,22,22,bytes,157587261.0,ns,3120
cost_err_cons,,22,22,bytes,159576140.0,ns,3160
cost_err_cons,,22,22,bytes,161514513.0,ns,3200
cost_err_cons,,22,22,bytes,163537411.0,ns,3240
cost_err_cons,,22,22,bytes,165501148.0,ns,3280
cost_err_cons,,22,22,bytes,167879257.0,ns,3320
cost_err_cons,,22,22,bytes,169650759.0,ns,3360
cost_err_cons,,22,22,bytes,171597578.0,ns,3400
cost_err_cons,,22,22,bytes,175018490.0,ns,3440
cost_err_cons,,22,22,bytes,175592756.0,ns,3480
cost_err_cons,,22,22,bytes,177644332.0,ns,3520
cost_err_cons,,22,22,bytes,179785622.0,ns,3560
cost_err_cons,,22,22,bytes,181809436.0,ns,3600
cost_err_cons,,22,22,bytes,183918324.0,ns,3640
cost_err_cons,,22,22,bytes,185982282.0,ns,3680
cost_err_cons,,22,22,bytes,188121333.0,ns,3720
cost_err_cons,,22,22,bytes,190905340.0,ns,3760
cost_err_cons,,22,22,bytes,191906572.0,ns,3800
cost_err_cons,,22,22,bytes,193794033.0,ns,3840
cost_err_cons,,22,22,bytes,195787486.0,ns,3880
cost_err_cons,,22,22,bytes,197782559.0,ns,3920
cost_err_cons,,22,22,bytes,199919048.0,ns,3960
cost_err_cons,,22,22,bytes,201958629.0,ns,4000
