group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_fetch_entry,,16,16,bytes,2883887.0,ns,3
cost_fetch_entry,,16,16,bytes,5676805.0,ns,6
cost_fetch_entry,,16,16,bytes,8528370.0,ns,9
cost_fetch_entry,,16,16,bytes,11357011.0,ns,12
cost_fetch_entry,,16,16,bytes,14284303.0,ns,15
cost_fetch_entry,,16,16,bytes,17026009.0,ns,18
cost_fetch_entry,,16,16,bytes,19848592.0,ns,21
cost_fetch_entry,,16,16,bytes,22640189.0,ns,24
cost_fetch_entry,,16,16,bytes,25411841.0,ns,27
cost_fetch_entry,,16,16,bytes,28315083.0,ns,30
cost_fetch_entry,,16,16,bytes,33319739.0,ns,33
cost_fetch_entry,,16,16,bytes,34042534.0,ns,36
cost_fetch_entry,,16,16,bytes,36912852.0,ns,39
cost_fetch_entry,,16,16,bytes,39784093.0,ns,42
cost_fetch_entry,,16,16,bytes,42629230.0,ns,45
cost_fetch_entry,,16,16,bytes,45437111.0,ns,48
cost_fetch_entry,,16,16,bytes,48305341.0,ns,51
cost_fetch_entry,,16,16,bytes,51202114.0,ns,54
cost_fetch_entry,,16,16,bytes,54032265.0,ns,57
cost_fetch_entry,,16,16,bytes,56758606.0,ns,60
cost_fetch_entry,,16,16,bytes,59550863.0,ns,63
cost_fetch_entry,,16,16,bytes,62459017.0,ns,66
cost_fetch_entry,,16,16,bytes,65217425.0,ns,69
cost_fetch_entry,,16,16,bytes,68015305.0,ns,72
cost_fetch_entry,,16,16,bytes,71884304.0,ns,75
cost_fetch_entry,,16,16,bytes,73935316.0,ns,78
cost_fetch_entry,,16,16,bytes,76333106.0,ns,81
cost_fetch_entry,,16,16,bytes,80215784.0,ns,84
cost_fetch_entry,,16,16,bytes,82500145.0,ns,87
cost_fetch_entry,,16,16,bytes,85302597.0,ns,90
cost_fetch_entry,,16,16,bytes,88006216.0,ns,93
cost_fetch_entry,,16,16,bytes,90804624.0,ns,96
cost_fetch_entry,,16,16,bytes,96142620.0,ns,99
cost_fetch_entry,,16,16,bytes,96869844.0,ns,102
cost_fetch_entry,,16,16,bytes,99471959.0,ns,105
cost_fetch_entry,,16,16,bytes,102418794.0,ns,108
cost_fetch_entry,,16,16,bytes,105531821.0,ns,111
cost_fetch_entry,,16,16,bytes,107407330.0,ns,114
cost_fetch_entry,,16,16,bytes,112592906.0,ns,117
cost_fetch_entry,,16,16,bytes,115324293.0,ns,120
cost_fetch_entry,,16,16,bytes,117609027.0,ns,123
cost_fetch_entry,,16,16,bytes,119279447.0,ns,126
cost_fetch_entry,,16,16,bytes,120959366.0,ns,129
cost_fetch_entry,,16,16,bytes,123956618.0,ns,132
cost_fetch_entry,,16,16,bytes,128155099.0,ns,135
cost_fetch_entry,,16,16,bytes,130109350.0,ns,138
cost_fetch_entry,,16,16,bytes,132653589.0,ns,141
cost_fetch_entry,,16,16,bytes,135474641.0,ns,144
cost_fetch_entry,,16,16,bytes,141404551.0,ns,147
cost_fetch_entry,,16,16,bytes,143153644.0,ns,150
cost_fetch_entry,,16,16,bytes,144291573.0,ns,153
cost_fetch_entry,,16,16,bytes,146911023.0,ns,156
cost_fetch_entry,,16,16,bytes,149498612.0,ns,159
cost_fetch_entry,,16,16,bytes,154493698.0,ns,162
cost_fetch_entry,,16,16,bytes,155280765.0,ns,165
cost_fetch_entry,,16,16,bytes,158124178.0,ns,168
cost_fetch_entry,,16,16,bytes,160663359.0,ns,171
cost_fetch_entry,,16,16,bytes,163263306.0,ns,174
cost_fetch_entry,,16,16,bytes,168045426.0,ns,177
cost_fetch_entry,,16,16,bytes,173151331.0,ns,180
cost_fetch_entry,,16,16,bytes,172566219.0,ns,183
cost_fetch_entry,,16,16,bytes,175681897.0,ns,186
cost_fetch_entry,,16,16,bytes,178499857.0,ns,189
cost_fetch_entry,,16,16,bytes,181672903.0,ns,192
cost_fetch_entry,,16,16,bytes,184452401.0,ns,195
cost_fetch_entry,,16,16,bytes,188301020.0,ns,198
cost_fetch_entry,,16,16,bytes,190085291.0,ns,201
cost_fetch_entry,,16,16,bytes,192885919.0,ns,204
cost_fetch_entry,,16,16,bytes,194685876.0,ns,207
cost_fetch_entry,,16,16,bytes,200069244.0,ns,210
cost_fetch_entry,,16,16,bytes,201805097.0,ns,213
cost_fetch_entry,,16,16,bytes,203639568.0,ns,216
cost_fetch_entry,,16,16,bytes,206627011.0,ns,219
cost_fetch_entry,,16,16,bytes,209320154.0,ns,222
cost_fetch_entry,,16,16,bytes,212004510.0,ns,225
cost_fetch_entry,,16,16,bytes,214910245.0,ns,228
cost_fetch_entry,,16,16,bytes,217184151.0,ns,231
cost_fetch_entry,,16,16,bytes,220195411.0,ns,234
cost_fetch_entry,,16,16,bytes,222712259.0,ns,237
cost_fetch_entry,,16,16,bytes,228451899.0,ns,240
cost_fetch_entry,,16,16,bytes,233841825.0,ns,243
cost_fetch_entry,,16,16,bytes,231767983.0,ns,246
cost_fetch_entry,,16,16,bytes,234263443.0,ns,249
cost_fetch_entry,,16,16,bytes,239898865.0,ns,252
cost_fetch_entry,,16,16,bytes,242786275.0,ns,255
cost_fetch_entry,,16,16,bytes,243967450.0,ns,258
cost_fetch_entry,,16,16,bytes,246053557.0,ns,261
cost_fetch_entry,,16,16,bytes,251338487.0,ns,264
cost_fetch_entry,,16,16,bytes,252780560.0,ns,267
cost_fetch_entry,,16,16,bytes,254201580.0,ns,270
cost_fetch_entry,,16,16,bytes,256786277.0,ns,273
cost_fetch_entry,,16,16,bytes,260422217.0,ns,276
cost_fetch_entry,,16,16,bytes,262683878.0,ns,279
cost_fetch_entry,,16,16,bytes,265374739.0,ns,282
cost_fetch_entry,,16,16,bytes,267267166.0,ns,285
cost_fetch_entry,,16,16,bytes,270377659.0,ns,288
cost_fetch_entry,,16,16,bytes,273011725.0,ns,291
cost_fetch_entry,,16,16,bytes,277659167.0,ns,294
cost_fetch_entry,,16,16,bytes,280624755.0,ns,297
cost_fetch_entry,,16,16,bytes,285253442.0,ns,300
