group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_fetch_var,,549995,549995,bytes,758155174.0,ns,1
cost_fetch_var,,549995,549995,bytes,765940817.0,ns,1
cost_fetch_var,,549995,549995,bytes,757690411.0,ns,1
cost_fetch_var,,549995,549995,bytes,777263100.0,ns,1
cost_fetch_var,,549995,549995,bytes,761829034.0,ns,1
cost_fetch_var,,549995,549995,bytes,759273024.0,ns,1
cost_fetch_var,,549995,549995,bytes,738747300.0,ns,1
cost_fetch_var,,549995,549995,bytes,754989009.0,ns,1
cost_fetch_var,,549995,549995,bytes,762329410.0,ns,1
cost_fetch_var,,549995,549995,bytes,756594115.0,ns,1
cost_fetch_var,,549995,549995,bytes,763175813.0,ns,1
cost_fetch_var,,549995,549995,bytes,772331479.0,ns,1
cost_fetch_var,,549995,549995,bytes,782845701.0,ns,1
cost_fetch_var,,549995,549995,bytes,761935724.0,ns,1
cost_fetch_var,,549995,549995,bytes,782684070.0,ns,1
cost_fetch_var,,549995,549995,bytes,769279708.0,ns,1
cost_fetch_var,,549995,549995,bytes,751036188.0,ns,1
cost_fetch_var,,549995,549995,bytes,758667677.0,ns,1
cost_fetch_var,,549995,549995,bytes,758274917.0,ns,1
cost_fetch_var,,549995,549995,bytes,756563647.0,ns,1
cost_fetch_var,,549995,549995,bytes,744279822.0,ns,1
cost_fetch_var,,549995,549995,bytes,761729484.0,ns,1
cost_fetch_var,,549995,549995,bytes,753775763.0,ns,1
cost_fetch_var,,549995,549995,bytes,756271827.0,ns,1
cost_fetch_var,,549995,549995,bytes,770920669.0,ns,1
cost_fetch_var,,549995,549995,bytes,760766470.0,ns,1
cost_fetch_var,,549995,549995,bytes,762591299.0,ns,1
cost_fetch_var,,549995,549995,bytes,756729051.0,ns,1
cost_fetch_var,,549995,549995,bytes,753691313.0,ns,1
cost_fetch_var,,549995,549995,bytes,737581953.0,ns,1
cost_fetch_var,,549995,549995,bytes,738104971.0,ns,1
cost_fetch_var,,549995,549995,bytes,763944887.0,ns,1
cost_fetch_var,,549995,549995,bytes,764677261.0,ns,1
cost_fetch_var,,549995,549995,bytes,762316311.0,ns,1
cost_fetch_var,,549995,549995,bytes,766158210.0,ns,1
cost_fetch_var,,549995,549995,bytes,770743197.0,ns,1
cost_fetch_var,,549995,549995,bytes,778028358.0,ns,1
cost_fetch_var,,549995,549995,bytes,759783415.0,ns,1
cost_fetch_var,,549995,549995,bytes,771900407.0,ns,1
cost_fetch_var,,549995,549995,bytes,762097707.0,ns,1
cost_fetch_var,,549995,549995,bytes,749193378.0,ns,1
cost_fetch_var,,549995,549995,bytes,767712780.0,ns,1
cost_fetch_var,,549995,549995,bytes,759060096.0,ns,1
cost_fetch_var,,549995,549995,bytes,758225246.0,ns,1
cost_fetch_var,,549995,549995,bytes,761615785.0,ns,1
cost_fetch_var,,549995,549995,bytes,751646699.0,ns,1
cost_fetch_var,,549995,549995,bytes,756414946.0,ns,1
cost_fetch_var,,549995,549995,bytes,757706207.0,ns,1
cost_fetch_var,,549995,549995,bytes,756076314.0,ns,1
cost_fetch_var,,549995,549995,bytes,763497718.0,ns,1
cost_fetch_var,,549995,549995,bytes,754761734.0,ns,1
cost_fetch_var,,549995,549995,bytes,758497832.0,ns,1
cost_fetch_var,,549995,549995,bytes,757056022.0,ns,1
cost_fetch_var,,549995,549995,bytes,762902108.0,ns,1
cost_fetch_var,,549995,549995,bytes,757559803.0,ns,1
cost_fetch_var,,549995,549995,bytes,750816893.0,ns,1
cost_fetch_var,,549995,549995,bytes,761890299.0,ns,1
cost_fetch_var,,549995,549995,bytes,755574143.0,ns,1
cost_fetch_var,,549995,549995,bytes,744255604.0,ns,1
cost_fetch_var,,549995,549995,bytes,760055098.0,ns,1
cost_fetch_var,,549995,549995,bytes,766160277.0,ns,1
cost_fetch_var,,549995,549995,bytes,760687735.0,ns,1
cost_fetch_var,,549995,549995,bytes,767168246.0,ns,1
cost_fetch_var,,549995,549995,bytes,769435881.0,ns,1
cost_fetch_var,,549995,549995,bytes,782860169.0,ns,1
cost_fetch_var,,549995,549995,bytes,774849179.0,ns,1
cost_fetch_var,,549995,549995,bytes,779068345.0,ns,1
cost_fetch_var,,549995,549995,bytes,767355542.0,ns,1
cost_fetch_var,,549995,549995,bytes,765353619.0,ns,1
cost_fetch_var,,549995,549995,bytes,763018880.0,ns,1
cost_fetch_var,,549995,549995,bytes,767492713.0,ns,1
cost_fetch_var,,549995,549995,bytes,769763417.0,ns,1
cost_fetch_var,,549995,549995,bytes,778040106.0,ns,1
cost_fetch_var,,549995,549995,bytes,778779065.0,ns,1
cost_fetch_var,,549995,549995,bytes,770417639.0,ns,1
cost_fetch_var,,549995,549995,bytes,776632641.0,ns,1
cost_fetch_var,,549995,549995,bytes,776533825.0,ns,1
cost_fetch_var,,549995,549995,bytes,765096043.0,ns,1
cost_fetch_var,,549995,549995,bytes,758472829.0,ns,1
cost_fetch_var,,549995,549995,bytes,772425266.0,ns,1
cost_fetch_var,,549995,549995,bytes,775459340.0,ns,1
cost_fetch_var,,549995,549995,bytes,770236296.0,ns,1
cost_fetch_var,,549995,549995,bytes,766504232.0,ns,1
cost_fetch_var,,549995,549995,bytes,773649274.0,ns,1
cost_fetch_var,,549995,549995,bytes,762242008.0,ns,1
cost_fetch_var,,549995,549995,bytes,769013407.0,ns,1
cost_fetch_var,,549995,549995,bytes,770245468.0,ns,1
cost_fetch_var,,549995,549995,bytes,765786124.0,ns,1
cost_fetch_var,,549995,549995,bytes,760497842.0,ns,1
cost_fetch_var,,549995,549995,bytes,762217944.0,ns,1
cost_fetch_var,,549995,549995,bytes,766042308.0,ns,1
cost_fetch_var,,549995,549995,bytes,754064354.0,ns,1
cost_fetch_var,,549995,549995,bytes,768910844.0,ns,1
cost_fetch_var,,549995,549995,bytes,783269386.0,ns,1
cost_fetch_var,,549995,549995,bytes,757473492.0,ns,1
cost_fetch_var,,549995,549995,bytes,757847928.0,ns,1
cost_fetch_var,,549995,549995,bytes,758811517.0,ns,1
cost_fetch_var,,549995,549995,bytes,763092668.0,ns,1
cost_fetch_var,,549995,549995,bytes,762716212.0,ns,1
cost_fetch_var,,549995,549995,bytes,774614183.0,ns,1
