group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_filter,,1,1,bytes,1070527.0,ns,4
cost_filter,,1,1,bytes,2091093.0,ns,8
cost_filter,,1,1,bytes,3153289.0,ns,12
cost_filter,,1,1,bytes,4190873.0,ns,16
cost_filter,,1,1,bytes,5273941.0,ns,20
cost_filter,,1,1,bytes,6347523.0,ns,24
cost_filter,,1,1,bytes,7344417.0,ns,28
cost_filter,,1,1,bytes,8468530.0,ns,32
cost_filter,,1,1,bytes,9487146.0,ns,36
cost_filter,,1,1,bytes,10485193.0,ns,40
cost_filter,,1,1,bytes,11523570.0,ns,44
cost_filter,,1,1,bytes,12571570.0,ns,48
cost_filter,,1,1,bytes,13650914.0,ns,52
cost_filter,,1,1,bytes,14702361.0,ns,56
cost_filter,,1,1,bytes,15766703.0,ns,60
cost_filter,,1,1,bytes,16996094.0,ns,64
cost_filter,,1,1,bytes,17930822.0,ns,68
cost_filter,,1,1,bytes,19002255.0,ns,72
cost_filter,,1,1,bytes,19906652.0,ns,76
cost_filter,,1,1,bytes,21008753.0,ns,80
cost_filter,,1,1,bytes,22017096.0,ns,84
cost_filter,,1,1,bytes,23065974.0,ns,88
cost_filter,,1,1,bytes,24042790.0,ns,92
cost_filter,,1,1,bytes,25104131.0,ns,96
cost_filter,,1,1,bytes,26111986.0,ns,100
cost_filter,,1,1,bytes,27306647.0,ns,104
cost_filter,,1,1,bytes,28261258.0,ns,108
cost_filter,,1,1,bytes,29320346.0,ns,112
cost_filter,,1,1,bytes,30300526.0,ns,116
cost_filter,,1,1,bytes,31363135.0,ns,120
cost_filter,,1,1,bytes,32488079.0,ns,124
cost_filter,,1,1,bytes,33605821.0,ns,128
cost_filter,,1,1,bytes,34866146.0,ns,132
cost_filter,,1,1,bytes,35621028.0,ns,136
cost_filter,,1,1,bytes,36738270.0,ns,140
cost_filter,,1,1,bytes,37941790.0,ns,144
cost_filter,,1,1,bytes,38718085.0,ns,148
cost_filter,,1,1,bytes,39842626.0,ns,152
cost_filter,,1,1,bytes,40882751.0,ns,156
cost_filter,,1,1,bytes,41910593.0,ns,160
cost_filter,,1,1,bytes,42888082.0,ns,164
cost_filter,,1,1,bytes,44112242.0,ns,168
cost_filter,,1,1,bytes,45125864.0,ns,172
cost_filter,,1,1,bytes,46156250.0,ns,176
cost_filter,,1,1,bytes,47346552.0,ns,180
cost_filter,,1,1,bytes,48282276.0,ns,184
cost_filter,,1,1,bytes,49287328.0,ns,188
cost_filter,,1,1,bytes,50443673.0,ns,192
cost_filter,,1,1,bytes,51415011.0,ns,196
cost_filter,,1,1,bytes,52381023.0,ns,200
cost_filter,,1,1,bytes,53438875.0,ns,204
cost_filter,,1,1,bytes,54500528.0,ns,208
cost_filter,,1,1,bytes,55715722.0,ns,212
cost_filter,,1,1,bytes,57258382.0,ns,216
cost_filter,,1,1,bytes,57589262.0,ns,220
cost_filter,,1,1,bytes,58677676.0,ns,224
cost_filter,,1,1,bytes,59746948.0,ns,228
cost_filter,,1,1,bytes,60659479.0,ns,232
cost_filter,,1,1,bytes,61784722.0,ns,236
cost_filter,,1,1,bytes,62831433.0,ns,240
cost_filter,,1,1,bytes,63780040.0,ns,244
cost_filter,,1,1,bytes,64976842.0,ns,248
cost_filter,,1,1,bytes,66202661.0,ns,252
cost_filter,,1,1,bytes,67060775.0,ns,256
cost_filter,,1,1,bytes,68096638.0,ns,260
cost_filter,,1,1,bytes,69086136.0,ns,264
cost_filter,,1,1,bytes,70140779.0,ns,268
cost_filter,,1,1,bytes,71377897.0,ns,272
cost_filter,,1,1,bytes,72453839.0,ns,276
cost_filter,,1,1,bytes,73300289.0,ns,280
cost_filter,,1,1,bytes,74635536.0,ns,284
cost_filter,,1,1,bytes,75513333.0,ns,288
cost_filter,,1,1,bytes,76597040.0,ns,292
cost_filter,,1,1,bytes,77502934.0,ns,296
cost_filter,,1,1,bytes,78542189.0,ns,300
cost_filter,,1,1,bytes,79655358.0,ns,304
cost_filter,,1,1,bytes,80802933.0,ns,308
cost_filter,,1,1,bytes,81770677.0,ns,312
cost_filter,,1,1,bytes,82783365.0,ns,316
cost_filter,,1,1,bytes,83898157.0,ns,320
cost_filter,,1,1,bytes,84661484.0,ns,324
cost_filter,,1,1,bytes,86684292.0,ns,328
cost_filter,,1,1,bytes,87251331.0,ns,332
cost_filter,,1,1,bytes,88136265.0,ns,336
cost_filter,,1,1,bytes,89489296.0,ns,340
cost_filter,,1,1,bytes,90442954.0,ns,344
cost_filter,,1,1,bytes,91463694.0,ns,348
cost_filter,,1,1,bytes,92517221.0,ns,352
cost_filter,,1,1,bytes,93642515.0,ns,356
cost_filter,,1,1,bytes,94629871.0,ns,360
cost_filter,,1,1,bytes,95669534.0,ns,364
cost_filter,,1,1,bytes,96715988.0,ns,368
cost_filter,,1,1,bytes,97696528.0,ns,372
cost_filter,,1,1,bytes,98695560.0,ns,376
cost_filter,,1,1,bytes,99971512.0,ns,380
cost_filter,,1,1,bytes,100835382.0,ns,384
cost_filter,,1,1,bytes,101794550.0,ns,388
cost_filter,,1,1,bytes,102978395.0,ns,392
cost_filter,,1,1,bytes,103992839.0,ns,396
cost_filter,,1,1,bytes,105155563.0,ns,400
