group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_fold,,1,1,bytes,2068266.0,ns,11
cost_fold,,1,1,bytes,3995749.0,ns,22
cost_fold,,1,1,bytes,6008620.0,ns,33
cost_fold,,1,1,bytes,7986436.0,ns,44
cost_fold,,1,1,bytes,9958461.0,ns,55
cost_fold,,1,1,bytes,11943216.0,ns,66
cost_fold,,1,1,bytes,13903921.0,ns,77
cost_fold,,1,1,bytes,15940368.0,ns,88
cost_fold,,1,1,bytes,17937180.0,ns,99
cost_fold,,1,1,bytes,19878604.0,ns,110
cost_fold,,1,1,bytes,21891760.0,ns,121
cost_fold,,1,1,bytes,23857477.0,ns,132
cost_fold,,1,1,bytes,25832195.0,ns,143
cost_fold,,1,1,bytes,27951872.0,ns,154
cost_fold,,1,1,bytes,29875817.0,ns,165
cost_fold,,1,1,bytes,31826450.0,ns,176
cost_fold,,1,1,bytes,33836568.0,ns,187
cost_fold,,1,1,bytes,35909327.0,ns,198
cost_fold,,1,1,bytes,37816657.0,ns,209
cost_fold,,1,1,bytes,39703573.0,ns,220
cost_fold,,1,1,bytes,41656054.0,ns,231
cost_fold,,1,1,bytes,43745141.0,ns,242
cost_fold,,1,1,bytes,45866772.0,ns,253
cost_fold,,1,1,bytes,47694793.0,ns,264
cost_fold,,1,1,bytes,49818817.0,ns,275
cost_fold,,1,1,bytes,51669230.0,ns,286
cost_fold,,1,1,bytes,53790504.0,ns,297
cost_fold,,1,1,bytes,55689362.0,ns,308
cost_fold,,1,1,bytes,57788670.0,ns,319
cost_fold,,1,1,bytes,59676596.0,ns,330
cost_fold,,1,1,bytes,61790787.0,ns,341
cost_fold,,1,1,bytes,63726033.0,ns,352
cost_fold,,1,1,bytes,65605121.0,ns,363
cost_fold,,1,1,bytes,67664405.0,ns,374
cost_fold,,1,1,bytes,69600386.0,ns,385
cost_fold,,1,1,bytes,71622375.0,ns,396
cost_fold,,1,1,bytes,73741153.0,ns,407
cost_fold,,1,1,bytes,75954664.0,ns,418
cost_fold,,1,1,bytes,77548572.0,ns,429
cost_fold,,1,1,bytes,79729866.0,ns,440
cost_fold,,1,1,bytes,81900993.0,ns,451
cost_fold,,1,1,bytes,83609253.0,ns,462
cost_fold,,1,1,bytes,85674343.0,ns,473
cost_fold,,1,1,bytes,87655503.0,ns,484
cost_fold,,1,1,bytes,89656586.0,ns,495
cost_fold,,1,1,bytes,91608810.0,ns,506
cost_fold,,1,1,bytes,93693831.0,ns,517
cost_fold,,1,1,bytes,95664025.0,ns,528
cost_fold,,1,1,bytes,97975376.0,ns,539
cost_fold,,1,1,bytes,99500512.0,ns,550
cost_fold,,1,1,bytes,101378426.0,ns,561
cost_fold,,1,1,bytes,103415477.0,ns,572
cost_fold,,1,1,bytes,105462343.0,ns,583
cost_fold,,1,1,bytes,107271448.0,ns,594
cost_fold,,1,1,bytes,109247209.0,ns,605
cost_fold,,1,1,bytes,111220963.0,ns,616
cost_fold,,1,1,bytes,113356843.0,ns,627
cost_fold,,1,1,bytes,115372065.0,ns,638
cost_fold,,1,1,bytes,117468193.0,ns,649
cost_fold,,1,1,bytes,119430194.0,ns,660
cost_fold,,1,1,bytes,122325938.0,ns,671
cost_fold,,1,1,bytes,123609978.0,ns,682
cost_fold,,1,1,bytes,125693798.0,ns,693
cost_fold,,1,1,bytes,127518889.0,ns,704
cost_fold,,1,1,bytes,129650738.0,ns,715
cost_fold,,1,1,bytes,131359322.0,ns,726
cost_fold,,1,1,bytes,133342928.0,ns,737
cost_fold,,1,1,bytes,135065145.0,ns,748
cost_fold,,1,1,bytes,138334046.0,ns,759
cost_fold,,1,1,bytes,139188995.0,ns,770
cost_fold,,1,1,bytes,141325935.0,ns,781
cost_fold,,1,1,bytes,143394319.0,ns,792
cost_fold,,1,1,bytes,145322736.0,ns,803
cost_fold,,1,1,bytes,147912406.0,ns,814
cost_fold,,1,1,bytes,149258557.0,ns,825
cost_fold,,1,1,bytes,151868597.0,ns,836
cost_fold,,1,1,bytes,153203211.0,ns,847
cost_fold,,1,1,bytes,155424019.0,ns,858
cost_fold,,1,1,bytes,157156722.0,ns,869
cost_fold,,1,1,bytes,159130415.0,ns,880
cost_fold,,1,1,bytes,161162637.0,ns,891
cost_fold,,1,1,bytes,163316940.0,ns,902
cost_fold,,1,1,bytes,165156984.0,ns,913
cost_fold,,1,1,bytes,167296406.0,ns,924
cost_fold,,1,1,bytes,169155817.0,ns,935
cost_fold,,1,1,bytes,171659182.0,ns,946
cost_fold,,1,1,bytes,173387105.0,ns,957
cost_fold,,1,1,bytes,175591449.0,ns,968
cost_fold,,1,1,bytes,176953497.0,ns,979
cost_fold,,1,1,bytes,179402462.0,ns,990
cost_fold,,1,1,bytes,181118163.0,ns,1001
cost_fold,,1,1,bytes,183118280.0,ns,1012
cost_fold,,1,1,bytes,185098252.0,ns,1023
cost_fold,,1,1,bytes,187089863.0,ns,1034
cost_fold,,1,1,bytes,189015517.0,ns,1045
cost_fold,,1,1,bytes,191231047.0,ns,1056
cost_fold,,1,1,bytes,193891334.0,ns,1067
cost_fold,,1,1,bytes,195237016.0,ns,1078
cost_fold,,1,1,bytes,198058394.0,ns,1089
cost_fold,,1,1,bytes,199469071.0,ns,1100
