group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_fold,,1,1,bytes,2252601.0,ns,10
cost_fold,,1,1,bytes,4369360.0,ns,20
cost_fold,,1,1,bytes,6485159.0,ns,30
cost_fold,,1,1,bytes,8763336.0,ns,40
cost_fold,,1,1,bytes,11695114.0,ns,50
cost_fold,,1,1,bytes,13166560.0,ns,60
cost_fold,,1,1,bytes,15208270.0,ns,70
cost_fold,,1,1,bytes,17530321.0,ns,80
cost_fold,,1,1,bytes,19653208.0,ns,90
cost_fold,,1,1,bytes,21782291.0,ns,100
cost_fold,,1,1,bytes,24043316.0,ns,110
cost_fold,,1,1,bytes,26215426.0,ns,120
cost_fold,,1,1,bytes,28383965.0,ns,130
cost_fold,,1,1,bytes,30575298.0,ns,140
cost_fold,,1,1,bytes,32971082.0,ns,150
cost_fold,,1,1,bytes,35020472.0,ns,160
cost_fold,,1,1,bytes,37216079.0,ns,170
cost_fold,,1,1,bytes,39293704.0,ns,180
cost_fold,,1,1,bytes,41651765.0,ns,190
cost_fold,,1,1,bytes,43769434.0,ns,200
cost_fold,,1,1,bytes,46009698.0,ns,210
cost_fold,,1,1,bytes,48256236.0,ns,220
cost_fold,,1,1,bytes,50281083.0,ns,230
cost_fold,,1,1,bytes,52468724.0,ns,240
cost_fold,,1,1,bytes,54881731.0,ns,250
cost_fold,,1,1,bytes,56946730.0,ns,260
cost_fold,,1,1,bytes,59351109.0,ns,270
cost_fold,,1,1,bytes,61519114.0,ns,280
cost_fold,,1,1,bytes,63377470.0,ns,290
cost_fold,,1,1,bytes,65783199.0,ns,300
cost_fold,,1,1,bytes,67716951.0,ns,310
cost_fold,,1,1,bytes,69909839.0,ns,320
cost_fold,,1,1,bytes,71867510.0,ns,330
cost_fold,,1,1,bytes,74417713.0,ns,340
cost_fold,,1,1,bytes,76551321.0,ns,350
cost_fold,,1,1,bytes,78709809.0,ns,360
cost_fold,,1,1,bytes,80575885.0,ns,370
cost_fold,,1,1,bytes,82687565.0,ns,380
cost_fold,,1,1,bytes,84967941.0,ns,390
cost_fold,,1,1,bytes,87036035.0,ns,400
cost_fold,,1,1,bytes,88952601.0,ns,410
cost_fold,,1,1,bytes,91179250.0,ns,420
cost_fold,,1,1,bytes,93387133.0,ns,430
cost_fold,,1,1,bytes,95493572.0,ns,440
cost_fold,,1,1,bytes,97836322.0,ns,450
cost_fold,,1,1,bytes,100121391.0,ns,460
cost_fold,,1,1,bytes,102177651.0,ns,470
cost_fold,,1,1,bytes,104405199.0,ns,480
cost_fold,,1,1,bytes,107482217.0,ns,490
cost_fold,,1,1,bytes,110622178.0,ns,500
cost_fold,,1,1,bytes,112049731.0,ns,510
cost_fold,,1,1,bytes,113709979.0,ns,520
cost_fold,,1,1,bytes,116071346.0,ns,530
cost_fold,,1,1,bytes,118645510.0,ns,540
cost_fold,,1,1,bytes,120186891.0,ns,550
cost_fold,,1,1,bytes,123026370.0,ns,560
cost_fold,,1,1,bytes,124516179.0,ns,570
cost_fold,,1,1,bytes,126120499.0,ns,580
cost_fold,,1,1,bytes,128335126.0,ns,590
cost_fold,,1,1,bytes,130823382.0,ns,600
cost_fold,,1,1,bytes,134446698.0,ns,610
cost_fold,,1,1,bytes,134573266.0,ns,620
cost_fold,,1,1,bytes,136928470.0,ns,630
cost_fold,,1,1,bytes,138753315.0,ns,640
cost_fold,,1,1,bytes,141957837.0,ns,650
cost_fold,,1,1,bytes,144056756.0,ns,660
cost_fold,,1,1,bytes,146489116.0,ns,670
cost_fold,,1,1,bytes,148638437.0,ns,680
cost_fold,,1,1,bytes,150656641.0,ns,690
cost_fold,,1,1,bytes,152591059.0,ns,700
cost_fold,,1,1,bytes,154850034.0,ns,710
cost_fold,,1,1,bytes,156484613.0,ns,720
cost_fold,,1,1,bytes,158827763.0,ns,730
cost_fold,,1,1,bytes,161459730.0,ns,740
cost_fold,,1,1,bytes,163133268.0,ns,750
cost_fold,,1,1,bytes,165126035.0,ns,760
cost_fold,,1,1,bytes,169070469.0,ns,770
cost_fold,,1,1,bytes,169586357.0,ns,780
cost_fold,,1,1,bytes,171776275.0,ns,790
cost_fold,,1,1,bytes,174737747.0,ns,800
cost_fold,,1,1,bytes,176838527.0,ns,810
cost_fold,,1,1,bytes,179665726.0,ns,820
cost_fold,,1,1,bytes,181524774.0,ns,830
cost_fold,,1,1,bytes,184345572.0,ns,840
cost_fold,,1,1,bytes,186580259.0,ns,850
cost_fold,,1,1,bytes,188758626.0,ns,860
cost_fold,,1,1,bytes,191221672.0,ns,870
cost_fold,,1,1,bytes,192707486.0,ns,880
cost_fold,,1,1,bytes,195197048.0,ns,890
cost_fold,,1,1,bytes,197266627.0,ns,900
cost_fold,,1,1,bytes,200137269.0,ns,910
cost_fold,,1,1,bytes,202118265.0,ns,920
cost_fold,,1,1,bytes,203500125.0,ns,930
cost_fold,,1,1,bytes,203691266.0,ns,940
cost_fold,,1,1,bytes,206343815.0,ns,950
cost_fold,,1,1,bytes,209527752.0,ns,960
cost_fold,,1,1,bytes,210291430.0,ns,970
cost_fold,,1,1,bytes,212416480.0,ns,980
cost_fold,,1,1,bytes,215066805.0,ns,990
cost_fold,,1,1,bytes,218012188.0,ns,1000
