group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_balance,,1,1,bytes,2045100.0,ns,13
cost_ft_balance,,1,1,bytes,4019687.0,ns,26
cost_ft_balance,,1,1,bytes,6050016.0,ns,39
cost_ft_balance,,1,1,bytes,8063055.0,ns,52
cost_ft_balance,,1,1,bytes,10075690.0,ns,65
cost_ft_balance,,1,1,bytes,12100350.0,ns,78
cost_ft_balance,,1,1,bytes,14110423.0,ns,91
cost_ft_balance,,1,1,bytes,16146994.0,ns,104
cost_ft_balance,,1,1,bytes,18161151.0,ns,117
cost_ft_balance,,1,1,bytes,20400623.0,ns,130
cost_ft_balance,,1,1,bytes,23259052.0,ns,143
cost_ft_balance,,1,1,bytes,25285005.0,ns,156
cost_ft_balance,,1,1,bytes,26573907.0,ns,169
cost_ft_balance,,1,1,bytes,28212708.0,ns,182
cost_ft_balance,,1,1,bytes,30262602.0,ns,195
cost_ft_balance,,1,1,bytes,32251015.0,ns,208
cost_ft_balance,,1,1,bytes,34310220.0,ns,221
cost_ft_balance,,1,1,bytes,36278368.0,ns,234
cost_ft_balance,,1,1,bytes,38593129.0,ns,247
cost_ft_balance,,1,1,bytes,40338513.0,ns,260
cost_ft_balance,,1,1,bytes,42355705.0,ns,273
cost_ft_balance,,1,1,bytes,44363589.0,ns,286
cost_ft_balance,,1,1,bytes,46398182.0,ns,299
cost_ft_balance,,1,1,bytes,49095625.0,ns,312
cost_ft_balance,,1,1,bytes,50422380.0,ns,325
cost_ft_balance,,1,1,bytes,52404458.0,ns,338
cost_ft_balance,,1,1,bytes,54467818.0,ns,351
cost_ft_balance,,1,1,bytes,56474006.0,ns,364
cost_ft_balance,,1,1,bytes,58996373.0,ns,377
cost_ft_balance,,1,1,bytes,62012361.0,ns,390
cost_ft_balance,,1,1,bytes,62539942.0,ns,403
cost_ft_balance,,1,1,bytes,64508989.0,ns,416
cost_ft_balance,,1,1,bytes,66544418.0,ns,429
cost_ft_balance,,1,1,bytes,68829246.0,ns,442
cost_ft_balance,,1,1,bytes,71819159.0,ns,455
cost_ft_balance,,1,1,bytes,72621786.0,ns,468
