group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_balance,,1,1,bytes,994746.0,ns,3
cost_ft_balance,,1,1,bytes,1949967.0,ns,6
cost_ft_balance,,1,1,bytes,2927363.0,ns,9
cost_ft_balance,,1,1,bytes,3887627.0,ns,12
cost_ft_balance,,1,1,bytes,4875683.0,ns,15
cost_ft_balance,,1,1,bytes,5844678.0,ns,18
cost_ft_balance,,1,1,bytes,6815406.0,ns,21
cost_ft_balance,,1,1,bytes,7784510.0,ns,24
cost_ft_balance,,1,1,bytes,8761352.0,ns,27
cost_ft_balance,,1,1,bytes,9739368.0,ns,30
cost_ft_balance,,1,1,bytes,10716517.0,ns,33
cost_ft_balance,,1,1,bytes,11670837.0,ns,36
cost_ft_balance,,1,1,bytes,12666829.0,ns,39
cost_ft_balance,,1,1,bytes,13622263.0,ns,42
cost_ft_balance,,1,1,bytes,14586481.0,ns,45
cost_ft_balance,,1,1,bytes,15551042.0,ns,48
cost_ft_balance,,1,1,bytes,16554309.0,ns,51
cost_ft_balance,,1,1,bytes,17494154.0,ns,54
cost_ft_balance,,1,1,bytes,18476110.0,ns,57
cost_ft_balance,,1,1,bytes,19456461.0,ns,60
cost_ft_balance,,1,1,bytes,20431491.0,ns,63
cost_ft_balance,,1,1,bytes,21417083.0,ns,66
cost_ft_balance,,1,1,bytes,22362690.0,ns,69
cost_ft_balance,,1,1,bytes,23384582.0,ns,72
cost_ft_balance,,1,1,bytes,24366381.0,ns,75
cost_ft_balance,,1,1,bytes,25340132.0,ns,78
cost_ft_balance,,1,1,bytes,26350558.0,ns,81
cost_ft_balance,,1,1,bytes,27299211.0,ns,84
cost_ft_balance,,1,1,bytes,28282276.0,ns,87
cost_ft_balance,,1,1,bytes,29249531.0,ns,90
cost_ft_balance,,1,1,bytes,30227941.0,ns,93
cost_ft_balance,,1,1,bytes,31143673.0,ns,96
cost_ft_balance,,1,1,bytes,32104312.0,ns,99
cost_ft_balance,,1,1,bytes,33615546.0,ns,102
cost_ft_balance,,1,1,bytes,34537256.0,ns,105
cost_ft_balance,,1,1,bytes,35483378.0,ns,108
cost_ft_balance,,1,1,bytes,36389850.0,ns,111
cost_ft_balance,,1,1,bytes,37271656.0,ns,114
cost_ft_balance,,1,1,bytes,38128048.0,ns,117
cost_ft_balance,,1,1,bytes,39113009.0,ns,120
cost_ft_balance,,1,1,bytes,40106191.0,ns,123
cost_ft_balance,,1,1,bytes,41235304.0,ns,126
cost_ft_balance,,1,1,bytes,42146221.0,ns,129
cost_ft_balance,,1,1,bytes,43181311.0,ns,132
cost_ft_balance,,1,1,bytes,44302131.0,ns,135
cost_ft_balance,,1,1,bytes,45209248.0,ns,138
cost_ft_balance,,1,1,bytes,46236154.0,ns,141
cost_ft_balance,,1,1,bytes,47312466.0,ns,144
cost_ft_balance,,1,1,bytes,48249804.0,ns,147
cost_ft_balance,,1,1,bytes,49237856.0,ns,150
cost_ft_balance,,1,1,bytes,50221950.0,ns,153
cost_ft_balance,,1,1,bytes,51182082.0,ns,156
cost_ft_balance,,1,1,bytes,52208688.0,ns,159
cost_ft_balance,,1,1,bytes,53232806.0,ns,162
cost_ft_balance,,1,1,bytes,54146978.0,ns,165
cost_ft_balance,,1,1,bytes,55181334.0,ns,168
cost_ft_balance,,1,1,bytes,56201330.0,ns,171
cost_ft_balance,,1,1,bytes,57360866.0,ns,174
