group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_burn,,1,1,bytes,2199960.0,ns,12
cost_ft_burn,,1,1,bytes,4086198.0,ns,24
cost_ft_burn,,1,1,bytes,6118985.0,ns,36
cost_ft_burn,,1,1,bytes,8148199.0,ns,48
cost_ft_burn,,1,1,bytes,10169181.0,ns,60
cost_ft_burn,,1,1,bytes,12227908.0,ns,72
cost_ft_burn,,1,1,bytes,14243136.0,ns,84
cost_ft_burn,,1,1,bytes,16246243.0,ns,96
cost_ft_burn,,1,1,bytes,18303761.0,ns,108
cost_ft_burn,,1,1,bytes,20357925.0,ns,120
cost_ft_burn,,1,1,bytes,22401884.0,ns,132
cost_ft_burn,,1,1,bytes,24447011.0,ns,144
cost_ft_burn,,1,1,bytes,26454916.0,ns,156
cost_ft_burn,,1,1,bytes,28500558.0,ns,168
cost_ft_burn,,1,1,bytes,30647205.0,ns,180
cost_ft_burn,,1,1,bytes,32609278.0,ns,192
cost_ft_burn,,1,1,bytes,34644492.0,ns,204
cost_ft_burn,,1,1,bytes,36690598.0,ns,216
cost_ft_burn,,1,1,bytes,38707673.0,ns,228
cost_ft_burn,,1,1,bytes,41284622.0,ns,240
cost_ft_burn,,1,1,bytes,42708581.0,ns,252
cost_ft_burn,,1,1,bytes,44774227.0,ns,264
cost_ft_burn,,1,1,bytes,46798706.0,ns,276
cost_ft_burn,,1,1,bytes,48816963.0,ns,288
cost_ft_burn,,1,1,bytes,50859432.0,ns,300
cost_ft_burn,,1,1,bytes,52885900.0,ns,312
cost_ft_burn,,1,1,bytes,54899721.0,ns,324
cost_ft_burn,,1,1,bytes,57055951.0,ns,336
cost_ft_burn,,1,1,bytes,59043064.0,ns,348
cost_ft_burn,,1,1,bytes,61079456.0,ns,360
cost_ft_burn,,1,1,bytes,63064908.0,ns,372
cost_ft_burn,,1,1,bytes,65092065.0,ns,384
cost_ft_burn,,1,1,bytes,67329335.0,ns,396
cost_ft_burn,,1,1,bytes,69177222.0,ns,408
cost_ft_burn,,1,1,bytes,71215748.0,ns,420
cost_ft_burn,,1,1,bytes,73220590.0,ns,432
cost_ft_burn,,1,1,bytes,75279502.0,ns,444
cost_ft_burn,,1,1,bytes,77324107.0,ns,456
cost_ft_burn,,1,1,bytes,79313947.0,ns,468
cost_ft_burn,,1,1,bytes,81418580.0,ns,480
cost_ft_burn,,1,1,bytes,83383875.0,ns,492
cost_ft_burn,,1,1,bytes,85441504.0,ns,504
cost_ft_burn,,1,1,bytes,87570160.0,ns,516
cost_ft_burn,,1,1,bytes,89531420.0,ns,528
cost_ft_burn,,1,1,bytes,91546514.0,ns,540
cost_ft_burn,,1,1,bytes,93569435.0,ns,552
cost_ft_burn,,1,1,bytes,95590980.0,ns,564
cost_ft_burn,,1,1,bytes,97637349.0,ns,576
cost_ft_burn,,1,1,bytes,99689463.0,ns,588
cost_ft_burn,,1,1,bytes,101688167.0,ns,600
cost_ft_burn,,1,1,bytes,103705858.0,ns,612
cost_ft_burn,,1,1,bytes,105750340.0,ns,624
cost_ft_burn,,1,1,bytes,107845630.0,ns,636
cost_ft_burn,,1,1,bytes,109893663.0,ns,648
cost_ft_burn,,1,1,bytes,111885383.0,ns,660
cost_ft_burn,,1,1,bytes,114119321.0,ns,672
cost_ft_burn,,1,1,bytes,115927230.0,ns,684
cost_ft_burn,,1,1,bytes,119013669.0,ns,696
cost_ft_burn,,1,1,bytes,120004199.0,ns,708
cost_ft_burn,,1,1,bytes,122182226.0,ns,720
cost_ft_burn,,1,1,bytes,124072766.0,ns,732
cost_ft_burn,,1,1,bytes,126116017.0,ns,744
cost_ft_burn,,1,1,bytes,128186502.0,ns,756
cost_ft_burn,,1,1,bytes,130175271.0,ns,768
cost_ft_burn,,1,1,bytes,132194713.0,ns,780
cost_ft_burn,,1,1,bytes,134249553.0,ns,792
cost_ft_burn,,1,1,bytes,136692656.0,ns,804
cost_ft_burn,,1,1,bytes,138298707.0,ns,816
cost_ft_burn,,1,1,bytes,140307335.0,ns,828
cost_ft_burn,,1,1,bytes,142356515.0,ns,840
cost_ft_burn,,1,1,bytes,144942439.0,ns,852
cost_ft_burn,,1,1,bytes,146632741.0,ns,864
cost_ft_burn,,1,1,bytes,148461757.0,ns,876
cost_ft_burn,,1,1,bytes,151207813.0,ns,888
cost_ft_burn,,1,1,bytes,152507692.0,ns,900
cost_ft_burn,,1,1,bytes,154564155.0,ns,912
cost_ft_burn,,1,1,bytes,156603726.0,ns,924
cost_ft_burn,,1,1,bytes,158630509.0,ns,936
cost_ft_burn,,1,1,bytes,160852759.0,ns,948
cost_ft_burn,,1,1,bytes,162771480.0,ns,960
cost_ft_burn,,1,1,bytes,164695465.0,ns,972
cost_ft_burn,,1,1,bytes,166762872.0,ns,984
cost_ft_burn,,1,1,bytes,168871347.0,ns,996
cost_ft_burn,,1,1,bytes,171338808.0,ns,1008
cost_ft_burn,,1,1,bytes,173505755.0,ns,1020
cost_ft_burn,,1,1,bytes,175408061.0,ns,1032
cost_ft_burn,,1,1,bytes,176939103.0,ns,1044
cost_ft_burn,,1,1,bytes,178925734.0,ns,1056
cost_ft_burn,,1,1,bytes,181007127.0,ns,1068
cost_ft_burn,,1,1,bytes,184585350.0,ns,1080
cost_ft_burn,,1,1,bytes,185134465.0,ns,1092
cost_ft_burn,,1,1,bytes,187398562.0,ns,1104
cost_ft_burn,,1,1,bytes,188628610.0,ns,1116
cost_ft_burn,,1,1,bytes,190539266.0,ns,1128
cost_ft_burn,,1,1,bytes,192731526.0,ns,1140
cost_ft_burn,,1,1,bytes,194673889.0,ns,1152
cost_ft_burn,,1,1,bytes,198032963.0,ns,1164
cost_ft_burn,,1,1,bytes,199069614.0,ns,1176
cost_ft_burn,,1,1,bytes,201339768.0,ns,1188
cost_ft_burn,,1,1,bytes,203815936.0,ns,1200
