group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_burn,,1,1,bytes,2297675.0,ns,10
cost_ft_burn,,1,1,bytes,4406683.0,ns,20
cost_ft_burn,,1,1,bytes,6537577.0,ns,30
cost_ft_burn,,1,1,bytes,8710208.0,ns,40
cost_ft_burn,,1,1,bytes,10890211.0,ns,50
cost_ft_burn,,1,1,bytes,13078062.0,ns,60
cost_ft_burn,,1,1,bytes,15360480.0,ns,70
cost_ft_burn,,1,1,bytes,17535484.0,ns,80
cost_ft_burn,,1,1,bytes,19803555.0,ns,90
cost_ft_burn,,1,1,bytes,21957495.0,ns,100
cost_ft_burn,,1,1,bytes,24166403.0,ns,110
cost_ft_burn,,1,1,bytes,26360857.0,ns,120
cost_ft_burn,,1,1,bytes,28531545.0,ns,130
cost_ft_burn,,1,1,bytes,30784052.0,ns,140
cost_ft_burn,,1,1,bytes,32954913.0,ns,150
cost_ft_burn,,1,1,bytes,35105982.0,ns,160
cost_ft_burn,,1,1,bytes,37224864.0,ns,170
cost_ft_burn,,1,1,bytes,39192710.0,ns,180
cost_ft_burn,,1,1,bytes,41392571.0,ns,190
cost_ft_burn,,1,1,bytes,43575575.0,ns,200
cost_ft_burn,,1,1,bytes,45765330.0,ns,210
cost_ft_burn,,1,1,bytes,47945745.0,ns,220
cost_ft_burn,,1,1,bytes,50566311.0,ns,230
cost_ft_burn,,1,1,bytes,52494278.0,ns,240
cost_ft_burn,,1,1,bytes,54582833.0,ns,250
cost_ft_burn,,1,1,bytes,56752155.0,ns,260
cost_ft_burn,,1,1,bytes,59220228.0,ns,270
cost_ft_burn,,1,1,bytes,61112845.0,ns,280
cost_ft_burn,,1,1,bytes,63374046.0,ns,290
cost_ft_burn,,1,1,bytes,65549984.0,ns,300
cost_ft_burn,,1,1,bytes,67564894.0,ns,310
cost_ft_burn,,1,1,bytes,69731898.0,ns,320
cost_ft_burn,,1,1,bytes,71978436.0,ns,330
cost_ft_burn,,1,1,bytes,74113334.0,ns,340
cost_ft_burn,,1,1,bytes,76620678.0,ns,350
cost_ft_burn,,1,1,bytes,78564824.0,ns,360
cost_ft_burn,,1,1,bytes,80881649.0,ns,370
cost_ft_burn,,1,1,bytes,83574066.0,ns,380
cost_ft_burn,,1,1,bytes,85844009.0,ns,390
cost_ft_burn,,1,1,bytes,87238662.0,ns,400
cost_ft_burn,,1,1,bytes,89453353.0,ns,410
cost_ft_burn,,1,1,bytes,91808145.0,ns,420
cost_ft_burn,,1,1,bytes,93855740.0,ns,430
cost_ft_burn,,1,1,bytes,95934733.0,ns,440
cost_ft_burn,,1,1,bytes,98085298.0,ns,450
cost_ft_burn,,1,1,bytes,100252424.0,ns,460
cost_ft_burn,,1,1,bytes,102686959.0,ns,470
