group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_get_supply,,1,1,bytes,2080015.0,ns,12
cost_ft_get_supply,,1,1,bytes,4048424.0,ns,24
cost_ft_get_supply,,1,1,bytes,6074357.0,ns,36
cost_ft_get_supply,,1,1,bytes,8042062.0,ns,48
cost_ft_get_supply,,1,1,bytes,10134470.0,ns,60
cost_ft_get_supply,,1,1,bytes,12126908.0,ns,72
cost_ft_get_supply,,1,1,bytes,14014954.0,ns,84
cost_ft_get_supply,,1,1,bytes,16295417.0,ns,96
cost_ft_get_supply,,1,1,bytes,18283381.0,ns,108
cost_ft_get_supply,,1,1,bytes,20294294.0,ns,120
cost_ft_get_supply,,1,1,bytes,22257248.0,ns,132
cost_ft_get_supply,,1,1,bytes,24326687.0,ns,144
cost_ft_get_supply,,1,1,bytes,26427827.0,ns,156
cost_ft_get_supply,,1,1,bytes,28322413.0,ns,168
cost_ft_get_supply,,1,1,bytes,30404229.0,ns,180
cost_ft_get_supply,,1,1,bytes,32481641.0,ns,192
cost_ft_get_supply,,1,1,bytes,34482083.0,ns,204
cost_ft_get_supply,,1,1,bytes,36507960.0,ns,216
cost_ft_get_supply,,1,1,bytes,38481970.0,ns,228
cost_ft_get_supply,,1,1,bytes,40449195.0,ns,240
cost_ft_get_supply,,1,1,bytes,42709168.0,ns,252
cost_ft_get_supply,,1,1,bytes,44347187.0,ns,264
cost_ft_get_supply,,1,1,bytes,46321285.0,ns,276
cost_ft_get_supply,,1,1,bytes,48187251.0,ns,288
cost_ft_get_supply,,1,1,bytes,50068211.0,ns,300
cost_ft_get_supply,,1,1,bytes,52057335.0,ns,312
cost_ft_get_supply,,1,1,bytes,54214075.0,ns,324
cost_ft_get_supply,,1,1,bytes,56266800.0,ns,336
cost_ft_get_supply,,1,1,bytes,58350722.0,ns,348
cost_ft_get_supply,,1,1,bytes,60276100.0,ns,360
cost_ft_get_supply,,1,1,bytes,62364594.0,ns,372
cost_ft_get_supply,,1,1,bytes,64677918.0,ns,384
