group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_mint,,1,1,bytes,84671274.0,ns,5
cost_ft_mint,,1,1,bytes,4173343.0,ns,10
cost_ft_mint,,1,1,bytes,6266348.0,ns,15
cost_ft_mint,,1,1,bytes,8344414.0,ns,20
cost_ft_mint,,1,1,bytes,10982184.0,ns,25
cost_ft_mint,,1,1,bytes,12647152.0,ns,30
cost_ft_mint,,1,1,bytes,14979583.0,ns,35
cost_ft_mint,,1,1,bytes,17064692.0,ns,40
cost_ft_mint,,1,1,bytes,19184511.0,ns,45
cost_ft_mint,,1,1,bytes,22062769.0,ns,50
cost_ft_mint,,1,1,bytes,23436208.0,ns,55
cost_ft_mint,,1,1,bytes,25605095.0,ns,60
cost_ft_mint,,1,1,bytes,27829243.0,ns,65
cost_ft_mint,,1,1,bytes,29925914.0,ns,70
cost_ft_mint,,1,1,bytes,33187676.0,ns,75
cost_ft_mint,,1,1,bytes,36027428.0,ns,80
cost_ft_mint,,1,1,bytes,37317002.0,ns,85
cost_ft_mint,,1,1,bytes,40331130.0,ns,90
cost_ft_mint,,1,1,bytes,42461851.0,ns,95
cost_ft_mint,,1,1,bytes,42846549.0,ns,100
cost_ft_mint,,1,1,bytes,45152811.0,ns,105
cost_ft_mint,,1,1,bytes,47725414.0,ns,110
cost_ft_mint,,1,1,bytes,49671149.0,ns,115
cost_ft_mint,,1,1,bytes,51819880.0,ns,120
cost_ft_mint,,1,1,bytes,54129131.0,ns,125
cost_ft_mint,,1,1,bytes,55681142.0,ns,130
cost_ft_mint,,1,1,bytes,57529313.0,ns,135
cost_ft_mint,,1,1,bytes,59677017.0,ns,140
cost_ft_mint,,1,1,bytes,62047389.0,ns,145
cost_ft_mint,,1,1,bytes,65215201.0,ns,150
cost_ft_mint,,1,1,bytes,67020401.0,ns,155
cost_ft_mint,,1,1,bytes,69140683.0,ns,160
cost_ft_mint,,1,1,bytes,71219222.0,ns,165
cost_ft_mint,,1,1,bytes,73512472.0,ns,170
cost_ft_mint,,1,1,bytes,75200004.0,ns,175
cost_ft_mint,,1,1,bytes,77262445.0,ns,180
cost_ft_mint,,1,1,bytes,80477306.0,ns,185
cost_ft_mint,,1,1,bytes,82358531.0,ns,190
cost_ft_mint,,1,1,bytes,84098293.0,ns,195
cost_ft_mint,,1,1,bytes,86496841.0,ns,200
cost_ft_mint,,1,1,bytes,88798246.0,ns,205
cost_ft_mint,,1,1,bytes,90155098.0,ns,210
cost_ft_mint,,1,1,bytes,92754372.0,ns,215
cost_ft_mint,,1,1,bytes,94559200.0,ns,220
cost_ft_mint,,1,1,bytes,96615587.0,ns,225
cost_ft_mint,,1,1,bytes,99791464.0,ns,230
cost_ft_mint,,1,1,bytes,100833100.0,ns,235
cost_ft_mint,,1,1,bytes,133574017.0,ns,240
cost_ft_mint,,1,1,bytes,105254840.0,ns,245
cost_ft_mint,,1,1,bytes,108051844.0,ns,250
cost_ft_mint,,1,1,bytes,109168089.0,ns,255
cost_ft_mint,,1,1,bytes,111764013.0,ns,260
cost_ft_mint,,1,1,bytes,115288729.0,ns,265
cost_ft_mint,,1,1,bytes,115643865.0,ns,270
cost_ft_mint,,1,1,bytes,118845740.0,ns,275
cost_ft_mint,,1,1,bytes,120778236.0,ns,280
cost_ft_mint,,1,1,bytes,290679645.0,ns,285
cost_ft_mint,,1,1,bytes,122434881.0,ns,290
cost_ft_mint,,1,1,bytes,125759249.0,ns,295
cost_ft_mint,,1,1,bytes,127282240.0,ns,300
cost_ft_mint,,1,1,bytes,129383715.0,ns,305
cost_ft_mint,,1,1,bytes,132081541.0,ns,310
cost_ft_mint,,1,1,bytes,133607766.0,ns,315
cost_ft_mint,,1,1,bytes,134687299.0,ns,320
cost_ft_mint,,1,1,bytes,138897805.0,ns,325
cost_ft_mint,,1,1,bytes,142472922.0,ns,330
cost_ft_mint,,1,1,bytes,142470187.0,ns,335
cost_ft_mint,,1,1,bytes,146997260.0,ns,340
cost_ft_mint,,1,1,bytes,146853734.0,ns,345
cost_ft_mint,,1,1,bytes,149362168.0,ns,350
cost_ft_mint,,1,1,bytes,152246844.0,ns,355
cost_ft_mint,,1,1,bytes,153556548.0,ns,360
cost_ft_mint,,1,1,bytes,155761876.0,ns,365
cost_ft_mint,,1,1,bytes,157875521.0,ns,370
cost_ft_mint,,1,1,bytes,159748530.0,ns,375
cost_ft_mint,,1,1,bytes,162245384.0,ns,380
cost_ft_mint,,1,1,bytes,164147311.0,ns,385
cost_ft_mint,,1,1,bytes,166504732.0,ns,390
cost_ft_mint,,1,1,bytes,169233030.0,ns,395
cost_ft_mint,,1,1,bytes,170192856.0,ns,400
cost_ft_mint,,1,1,bytes,173384048.0,ns,405
cost_ft_mint,,1,1,bytes,174804347.0,ns,410
cost_ft_mint,,1,1,bytes,175865513.0,ns,415
cost_ft_mint,,1,1,bytes,181705650.0,ns,420
cost_ft_mint,,1,1,bytes,180315921.0,ns,425
cost_ft_mint,,1,1,bytes,183667156.0,ns,430
cost_ft_mint,,1,1,bytes,184385177.0,ns,435
cost_ft_mint,,1,1,bytes,187054389.0,ns,440
cost_ft_mint,,1,1,bytes,254897374.0,ns,445
cost_ft_mint,,1,1,bytes,191948953.0,ns,450
cost_ft_mint,,1,1,bytes,192236581.0,ns,455
cost_ft_mint,,1,1,bytes,198118601.0,ns,460
cost_ft_mint,,1,1,bytes,197910916.0,ns,465
cost_ft_mint,,1,1,bytes,200875284.0,ns,470
cost_ft_mint,,1,1,bytes,202085369.0,ns,475
cost_ft_mint,,1,1,bytes,204971919.0,ns,480
cost_ft_mint,,1,1,bytes,205531896.0,ns,485
cost_ft_mint,,1,1,bytes,208235369.0,ns,490
cost_ft_mint,,1,1,bytes,540773831.0,ns,495
cost_ft_mint,,1,1,bytes,210680629.0,ns,500
