group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_mint,,1,1,bytes,75048097.0,ns,4
cost_ft_mint,,1,1,bytes,4856683.0,ns,8
cost_ft_mint,,1,1,bytes,7189647.0,ns,12
cost_ft_mint,,1,1,bytes,9570950.0,ns,16
cost_ft_mint,,1,1,bytes,11979447.0,ns,20
cost_ft_mint,,1,1,bytes,14813064.0,ns,24
cost_ft_mint,,1,1,bytes,16701185.0,ns,28
cost_ft_mint,,1,1,bytes,19111658.0,ns,32
cost_ft_mint,,1,1,bytes,21910569.0,ns,36
cost_ft_mint,,1,1,bytes,23879025.0,ns,40
cost_ft_mint,,1,1,bytes,26741908.0,ns,44
cost_ft_mint,,1,1,bytes,28606735.0,ns,48
cost_ft_mint,,1,1,bytes,31524298.0,ns,52
cost_ft_mint,,1,1,bytes,33390276.0,ns,56
cost_ft_mint,,1,1,bytes,36257592.0,ns,60
cost_ft_mint,,1,1,bytes,38599232.0,ns,64
cost_ft_mint,,1,1,bytes,40574000.0,ns,68
cost_ft_mint,,1,1,bytes,43474690.0,ns,72
cost_ft_mint,,1,1,bytes,45831272.0,ns,76
cost_ft_mint,,1,1,bytes,48231867.0,ns,80
cost_ft_mint,,1,1,bytes,50594009.0,ns,84
cost_ft_mint,,1,1,bytes,52516819.0,ns,88
cost_ft_mint,,1,1,bytes,56505887.0,ns,92
cost_ft_mint,,1,1,bytes,57934718.0,ns,96
cost_ft_mint,,1,1,bytes,60689398.0,ns,100
cost_ft_mint,,1,1,bytes,62571792.0,ns,104
cost_ft_mint,,1,1,bytes,65005674.0,ns,108
cost_ft_mint,,1,1,bytes,68116854.0,ns,112
cost_ft_mint,,1,1,bytes,69953140.0,ns,116
cost_ft_mint,,1,1,bytes,73192977.0,ns,120
cost_ft_mint,,1,1,bytes,76270865.0,ns,124
cost_ft_mint,,1,1,bytes,77287663.0,ns,128
cost_ft_mint,,1,1,bytes,79824045.0,ns,132
cost_ft_mint,,1,1,bytes,81621712.0,ns,136
cost_ft_mint,,1,1,bytes,84015610.0,ns,140
