group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_transfer,,1,1,bytes,2097334.0,ns,10
cost_ft_transfer,,1,1,bytes,4074669.0,ns,20
cost_ft_transfer,,1,1,bytes,6127463.0,ns,30
cost_ft_transfer,,1,1,bytes,8160406.0,ns,40
cost_ft_transfer,,1,1,bytes,10202335.0,ns,50
cost_ft_transfer,,1,1,bytes,12226664.0,ns,60
cost_ft_transfer,,1,1,bytes,14318084.0,ns,70
cost_ft_transfer,,1,1,bytes,16399539.0,ns,80
cost_ft_transfer,,1,1,bytes,18317868.0,ns,90
cost_ft_transfer,,1,1,bytes,20337526.0,ns,100
cost_ft_transfer,,1,1,bytes,22375831.0,ns,110
cost_ft_transfer,,1,1,bytes,24382962.0,ns,120
cost_ft_transfer,,1,1,bytes,26488134.0,ns,130
cost_ft_transfer,,1,1,bytes,28457264.0,ns,140
cost_ft_transfer,,1,1,bytes,30475909.0,ns,150
cost_ft_transfer,,1,1,bytes,32623098.0,ns,160
cost_ft_transfer,,1,1,bytes,34583212.0,ns,170
cost_ft_transfer,,1,1,bytes,36703961.0,ns,180
cost_ft_transfer,,1,1,bytes,38668427.0,ns,190
cost_ft_transfer,,1,1,bytes,40691804.0,ns,200
cost_ft_transfer,,1,1,bytes,42814445.0,ns,210
cost_ft_transfer,,1,1,bytes,44761437.0,ns,220
cost_ft_transfer,,1,1,bytes,46787470.0,ns,230
cost_ft_transfer,,1,1,bytes,48890654.0,ns,240
cost_ft_transfer,,1,1,bytes,50941870.0,ns,250
cost_ft_transfer,,1,1,bytes,53081950.0,ns,260
cost_ft_transfer,,1,1,bytes,55000272.0,ns,270
cost_ft_transfer,,1,1,bytes,56985245.0,ns,280
cost_ft_transfer,,1,1,bytes,59042429.0,ns,290
cost_ft_transfer,,1,1,bytes,61064683.0,ns,300
cost_ft_transfer,,1,1,bytes,63118402.0,ns,310
cost_ft_transfer,,1,1,bytes,65159984.0,ns,320
cost_ft_transfer,,1,1,bytes,67185155.0,ns,330
cost_ft_transfer,,1,1,bytes,69268185.0,ns,340
cost_ft_transfer,,1,1,bytes,71236014.0,ns,350
cost_ft_transfer,,1,1,bytes,73358083.0,ns,360
cost_ft_transfer,,1,1,bytes,75324737.0,ns,370
cost_ft_transfer,,1,1,bytes,77284417.0,ns,380
cost_ft_transfer,,1,1,bytes,79319283.0,ns,390
cost_ft_transfer,,1,1,bytes,81353414.0,ns,400
cost_ft_transfer,,1,1,bytes,83478884.0,ns,410
cost_ft_transfer,,1,1,bytes,85373430.0,ns,420
cost_ft_transfer,,1,1,bytes,87793925.0,ns,430
cost_ft_transfer,,1,1,bytes,90157019.0,ns,440
cost_ft_transfer,,1,1,bytes,91828856.0,ns,450
cost_ft_transfer,,1,1,bytes,93459385.0,ns,460
cost_ft_transfer,,1,1,bytes,95582417.0,ns,470
cost_ft_transfer,,1,1,bytes,97583580.0,ns,480
cost_ft_transfer,,1,1,bytes,99839175.0,ns,490
cost_ft_transfer,,1,1,bytes,102548897.0,ns,500
cost_ft_transfer,,1,1,bytes,103943848.0,ns,510
cost_ft_transfer,,1,1,bytes,105771140.0,ns,520
cost_ft_transfer,,1,1,bytes,107925117.0,ns,530
cost_ft_transfer,,1,1,bytes,110913797.0,ns,540
cost_ft_transfer,,1,1,bytes,112464356.0,ns,550
