group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ft_transfer,,1,1,bytes,2252722.0,ns,13
cost_ft_transfer,,1,1,bytes,4274352.0,ns,26
cost_ft_transfer,,1,1,bytes,6421665.0,ns,39
cost_ft_transfer,,1,1,bytes,8534185.0,ns,52
cost_ft_transfer,,1,1,bytes,10682333.0,ns,65
cost_ft_transfer,,1,1,bytes,12812550.0,ns,78
cost_ft_transfer,,1,1,bytes,14994322.0,ns,91
cost_ft_transfer,,1,1,bytes,17072838.0,ns,104
cost_ft_transfer,,1,1,bytes,19224745.0,ns,117
cost_ft_transfer,,1,1,bytes,21367106.0,ns,130
cost_ft_transfer,,1,1,bytes,23557175.0,ns,143
cost_ft_transfer,,1,1,bytes,25646641.0,ns,156
cost_ft_transfer,,1,1,bytes,27762639.0,ns,169
cost_ft_transfer,,1,1,bytes,29889349.0,ns,182
cost_ft_transfer,,1,1,bytes,32038338.0,ns,195
cost_ft_transfer,,1,1,bytes,34201653.0,ns,208
cost_ft_transfer,,1,1,bytes,36323543.0,ns,221
cost_ft_transfer,,1,1,bytes,38536155.0,ns,234
cost_ft_transfer,,1,1,bytes,40666978.0,ns,247
cost_ft_transfer,,1,1,bytes,42802020.0,ns,260
cost_ft_transfer,,1,1,bytes,44931314.0,ns,273
cost_ft_transfer,,1,1,bytes,47045600.0,ns,286
cost_ft_transfer,,1,1,bytes,49580141.0,ns,299
cost_ft_transfer,,1,1,bytes,51284906.0,ns,312
cost_ft_transfer,,1,1,bytes,53383067.0,ns,325
cost_ft_transfer,,1,1,bytes,55994491.0,ns,338
cost_ft_transfer,,1,1,bytes,59561368.0,ns,351
cost_ft_transfer,,1,1,bytes,60858413.0,ns,364
cost_ft_transfer,,1,1,bytes,61730626.0,ns,377
cost_ft_transfer,,1,1,bytes,63877480.0,ns,390
cost_ft_transfer,,1,1,bytes,66007832.0,ns,403
cost_ft_transfer,,1,1,bytes,68091728.0,ns,416
cost_ft_transfer,,1,1,bytes,70292643.0,ns,429
cost_ft_transfer,,1,1,bytes,72324125.0,ns,442
cost_ft_transfer,,1,1,bytes,74523133.0,ns,455
cost_ft_transfer,,1,1,bytes,76670739.0,ns,468
cost_ft_transfer,,1,1,bytes,78887578.0,ns,481
cost_ft_transfer,,1,1,bytes,81080744.0,ns,494
cost_ft_transfer,,1,1,bytes,83113370.0,ns,507
cost_ft_transfer,,1,1,bytes,85231660.0,ns,520
cost_ft_transfer,,1,1,bytes,87391074.0,ns,533
cost_ft_transfer,,1,1,bytes,89361701.0,ns,546
cost_ft_transfer,,1,1,bytes,91629505.0,ns,559
cost_ft_transfer,,1,1,bytes,93607999.0,ns,572
cost_ft_transfer,,1,1,bytes,95765251.0,ns,585
cost_ft_transfer,,1,1,bytes,97796788.0,ns,598
cost_ft_transfer,,1,1,bytes,100125903.0,ns,611
cost_ft_transfer,,1,1,bytes,102768583.0,ns,624
cost_ft_transfer,,1,1,bytes,104685939.0,ns,637
cost_ft_transfer,,1,1,bytes,106489389.0,ns,650
cost_ft_transfer,,1,1,bytes,108701622.0,ns,663
cost_ft_transfer,,1,1,bytes,110738065.0,ns,676
cost_ft_transfer,,1,1,bytes,112921170.0,ns,689
cost_ft_transfer,,1,1,bytes,115037640.0,ns,702
cost_ft_transfer,,1,1,bytes,117132878.0,ns,715
cost_ft_transfer,,1,1,bytes,119280777.0,ns,728
cost_ft_transfer,,1,1,bytes,121328634.0,ns,741
cost_ft_transfer,,1,1,bytes,123526712.0,ns,754
cost_ft_transfer,,1,1,bytes,125536579.0,ns,767
cost_ft_transfer,,1,1,bytes,130016766.0,ns,780
cost_ft_transfer,,1,1,bytes,130290624.0,ns,793
cost_ft_transfer,,1,1,bytes,132348110.0,ns,806
cost_ft_transfer,,1,1,bytes,134860414.0,ns,819
cost_ft_transfer,,1,1,bytes,136601046.0,ns,832
cost_ft_transfer,,1,1,bytes,138813035.0,ns,845
cost_ft_transfer,,1,1,bytes,144505820.0,ns,858
cost_ft_transfer,,1,1,bytes,142670182.0,ns,871
cost_ft_transfer,,1,1,bytes,144804938.0,ns,884
cost_ft_transfer,,1,1,bytes,146827501.0,ns,897
cost_ft_transfer,,1,1,bytes,149263243.0,ns,910
cost_ft_transfer,,1,1,bytes,151115780.0,ns,923
cost_ft_transfer,,1,1,bytes,153429368.0,ns,936
cost_ft_transfer,,1,1,bytes,155536736.0,ns,949
cost_ft_transfer,,1,1,bytes,157701385.0,ns,962
cost_ft_transfer,,1,1,bytes,159818433.0,ns,975
cost_ft_transfer,,1,1,bytes,165634221.0,ns,988
cost_ft_transfer,,1,1,bytes,164089189.0,ns,1001
cost_ft_transfer,,1,1,bytes,166098406.0,ns,1014
cost_ft_transfer,,1,1,bytes,168289356.0,ns,1027
cost_ft_transfer,,1,1,bytes,170347805.0,ns,1040
