group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ge,,4,4,bytes,2215861.0,ns,39
cost_ge,,4,4,bytes,4139227.0,ns,78
cost_ge,,4,4,bytes,6208020.0,ns,117
cost_ge,,4,4,bytes,8312973.0,ns,156
cost_ge,,4,4,bytes,10380801.0,ns,195
cost_ge,,4,4,bytes,12428117.0,ns,234
cost_ge,,4,4,bytes,14582067.0,ns,273
cost_ge,,4,4,bytes,16803572.0,ns,312
cost_ge,,4,4,bytes,18718867.0,ns,351
cost_ge,,4,4,bytes,20765195.0,ns,390
cost_ge,,4,4,bytes,23236027.0,ns,429
cost_ge,,4,4,bytes,24946641.0,ns,468
cost_ge,,4,4,bytes,26982312.0,ns,507
cost_ge,,4,4,bytes,29018721.0,ns,546
cost_ge,,4,4,bytes,31046173.0,ns,585
cost_ge,,4,4,bytes,33203174.0,ns,624
cost_ge,,4,4,bytes,35341787.0,ns,663
cost_ge,,4,4,bytes,37255858.0,ns,702
cost_ge,,4,4,bytes,39375110.0,ns,741
cost_ge,,4,4,bytes,41454212.0,ns,780
cost_ge,,4,4,bytes,43513992.0,ns,819
cost_ge,,4,4,bytes,45571549.0,ns,858
cost_ge,,4,4,bytes,47643830.0,ns,897
cost_ge,,4,4,bytes,49717668.0,ns,936
cost_ge,,4,4,bytes,51740109.0,ns,975
cost_ge,,4,4,bytes,53854748.0,ns,1014
cost_ge,,4,4,bytes,55932702.0,ns,1053
cost_ge,,4,4,bytes,58064416.0,ns,1092
cost_ge,,4,4,bytes,60058278.0,ns,1131
cost_ge,,4,4,bytes,62162833.0,ns,1170
cost_ge,,4,4,bytes,64269139.0,ns,1209
cost_ge,,4,4,bytes,66695438.0,ns,1248
cost_ge,,4,4,bytes,68799544.0,ns,1287
cost_ge,,4,4,bytes,70672300.0,ns,1326
cost_ge,,4,4,bytes,72918129.0,ns,1365
cost_ge,,4,4,bytes,74568104.0,ns,1404
cost_ge,,4,4,bytes,76732332.0,ns,1443
cost_ge,,4,4,bytes,78746241.0,ns,1482
cost_ge,,4,4,bytes,80816469.0,ns,1521
cost_ge,,4,4,bytes,82861348.0,ns,1560
cost_ge,,4,4,bytes,84967652.0,ns,1599
cost_ge,,4,4,bytes,86995540.0,ns,1638
cost_ge,,4,4,bytes,89109438.0,ns,1677
cost_ge,,4,4,bytes,91205586.0,ns,1716
cost_ge,,4,4,bytes,93576361.0,ns,1755
cost_ge,,4,4,bytes,95339593.0,ns,1794
cost_ge,,4,4,bytes,97352227.0,ns,1833
cost_ge,,4,4,bytes,99433616.0,ns,1872
cost_ge,,4,4,bytes,101457272.0,ns,1911
cost_ge,,4,4,bytes,103764739.0,ns,1950
cost_ge,,4,4,bytes,106245032.0,ns,1989
cost_ge,,4,4,bytes,107655445.0,ns,2028
cost_ge,,4,4,bytes,109847965.0,ns,2067
cost_ge,,4,4,bytes,111915515.0,ns,2106
cost_ge,,4,4,bytes,114344260.0,ns,2145
cost_ge,,4,4,bytes,116128721.0,ns,2184
cost_ge,,4,4,bytes,118528422.0,ns,2223
cost_ge,,4,4,bytes,120208723.0,ns,2262
cost_ge,,4,4,bytes,122426383.0,ns,2301
cost_ge,,4,4,bytes,124289642.0,ns,2340
cost_ge,,4,4,bytes,126983776.0,ns,2379
cost_ge,,4,4,bytes,128444216.0,ns,2418
cost_ge,,4,4,bytes,131465215.0,ns,2457
cost_ge,,4,4,bytes,133363577.0,ns,2496
cost_ge,,4,4,bytes,135109537.0,ns,2535
cost_ge,,4,4,bytes,136901927.0,ns,2574
cost_ge,,4,4,bytes,138993998.0,ns,2613
cost_ge,,4,4,bytes,140801761.0,ns,2652
cost_ge,,4,4,bytes,142911251.0,ns,2691
cost_ge,,4,4,bytes,144933901.0,ns,2730
cost_ge,,4,4,bytes,146969910.0,ns,2769
cost_ge,,4,4,bytes,149002580.0,ns,2808
cost_ge,,4,4,bytes,151313868.0,ns,2847
cost_ge,,4,4,bytes,153306340.0,ns,2886
cost_ge,,4,4,bytes,155235948.0,ns,2925
cost_ge,,4,4,bytes,157499701.0,ns,2964
cost_ge,,4,4,bytes,160261093.0,ns,3003
cost_ge,,4,4,bytes,161574729.0,ns,3042
cost_ge,,4,4,bytes,164193424.0,ns,3081
cost_ge,,4,4,bytes,165821928.0,ns,3120
cost_ge,,4,4,bytes,167749615.0,ns,3159
cost_ge,,4,4,bytes,169878559.0,ns,3198
cost_ge,,4,4,bytes,173292839.0,ns,3237
cost_ge,,4,4,bytes,174118811.0,ns,3276
cost_ge,,4,4,bytes,177026183.0,ns,3315
cost_ge,,4,4,bytes,178544099.0,ns,3354
cost_ge,,4,4,bytes,180218279.0,ns,3393
cost_ge,,4,4,bytes,182330588.0,ns,3432
cost_ge,,4,4,bytes,184529367.0,ns,3471
cost_ge,,4,4,bytes,186525706.0,ns,3510
cost_ge,,4,4,bytes,189478357.0,ns,3549
cost_ge,,4,4,bytes,190547594.0,ns,3588
cost_ge,,4,4,bytes,192675623.0,ns,3627
cost_ge,,4,4,bytes,195502306.0,ns,3666
cost_ge,,4,4,bytes,197633227.0,ns,3705
cost_ge,,4,4,bytes,198775787.0,ns,3744
cost_ge,,4,4,bytes,200809080.0,ns,3783
cost_ge,,4,4,bytes,202834752.0,ns,3822
cost_ge,,4,4,bytes,205815184.0,ns,3861
cost_ge,,4,4,bytes,207871121.0,ns,3900
