group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_ge,,4,4,bytes,2045289.0,ns,50
cost_ge,,4,4,bytes,4010286.0,ns,100
cost_ge,,4,4,bytes,6016900.0,ns,150
cost_ge,,4,4,bytes,8023327.0,ns,200
cost_ge,,4,4,bytes,10009127.0,ns,250
cost_ge,,4,4,bytes,12031842.0,ns,300
cost_ge,,4,4,bytes,14049995.0,ns,350
cost_ge,,4,4,bytes,16037528.0,ns,400
cost_ge,,4,4,bytes,18028719.0,ns,450
cost_ge,,4,4,bytes,20030721.0,ns,500
cost_ge,,4,4,bytes,22052970.0,ns,550
cost_ge,,4,4,bytes,24048647.0,ns,600
cost_ge,,4,4,bytes,26227341.0,ns,650
cost_ge,,4,4,bytes,28038688.0,ns,700
cost_ge,,4,4,bytes,30056521.0,ns,750
cost_ge,,4,4,bytes,32047362.0,ns,800
cost_ge,,4,4,bytes,34050517.0,ns,850
cost_ge,,4,4,bytes,36055051.0,ns,900
cost_ge,,4,4,bytes,38063455.0,ns,950
cost_ge,,4,4,bytes,40057975.0,ns,1000
cost_ge,,4,4,bytes,42068767.0,ns,1050
cost_ge,,4,4,bytes,44109720.0,ns,1100
cost_ge,,4,4,bytes,46092125.0,ns,1150
cost_ge,,4,4,bytes,48218822.0,ns,1200
cost_ge,,4,4,bytes,50091567.0,ns,1250
cost_ge,,4,4,bytes,52103279.0,ns,1300
cost_ge,,4,4,bytes,54088106.0,ns,1350
cost_ge,,4,4,bytes,56080113.0,ns,1400
cost_ge,,4,4,bytes,58085076.0,ns,1450
cost_ge,,4,4,bytes,60090564.0,ns,1500
cost_ge,,4,4,bytes,62116285.0,ns,1550
cost_ge,,4,4,bytes,64102645.0,ns,1600
cost_ge,,4,4,bytes,66106375.0,ns,1650
cost_ge,,4,4,bytes,68147090.0,ns,1700
cost_ge,,4,4,bytes,70120748.0,ns,1750
cost_ge,,4,4,bytes,72151455.0,ns,1800
cost_ge,,4,4,bytes,74111094.0,ns,1850
cost_ge,,4,4,bytes,76116410.0,ns,1900
cost_ge,,4,4,bytes,78344355.0,ns,1950
cost_ge,,4,4,bytes,80218276.0,ns,2000
cost_ge,,4,4,bytes,82155719.0,ns,2050
cost_ge,,4,4,bytes,84122259.0,ns,2100
cost_ge,,4,4,bytes,86123717.0,ns,2150
cost_ge,,4,4,bytes,88127608.0,ns,2200
cost_ge,,4,4,bytes,90169816.0,ns,2250
cost_ge,,4,4,bytes,92270058.0,ns,2300
cost_ge,,4,4,bytes,94346853.0,ns,2350
cost_ge,,4,4,bytes,96166110.0,ns,2400
cost_ge,,4,4,bytes,98199217.0,ns,2450
cost_ge,,4,4,bytes,100168499.0,ns,2500
cost_ge,,4,4,bytes,102295551.0,ns,2550
cost_ge,,4,4,bytes,104197668.0,ns,2600
cost_ge,,4,4,bytes,106391706.0,ns,2650
cost_ge,,4,4,bytes,108226742.0,ns,2700
cost_ge,,4,4,bytes,110183230.0,ns,2750
cost_ge,,4,4,bytes,112216346.0,ns,2800
cost_ge,,4,4,bytes,114196565.0,ns,2850
cost_ge,,4,4,bytes,116252838.0,ns,2900
cost_ge,,4,4,bytes,118183846.0,ns,2950
cost_ge,,4,4,bytes,120870742.0,ns,3000
cost_ge,,4,4,bytes,122193053.0,ns,3050
cost_ge,,4,4,bytes,124294707.0,ns,3100
cost_ge,,4,4,bytes,126202164.0,ns,3150
cost_ge,,4,4,bytes,128446422.0,ns,3200
cost_ge,,4,4,bytes,130663694.0,ns,3250
cost_ge,,4,4,bytes,132528149.0,ns,3300
cost_ge,,4,4,bytes,134906452.0,ns,3350
cost_ge,,4,4,bytes,136487135.0,ns,3400
cost_ge,,4,4,bytes,138361735.0,ns,3450
cost_ge,,4,4,bytes,140416730.0,ns,3500
cost_ge,,4,4,bytes,142447274.0,ns,3550
cost_ge,,4,4,bytes,144397146.0,ns,3600
cost_ge,,4,4,bytes,146590808.0,ns,3650
cost_ge,,4,4,bytes,148407052.0,ns,3700
cost_ge,,4,4,bytes,150465037.0,ns,3750
cost_ge,,4,4,bytes,152591299.0,ns,3800
cost_ge,,4,4,bytes,154536225.0,ns,3850
cost_ge,,4,4,bytes,156450404.0,ns,3900
cost_ge,,4,4,bytes,158520053.0,ns,3950
cost_ge,,4,4,bytes,160297353.0,ns,4000
cost_ge,,4,4,bytes,162466683.0,ns,4050
cost_ge,,4,4,bytes,164440180.0,ns,4100
cost_ge,,4,4,bytes,166261407.0,ns,4150
cost_ge,,4,4,bytes,168328346.0,ns,4200
cost_ge,,4,4,bytes,170387968.0,ns,4250
cost_ge,,4,4,bytes,172299411.0,ns,4300
cost_ge,,4,4,bytes,175307940.0,ns,4350
cost_ge,,4,4,bytes,176304233.0,ns,4400
cost_ge,,4,4,bytes,178318398.0,ns,4450
cost_ge,,4,4,bytes,180873867.0,ns,4500
cost_ge,,4,4,bytes,182481392.0,ns,4550
cost_ge,,4,4,bytes,184336293.0,ns,4600
cost_ge,,4,4,bytes,186420824.0,ns,4650
cost_ge,,4,4,bytes,189159171.0,ns,4700
cost_ge,,4,4,bytes,190395764.0,ns,4750
cost_ge,,4,4,bytes,192574724.0,ns,4800
cost_ge,,4,4,bytes,194562108.0,ns,4850
cost_ge,,4,4,bytes,196851639.0,ns,4900
cost_ge,,4,4,bytes,198518336.0,ns,4950
cost_ge,,4,4,bytes,200365671.0,ns,5000
