group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_geq,,16,16,bytes,1998163.0,ns,25
cost_geq,,16,16,bytes,3986006.0,ns,50
cost_geq,,16,16,bytes,6158129.0,ns,75
cost_geq,,16,16,bytes,8024488.0,ns,100
cost_geq,,16,16,bytes,9978751.0,ns,125
cost_geq,,16,16,bytes,11964337.0,ns,150
cost_geq,,16,16,bytes,13984765.0,ns,175
cost_geq,,16,16,bytes,15945170.0,ns,200
cost_geq,,16,16,bytes,18219843.0,ns,225
cost_geq,,16,16,bytes,20009503.0,ns,250
cost_geq,,16,16,bytes,21939769.0,ns,275
cost_geq,,16,16,bytes,24181217.0,ns,300
cost_geq,,16,16,bytes,26212930.0,ns,325
cost_geq,,16,16,bytes,27962086.0,ns,350
cost_geq,,16,16,bytes,29912074.0,ns,375
cost_geq,,16,16,bytes,32154205.0,ns,400
cost_geq,,16,16,bytes,33942916.0,ns,425
cost_geq,,16,16,bytes,35900445.0,ns,450
cost_geq,,16,16,bytes,37844767.0,ns,475
cost_geq,,16,16,bytes,39846154.0,ns,500
cost_geq,,16,16,bytes,41852792.0,ns,525
cost_geq,,16,16,bytes,44183862.0,ns,550
cost_geq,,16,16,bytes,46252925.0,ns,575
cost_geq,,16,16,bytes,47818050.0,ns,600
cost_geq,,16,16,bytes,49793074.0,ns,625
cost_geq,,16,16,bytes,51787624.0,ns,650
cost_geq,,16,16,bytes,53841553.0,ns,675
cost_geq,,16,16,bytes,55809905.0,ns,700
cost_geq,,16,16,bytes,57789547.0,ns,725
cost_geq,,16,16,bytes,59762604.0,ns,750
cost_geq,,16,16,bytes,61787842.0,ns,775
cost_geq,,16,16,bytes,64071140.0,ns,800
cost_geq,,16,16,bytes,65777278.0,ns,825
cost_geq,,16,16,bytes,67781301.0,ns,850
cost_geq,,16,16,bytes,69717312.0,ns,875
cost_geq,,16,16,bytes,71692377.0,ns,900
cost_geq,,16,16,bytes,73699529.0,ns,925
cost_geq,,16,16,bytes,75714947.0,ns,950
cost_geq,,16,16,bytes,77732597.0,ns,975
cost_geq,,16,16,bytes,79684886.0,ns,1000
cost_geq,,16,16,bytes,82232043.0,ns,1025
cost_geq,,16,16,bytes,83950738.0,ns,1050
cost_geq,,16,16,bytes,86043720.0,ns,1075
cost_geq,,16,16,bytes,88037311.0,ns,1100
cost_geq,,16,16,bytes,90226921.0,ns,1125
cost_geq,,16,16,bytes,91767976.0,ns,1150
cost_geq,,16,16,bytes,93656238.0,ns,1175
cost_geq,,16,16,bytes,95659241.0,ns,1200
cost_geq,,16,16,bytes,97600968.0,ns,1225
cost_geq,,16,16,bytes,99642483.0,ns,1250
cost_geq,,16,16,bytes,101793843.0,ns,1275
cost_geq,,16,16,bytes,103704374.0,ns,1300
cost_geq,,16,16,bytes,106411789.0,ns,1325
cost_geq,,16,16,bytes,107641390.0,ns,1350
cost_geq,,16,16,bytes,110356245.0,ns,1375
cost_geq,,16,16,bytes,112650209.0,ns,1400
cost_geq,,16,16,bytes,113724692.0,ns,1425
cost_geq,,16,16,bytes,115683842.0,ns,1450
cost_geq,,16,16,bytes,117591454.0,ns,1475
cost_geq,,16,16,bytes,119571128.0,ns,1500
cost_geq,,16,16,bytes,121562994.0,ns,1525
cost_geq,,16,16,bytes,123561525.0,ns,1550
cost_geq,,16,16,bytes,125537219.0,ns,1575
cost_geq,,16,16,bytes,128041768.0,ns,1600
cost_geq,,16,16,bytes,129471155.0,ns,1625
cost_geq,,16,16,bytes,131483531.0,ns,1650
cost_geq,,16,16,bytes,133473440.0,ns,1675
cost_geq,,16,16,bytes,135482095.0,ns,1700
cost_geq,,16,16,bytes,138295985.0,ns,1725
cost_geq,,16,16,bytes,140000971.0,ns,1750
cost_geq,,16,16,bytes,141978653.0,ns,1775
cost_geq,,16,16,bytes,143408608.0,ns,1800
cost_geq,,16,16,bytes,145408041.0,ns,1825
cost_geq,,16,16,bytes,148357311.0,ns,1850
cost_geq,,16,16,bytes,149981576.0,ns,1875
cost_geq,,16,16,bytes,151407689.0,ns,1900
cost_geq,,16,16,bytes,153415916.0,ns,1925
cost_geq,,16,16,bytes,155557116.0,ns,1950
cost_geq,,16,16,bytes,157362851.0,ns,1975
cost_geq,,16,16,bytes,159336829.0,ns,2000
cost_geq,,16,16,bytes,161380776.0,ns,2025
cost_geq,,16,16,bytes,163373730.0,ns,2050
cost_geq,,16,16,bytes,165472304.0,ns,2075
cost_geq,,16,16,bytes,167916953.0,ns,2100
cost_geq,,16,16,bytes,169983931.0,ns,2125
cost_geq,,16,16,bytes,171462003.0,ns,2150
cost_geq,,16,16,bytes,173317901.0,ns,2175
cost_geq,,16,16,bytes,175265743.0,ns,2200
cost_geq,,16,16,bytes,177269780.0,ns,2225
cost_geq,,16,16,bytes,180101261.0,ns,2250
cost_geq,,16,16,bytes,181369118.0,ns,2275
cost_geq,,16,16,bytes,183309649.0,ns,2300
cost_geq,,16,16,bytes,185577333.0,ns,2325
cost_geq,,16,16,bytes,188154704.0,ns,2350
cost_geq,,16,16,bytes,189596964.0,ns,2375
cost_geq,,16,16,bytes,191233375.0,ns,2400
cost_geq,,16,16,bytes,193226241.0,ns,2425
cost_geq,,16,16,bytes,195252081.0,ns,2450
cost_geq,,16,16,bytes,197529002.0,ns,2475
cost_geq,,16,16,bytes,200108928.0,ns,2500
