group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_geq,,2048,2048,bytes,3726505.0,ns,2
cost_geq,,2048,2048,bytes,6970219.0,ns,4
cost_geq,,2048,2048,bytes,10403716.0,ns,6
cost_geq,,2048,2048,bytes,13934176.0,ns,8
cost_geq,,2048,2048,bytes,17355926.0,ns,10
cost_geq,,2048,2048,bytes,20844937.0,ns,12
cost_geq,,2048,2048,bytes,24384456.0,ns,14
cost_geq,,2048,2048,bytes,27795967.0,ns,16
cost_geq,,2048,2048,bytes,31287318.0,ns,18
cost_geq,,2048,2048,bytes,34750028.0,ns,20
cost_geq,,2048,2048,bytes,38286633.0,ns,22
cost_geq,,2048,2048,bytes,41693637.0,ns,24
cost_geq,,2048,2048,bytes,45195956.0,ns,26
cost_geq,,2048,2048,bytes,48771138.0,ns,28
cost_geq,,2048,2048,bytes,52191005.0,ns,30
cost_geq,,2048,2048,bytes,55600292.0,ns,32
cost_geq,,2048,2048,bytes,59138618.0,ns,34
cost_geq,,2048,2048,bytes,62647329.0,ns,36
cost_geq,,2048,2048,bytes,65999646.0,ns,38
cost_geq,,2048,2048,bytes,69644045.0,ns,40
cost_geq,,2048,2048,bytes,73060605.0,ns,42
cost_geq,,2048,2048,bytes,76563077.0,ns,44
cost_geq,,2048,2048,bytes,79953278.0,ns,46
cost_geq,,2048,2048,bytes,83465946.0,ns,48
cost_geq,,2048,2048,bytes,86885656.0,ns,50
cost_geq,,2048,2048,bytes,90338307.0,ns,52
cost_geq,,2048,2048,bytes,93873866.0,ns,54
cost_geq,,2048,2048,bytes,97427185.0,ns,56
cost_geq,,2048,2048,bytes,100872428.0,ns,58
cost_geq,,2048,2048,bytes,104273043.0,ns,60
cost_geq,,2048,2048,bytes,107689988.0,ns,62
cost_geq,,2048,2048,bytes,111202905.0,ns,64
cost_geq,,2048,2048,bytes,114952549.0,ns,66
cost_geq,,2048,2048,bytes,118181790.0,ns,68
cost_geq,,2048,2048,bytes,121742186.0,ns,70
cost_geq,,2048,2048,bytes,125222362.0,ns,72
cost_geq,,2048,2048,bytes,128610389.0,ns,74
cost_geq,,2048,2048,bytes,132213903.0,ns,76
cost_geq,,2048,2048,bytes,135773725.0,ns,78
cost_geq,,2048,2048,bytes,139385470.0,ns,80
cost_geq,,2048,2048,bytes,142703079.0,ns,82
cost_geq,,2048,2048,bytes,146088737.0,ns,84
cost_geq,,2048,2048,bytes,149236758.0,ns,86
cost_geq,,2048,2048,bytes,152934421.0,ns,88
cost_geq,,2048,2048,bytes,156491846.0,ns,90
cost_geq,,2048,2048,bytes,160068485.0,ns,92
cost_geq,,2048,2048,bytes,163170445.0,ns,94
cost_geq,,2048,2048,bytes,166967123.0,ns,96
cost_geq,,2048,2048,bytes,170049157.0,ns,98
cost_geq,,2048,2048,bytes,174721237.0,ns,100
cost_geq,,2048,2048,bytes,177123146.0,ns,102
cost_geq,,2048,2048,bytes,181032118.0,ns,104
cost_geq,,2048,2048,bytes,183737428.0,ns,106
cost_geq,,2048,2048,bytes,187237416.0,ns,108
cost_geq,,2048,2048,bytes,190546545.0,ns,110
cost_geq,,2048,2048,bytes,194541897.0,ns,112
cost_geq,,2048,2048,bytes,197640349.0,ns,114
cost_geq,,2048,2048,bytes,201000242.0,ns,116
cost_geq,,2048,2048,bytes,204819332.0,ns,118
cost_geq,,2048,2048,bytes,208164351.0,ns,120
cost_geq,,2048,2048,bytes,211868548.0,ns,122
cost_geq,,2048,2048,bytes,215271675.0,ns,124
cost_geq,,2048,2048,bytes,218612179.0,ns,126
cost_geq,,2048,2048,bytes,221618395.0,ns,128
cost_geq,,2048,2048,bytes,225111424.0,ns,130
cost_geq,,2048,2048,bytes,228798601.0,ns,132
cost_geq,,2048,2048,bytes,232794449.0,ns,134
cost_geq,,2048,2048,bytes,235707569.0,ns,136
cost_geq,,2048,2048,bytes,239005054.0,ns,138
cost_geq,,2048,2048,bytes,244191461.0,ns,140
cost_geq,,2048,2048,bytes,246597106.0,ns,142
cost_geq,,2048,2048,bytes,249089687.0,ns,144
