group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_if,,1,1,bytes,2073812.0,ns,48
cost_if,,1,1,bytes,4059170.0,ns,96
cost_if,,1,1,bytes,6084363.0,ns,144
cost_if,,1,1,bytes,8248512.0,ns,192
cost_if,,1,1,bytes,10315655.0,ns,240
cost_if,,1,1,bytes,12329707.0,ns,288
cost_if,,1,1,bytes,14312388.0,ns,336
cost_if,,1,1,bytes,16265408.0,ns,384
cost_if,,1,1,bytes,18348033.0,ns,432
cost_if,,1,1,bytes,20296301.0,ns,480
cost_if,,1,1,bytes,22328385.0,ns,528
cost_if,,1,1,bytes,24372527.0,ns,576
cost_if,,1,1,bytes,26385341.0,ns,624
cost_if,,1,1,bytes,28410373.0,ns,672
cost_if,,1,1,bytes,30445632.0,ns,720
cost_if,,1,1,bytes,32450515.0,ns,768
cost_if,,1,1,bytes,34496547.0,ns,816
cost_if,,1,1,bytes,36458429.0,ns,864
cost_if,,1,1,bytes,38534424.0,ns,912
cost_if,,1,1,bytes,40533968.0,ns,960
cost_if,,1,1,bytes,42576116.0,ns,1008
cost_if,,1,1,bytes,44554780.0,ns,1056
cost_if,,1,1,bytes,46650096.0,ns,1104
cost_if,,1,1,bytes,48713761.0,ns,1152
cost_if,,1,1,bytes,50713853.0,ns,1200
cost_if,,1,1,bytes,52750204.0,ns,1248
cost_if,,1,1,bytes,54800913.0,ns,1296
cost_if,,1,1,bytes,56834326.0,ns,1344
cost_if,,1,1,bytes,58841307.0,ns,1392
cost_if,,1,1,bytes,60859760.0,ns,1440
cost_if,,1,1,bytes,62971265.0,ns,1488
cost_if,,1,1,bytes,64915690.0,ns,1536
cost_if,,1,1,bytes,66935864.0,ns,1584
cost_if,,1,1,bytes,69062157.0,ns,1632
cost_if,,1,1,bytes,71514133.0,ns,1680
cost_if,,1,1,bytes,73154888.0,ns,1728
cost_if,,1,1,bytes,75059273.0,ns,1776
cost_if,,1,1,bytes,77320887.0,ns,1824
cost_if,,1,1,bytes,79193934.0,ns,1872
cost_if,,1,1,bytes,81122709.0,ns,1920
cost_if,,1,1,bytes,83118146.0,ns,1968
cost_if,,1,1,bytes,85243893.0,ns,2016
cost_if,,1,1,bytes,87241909.0,ns,2064
cost_if,,1,1,bytes,89483930.0,ns,2112
cost_if,,1,1,bytes,91244469.0,ns,2160
cost_if,,1,1,bytes,95193755.0,ns,2208
cost_if,,1,1,bytes,95345640.0,ns,2256
cost_if,,1,1,bytes,97345876.0,ns,2304
cost_if,,1,1,bytes,99507135.0,ns,2352
cost_if,,1,1,bytes,101445344.0,ns,2400
cost_if,,1,1,bytes,103440001.0,ns,2448
cost_if,,1,1,bytes,105494690.0,ns,2496
cost_if,,1,1,bytes,107470485.0,ns,2544
cost_if,,1,1,bytes,109603411.0,ns,2592
cost_if,,1,1,bytes,111953779.0,ns,2640
cost_if,,1,1,bytes,114053386.0,ns,2688
cost_if,,1,1,bytes,115569812.0,ns,2736
cost_if,,1,1,bytes,117686694.0,ns,2784
cost_if,,1,1,bytes,119672288.0,ns,2832
cost_if,,1,1,bytes,121820329.0,ns,2880
cost_if,,1,1,bytes,123790150.0,ns,2928
cost_if,,1,1,bytes,125849820.0,ns,2976
cost_if,,1,1,bytes,128065992.0,ns,3024
cost_if,,1,1,bytes,129793820.0,ns,3072
cost_if,,1,1,bytes,132152275.0,ns,3120
cost_if,,1,1,bytes,134205714.0,ns,3168
cost_if,,1,1,bytes,135929583.0,ns,3216
cost_if,,1,1,bytes,138130421.0,ns,3264
cost_if,,1,1,bytes,140266435.0,ns,3312
cost_if,,1,1,bytes,142502219.0,ns,3360
cost_if,,1,1,bytes,144085317.0,ns,3408
cost_if,,1,1,bytes,146152212.0,ns,3456
cost_if,,1,1,bytes,147946780.0,ns,3504
cost_if,,1,1,bytes,150046367.0,ns,3552
cost_if,,1,1,bytes,152009110.0,ns,3600
cost_if,,1,1,bytes,154151254.0,ns,3648
cost_if,,1,1,bytes,156088093.0,ns,3696
cost_if,,1,1,bytes,158449518.0,ns,3744
cost_if,,1,1,bytes,160643925.0,ns,3792
cost_if,,1,1,bytes,162792822.0,ns,3840
cost_if,,1,1,bytes,164310704.0,ns,3888
cost_if,,1,1,bytes,166664485.0,ns,3936
cost_if,,1,1,bytes,168747252.0,ns,3984
cost_if,,1,1,bytes,170545872.0,ns,4032
cost_if,,1,1,bytes,172345284.0,ns,4080
cost_if,,1,1,bytes,174333033.0,ns,4128
cost_if,,1,1,bytes,176433031.0,ns,4176
cost_if,,1,1,bytes,178493313.0,ns,4224
cost_if,,1,1,bytes,180828695.0,ns,4272
cost_if,,1,1,bytes,182509432.0,ns,4320
cost_if,,1,1,bytes,184610808.0,ns,4368
cost_if,,1,1,bytes,186517579.0,ns,4416
cost_if,,1,1,bytes,188550519.0,ns,4464
cost_if,,1,1,bytes,190444930.0,ns,4512
cost_if,,1,1,bytes,192646934.0,ns,4560
cost_if,,1,1,bytes,194509480.0,ns,4608
cost_if,,1,1,bytes,196643924.0,ns,4656
cost_if,,1,1,bytes,198762542.0,ns,4704
cost_if,,1,1,bytes,200931139.0,ns,4752
cost_if,,1,1,bytes,202765481.0,ns,4800
