group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_if,,1,1,bytes,2182658.0,ns,46
cost_if,,1,1,bytes,4019310.0,ns,92
cost_if,,1,1,bytes,5998141.0,ns,138
cost_if,,1,1,bytes,7988834.0,ns,184
cost_if,,1,1,bytes,9969143.0,ns,230
cost_if,,1,1,bytes,11990547.0,ns,276
cost_if,,1,1,bytes,14003227.0,ns,322
cost_if,,1,1,bytes,16003699.0,ns,368
cost_if,,1,1,bytes,17975670.0,ns,414
cost_if,,1,1,bytes,19955905.0,ns,460
cost_if,,1,1,bytes,21974397.0,ns,506
cost_if,,1,1,bytes,23933714.0,ns,552
cost_if,,1,1,bytes,25978999.0,ns,598
cost_if,,1,1,bytes,27989997.0,ns,644
cost_if,,1,1,bytes,29968077.0,ns,690
cost_if,,1,1,bytes,31947435.0,ns,736
cost_if,,1,1,bytes,34651080.0,ns,782
cost_if,,1,1,bytes,35933787.0,ns,828
cost_if,,1,1,bytes,37923603.0,ns,874
cost_if,,1,1,bytes,39926394.0,ns,920
cost_if,,1,1,bytes,41887836.0,ns,966
cost_if,,1,1,bytes,43923461.0,ns,1012
cost_if,,1,1,bytes,45867202.0,ns,1058
cost_if,,1,1,bytes,47884122.0,ns,1104
cost_if,,1,1,bytes,50031925.0,ns,1150
cost_if,,1,1,bytes,52006630.0,ns,1196
cost_if,,1,1,bytes,53864867.0,ns,1242
cost_if,,1,1,bytes,55956261.0,ns,1288
cost_if,,1,1,bytes,57871882.0,ns,1334
cost_if,,1,1,bytes,59879779.0,ns,1380
cost_if,,1,1,bytes,61924896.0,ns,1426
cost_if,,1,1,bytes,63856715.0,ns,1472
cost_if,,1,1,bytes,66024512.0,ns,1518
cost_if,,1,1,bytes,68080594.0,ns,1564
cost_if,,1,1,bytes,70133787.0,ns,1610
cost_if,,1,1,bytes,72365904.0,ns,1656
cost_if,,1,1,bytes,74132413.0,ns,1702
cost_if,,1,1,bytes,76126444.0,ns,1748
cost_if,,1,1,bytes,78206816.0,ns,1794
cost_if,,1,1,bytes,79970185.0,ns,1840
cost_if,,1,1,bytes,82114606.0,ns,1886
cost_if,,1,1,bytes,84219845.0,ns,1932
cost_if,,1,1,bytes,86033960.0,ns,1978
cost_if,,1,1,bytes,88106813.0,ns,2024
cost_if,,1,1,bytes,89882770.0,ns,2070
cost_if,,1,1,bytes,91906853.0,ns,2116
cost_if,,1,1,bytes,93855953.0,ns,2162
cost_if,,1,1,bytes,96314280.0,ns,2208
cost_if,,1,1,bytes,97798917.0,ns,2254
cost_if,,1,1,bytes,99812374.0,ns,2300
cost_if,,1,1,bytes,102003232.0,ns,2346
cost_if,,1,1,bytes,103836937.0,ns,2392
cost_if,,1,1,bytes,105908604.0,ns,2438
cost_if,,1,1,bytes,107779414.0,ns,2484
cost_if,,1,1,bytes,109771735.0,ns,2530
cost_if,,1,1,bytes,111776384.0,ns,2576
cost_if,,1,1,bytes,113921709.0,ns,2622
cost_if,,1,1,bytes,115770912.0,ns,2668
cost_if,,1,1,bytes,117824564.0,ns,2714
cost_if,,1,1,bytes,119785234.0,ns,2760
cost_if,,1,1,bytes,121809967.0,ns,2806
cost_if,,1,1,bytes,123754472.0,ns,2852
cost_if,,1,1,bytes,125802875.0,ns,2898
cost_if,,1,1,bytes,127731970.0,ns,2944
cost_if,,1,1,bytes,129830497.0,ns,2990
cost_if,,1,1,bytes,131999284.0,ns,3036
cost_if,,1,1,bytes,133752611.0,ns,3082
cost_if,,1,1,bytes,135947292.0,ns,3128
cost_if,,1,1,bytes,138114514.0,ns,3174
cost_if,,1,1,bytes,139767312.0,ns,3220
cost_if,,1,1,bytes,141778243.0,ns,3266
cost_if,,1,1,bytes,143805796.0,ns,3312
cost_if,,1,1,bytes,145753783.0,ns,3358
cost_if,,1,1,bytes,148024261.0,ns,3404
cost_if,,1,1,bytes,149749134.0,ns,3450
cost_if,,1,1,bytes,151764595.0,ns,3496
cost_if,,1,1,bytes,153862803.0,ns,3542
cost_if,,1,1,bytes,155866912.0,ns,3588
cost_if,,1,1,bytes,159183234.0,ns,3634
cost_if,,1,1,bytes,159653760.0,ns,3680
cost_if,,1,1,bytes,161682030.0,ns,3726
cost_if,,1,1,bytes,163961925.0,ns,3772
cost_if,,1,1,bytes,165724659.0,ns,3818
cost_if,,1,1,bytes,167725204.0,ns,3864
cost_if,,1,1,bytes,169768238.0,ns,3910
cost_if,,1,1,bytes,171952706.0,ns,3956
cost_if,,1,1,bytes,173797947.0,ns,4002
cost_if,,1,1,bytes,175807475.0,ns,4048
cost_if,,1,1,bytes,177943242.0,ns,4094
cost_if,,1,1,bytes,179909428.0,ns,4140
cost_if,,1,1,bytes,182015816.0,ns,4186
cost_if,,1,1,bytes,183743232.0,ns,4232
cost_if,,1,1,bytes,185945183.0,ns,4278
cost_if,,1,1,bytes,187873051.0,ns,4324
cost_if,,1,1,bytes,189647763.0,ns,4370
cost_if,,1,1,bytes,191598648.0,ns,4416
cost_if,,1,1,bytes,193892621.0,ns,4462
cost_if,,1,1,bytes,195842404.0,ns,4508
cost_if,,1,1,bytes,197706442.0,ns,4554
cost_if,,1,1,bytes,199760647.0,ns,4600
