group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_index_of,,2198,2198,bytes,2180865.0,ns,2
cost_index_of,,2198,2198,bytes,4292067.0,ns,4
cost_index_of,,2198,2198,bytes,6399017.0,ns,6
cost_index_of,,2198,2198,bytes,8525732.0,ns,8
cost_index_of,,2198,2198,bytes,10645915.0,ns,10
cost_index_of,,2198,2198,bytes,12758807.0,ns,12
cost_index_of,,2198,2198,bytes,14933129.0,ns,14
cost_index_of,,2198,2198,bytes,17033230.0,ns,16
cost_index_of,,2198,2198,bytes,19118805.0,ns,18
cost_index_of,,2198,2198,bytes,21264248.0,ns,20
cost_index_of,,2198,2198,bytes,23450557.0,ns,22
cost_index_of,,2198,2198,bytes,25540771.0,ns,24
cost_index_of,,2198,2198,bytes,27679642.0,ns,26
cost_index_of,,2198,2198,bytes,29747476.0,ns,28
cost_index_of,,2198,2198,bytes,32329024.0,ns,30
cost_index_of,,2198,2198,bytes,34563592.0,ns,32
cost_index_of,,2198,2198,bytes,36559038.0,ns,34
cost_index_of,,2198,2198,bytes,38274199.0,ns,36
cost_index_of,,2198,2198,bytes,40650173.0,ns,38
cost_index_of,,2198,2198,bytes,42853103.0,ns,40
cost_index_of,,2198,2198,bytes,44418353.0,ns,42
cost_index_of,,2198,2198,bytes,46529704.0,ns,44
cost_index_of,,2198,2198,bytes,48725260.0,ns,46
cost_index_of,,2198,2198,bytes,50852129.0,ns,48
cost_index_of,,2198,2198,bytes,53019466.0,ns,50
cost_index_of,,2198,2198,bytes,55080034.0,ns,52
cost_index_of,,2198,2198,bytes,57116277.0,ns,54
cost_index_of,,2198,2198,bytes,59220127.0,ns,56
cost_index_of,,2198,2198,bytes,61361358.0,ns,58
cost_index_of,,2198,2198,bytes,63660040.0,ns,60
cost_index_of,,2198,2198,bytes,66135250.0,ns,62
cost_index_of,,2198,2198,bytes,68028352.0,ns,64
cost_index_of,,2198,2198,bytes,69982406.0,ns,66
cost_index_of,,2198,2198,bytes,71908342.0,ns,68
cost_index_of,,2198,2198,bytes,74031343.0,ns,70
cost_index_of,,2198,2198,bytes,76158546.0,ns,72
cost_index_of,,2198,2198,bytes,78270564.0,ns,74
cost_index_of,,2198,2198,bytes,80446874.0,ns,76
cost_index_of,,2198,2198,bytes,82512326.0,ns,78
cost_index_of,,2198,2198,bytes,84664483.0,ns,80
cost_index_of,,2198,2198,bytes,86918688.0,ns,82
cost_index_of,,2198,2198,bytes,89030673.0,ns,84
cost_index_of,,2198,2198,bytes,92046982.0,ns,86
cost_index_of,,2198,2198,bytes,93942097.0,ns,88
cost_index_of,,2198,2198,bytes,95865959.0,ns,90
cost_index_of,,2198,2198,bytes,98175081.0,ns,92
cost_index_of,,2198,2198,bytes,100880188.0,ns,94
cost_index_of,,2198,2198,bytes,102243814.0,ns,96
cost_index_of,,2198,2198,bytes,104109850.0,ns,98
cost_index_of,,2198,2198,bytes,106188550.0,ns,100
cost_index_of,,2198,2198,bytes,108371604.0,ns,102
cost_index_of,,2198,2198,bytes,110656801.0,ns,104
cost_index_of,,2198,2198,bytes,112703205.0,ns,106
cost_index_of,,2198,2198,bytes,114694535.0,ns,108
cost_index_of,,2198,2198,bytes,116998257.0,ns,110
cost_index_of,,2198,2198,bytes,119209328.0,ns,112
cost_index_of,,2198,2198,bytes,121324246.0,ns,114
cost_index_of,,2198,2198,bytes,123505922.0,ns,116
cost_index_of,,2198,2198,bytes,125321906.0,ns,118
cost_index_of,,2198,2198,bytes,128235996.0,ns,120
cost_index_of,,2198,2198,bytes,131058782.0,ns,122
cost_index_of,,2198,2198,bytes,131861492.0,ns,124
cost_index_of,,2198,2198,bytes,134740803.0,ns,126
cost_index_of,,2198,2198,bytes,137130252.0,ns,128
cost_index_of,,2198,2198,bytes,138221198.0,ns,130
cost_index_of,,2198,2198,bytes,141546243.0,ns,132
cost_index_of,,2198,2198,bytes,142696809.0,ns,134
