group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_index_of,,2198,2198,bytes,2817566.0,ns,2
cost_index_of,,2198,2198,bytes,5357453.0,ns,4
cost_index_of,,2198,2198,bytes,7998442.0,ns,6
cost_index_of,,2198,2198,bytes,10673938.0,ns,8
cost_index_of,,2198,2198,bytes,13342753.0,ns,10
cost_index_of,,2198,2198,bytes,15993397.0,ns,12
cost_index_of,,2198,2198,bytes,18733667.0,ns,14
cost_index_of,,2198,2198,bytes,21345235.0,ns,16
cost_index_of,,2198,2198,bytes,24046747.0,ns,18
cost_index_of,,2198,2198,bytes,26670211.0,ns,20
cost_index_of,,2198,2198,bytes,29319210.0,ns,22
cost_index_of,,2198,2198,bytes,32053438.0,ns,24
cost_index_of,,2198,2198,bytes,34675126.0,ns,26
cost_index_of,,2198,2198,bytes,37344127.0,ns,28
cost_index_of,,2198,2198,bytes,40031635.0,ns,30
cost_index_of,,2198,2198,bytes,42649109.0,ns,32
cost_index_of,,2198,2198,bytes,45329211.0,ns,34
cost_index_of,,2198,2198,bytes,48007376.0,ns,36
cost_index_of,,2198,2198,bytes,50631706.0,ns,38
cost_index_of,,2198,2198,bytes,53277302.0,ns,40
cost_index_of,,2198,2198,bytes,56058276.0,ns,42
cost_index_of,,2198,2198,bytes,58681551.0,ns,44
cost_index_of,,2198,2198,bytes,61319827.0,ns,46
cost_index_of,,2198,2198,bytes,64025213.0,ns,48
cost_index_of,,2198,2198,bytes,66647011.0,ns,50
cost_index_of,,2198,2198,bytes,69496842.0,ns,52
cost_index_of,,2198,2198,bytes,72909245.0,ns,54
cost_index_of,,2198,2198,bytes,77323541.0,ns,56
cost_index_of,,2198,2198,bytes,78246167.0,ns,58
cost_index_of,,2198,2198,bytes,80525982.0,ns,60
cost_index_of,,2198,2198,bytes,82664813.0,ns,62
cost_index_of,,2198,2198,bytes,85219269.0,ns,64
cost_index_of,,2198,2198,bytes,87998112.0,ns,66
cost_index_of,,2198,2198,bytes,90624717.0,ns,68
cost_index_of,,2198,2198,bytes,93339541.0,ns,70
cost_index_of,,2198,2198,bytes,95919545.0,ns,72
cost_index_of,,2198,2198,bytes,98955501.0,ns,74
cost_index_of,,2198,2198,bytes,101344176.0,ns,76
cost_index_of,,2198,2198,bytes,104213299.0,ns,78
cost_index_of,,2198,2198,bytes,106757729.0,ns,80
cost_index_of,,2198,2198,bytes,109507529.0,ns,82
cost_index_of,,2198,2198,bytes,112031260.0,ns,84
cost_index_of,,2198,2198,bytes,114665807.0,ns,86
cost_index_of,,2198,2198,bytes,117337729.0,ns,88
cost_index_of,,2198,2198,bytes,119880352.0,ns,90
cost_index_of,,2198,2198,bytes,122529556.0,ns,92
cost_index_of,,2198,2198,bytes,125704330.0,ns,94
cost_index_of,,2198,2198,bytes,128134541.0,ns,96
cost_index_of,,2198,2198,bytes,130615497.0,ns,98
cost_index_of,,2198,2198,bytes,133372021.0,ns,100
cost_index_of,,2198,2198,bytes,136057275.0,ns,102
cost_index_of,,2198,2198,bytes,138685523.0,ns,104
cost_index_of,,2198,2198,bytes,141339311.0,ns,106
cost_index_of,,2198,2198,bytes,145003765.0,ns,108
cost_index_of,,2198,2198,bytes,148910029.0,ns,110
cost_index_of,,2198,2198,bytes,149578513.0,ns,112
cost_index_of,,2198,2198,bytes,152066762.0,ns,114
cost_index_of,,2198,2198,bytes,154629555.0,ns,116
cost_index_of,,2198,2198,bytes,157250472.0,ns,118
cost_index_of,,2198,2198,bytes,159998898.0,ns,120
cost_index_of,,2198,2198,bytes,163083140.0,ns,122
cost_index_of,,2198,2198,bytes,165594553.0,ns,124
cost_index_of,,2198,2198,bytes,168224561.0,ns,126
cost_index_of,,2198,2198,bytes,170925740.0,ns,128
cost_index_of,,2198,2198,bytes,173591561.0,ns,130
cost_index_of,,2198,2198,bytes,176572699.0,ns,132
cost_index_of,,2198,2198,bytes,179355561.0,ns,134
cost_index_of,,2198,2198,bytes,181428628.0,ns,136
cost_index_of,,2198,2198,bytes,184031618.0,ns,138
cost_index_of,,2198,2198,bytes,186479823.0,ns,140
cost_index_of,,2198,2198,bytes,189088888.0,ns,142
cost_index_of,,2198,2198,bytes,192055367.0,ns,144
cost_index_of,,2198,2198,bytes,195078310.0,ns,146
cost_index_of,,2198,2198,bytes,197140114.0,ns,148
cost_index_of,,2198,2198,bytes,199960020.0,ns,150
cost_index_of,,2198,2198,bytes,203879078.0,ns,152
cost_index_of,,2198,2198,bytes,208128556.0,ns,154
cost_index_of,,2198,2198,bytes,208102120.0,ns,156
cost_index_of,,2198,2198,bytes,210531799.0,ns,158
cost_index_of,,2198,2198,bytes,212992249.0,ns,160
cost_index_of,,2198,2198,bytes,215545900.0,ns,162
cost_index_of,,2198,2198,bytes,221485535.0,ns,164
cost_index_of,,2198,2198,bytes,221174446.0,ns,166
cost_index_of,,2198,2198,bytes,223903276.0,ns,168
cost_index_of,,2198,2198,bytes,226375407.0,ns,170
cost_index_of,,2198,2198,bytes,229935319.0,ns,172
cost_index_of,,2198,2198,bytes,231790354.0,ns,174
cost_index_of,,2198,2198,bytes,234195479.0,ns,176
cost_index_of,,2198,2198,bytes,237230399.0,ns,178
cost_index_of,,2198,2198,bytes,240156771.0,ns,180
cost_index_of,,2198,2198,bytes,244168250.0,ns,182
cost_index_of,,2198,2198,bytes,245282305.0,ns,184
cost_index_of,,2198,2198,bytes,247943432.0,ns,186
cost_index_of,,2198,2198,bytes,250638563.0,ns,188
cost_index_of,,2198,2198,bytes,255280289.0,ns,190
cost_index_of,,2198,2198,bytes,256809427.0,ns,192
cost_index_of,,2198,2198,bytes,258638501.0,ns,194
cost_index_of,,2198,2198,bytes,261671451.0,ns,196
cost_index_of,,2198,2198,bytes,264040441.0,ns,198
cost_index_of,,2198,2198,bytes,266969467.0,ns,200
