group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_inner_type_check_cost,,128,128,bytes,2159829.0,ns,21
cost_inner_type_check_cost,,128,128,bytes,4019593.0,ns,42
cost_inner_type_check_cost,,128,128,bytes,6005520.0,ns,63
cost_inner_type_check_cost,,128,128,bytes,8015291.0,ns,84
cost_inner_type_check_cost,,128,128,bytes,10011476.0,ns,105
cost_inner_type_check_cost,,128,128,bytes,12113740.0,ns,126
cost_inner_type_check_cost,,128,128,bytes,14094087.0,ns,147
cost_inner_type_check_cost,,128,128,bytes,16085289.0,ns,168
cost_inner_type_check_cost,,128,128,bytes,18058958.0,ns,189
cost_inner_type_check_cost,,128,128,bytes,20114288.0,ns,210
cost_inner_type_check_cost,,128,128,bytes,22067816.0,ns,231
cost_inner_type_check_cost,,128,128,bytes,24237993.0,ns,252
cost_inner_type_check_cost,,128,128,bytes,26097291.0,ns,273
cost_inner_type_check_cost,,128,128,bytes,28166340.0,ns,294
cost_inner_type_check_cost,,128,128,bytes,30075894.0,ns,315
cost_inner_type_check_cost,,128,128,bytes,32032287.0,ns,336
cost_inner_type_check_cost,,128,128,bytes,34077039.0,ns,357
cost_inner_type_check_cost,,128,128,bytes,36042917.0,ns,378
cost_inner_type_check_cost,,128,128,bytes,38081126.0,ns,399
cost_inner_type_check_cost,,128,128,bytes,40077462.0,ns,420
cost_inner_type_check_cost,,128,128,bytes,42014524.0,ns,441
cost_inner_type_check_cost,,128,128,bytes,44048664.0,ns,462
cost_inner_type_check_cost,,128,128,bytes,46019158.0,ns,483
cost_inner_type_check_cost,,128,128,bytes,48000232.0,ns,504
cost_inner_type_check_cost,,128,128,bytes,50072050.0,ns,525
cost_inner_type_check_cost,,128,128,bytes,52025237.0,ns,546
cost_inner_type_check_cost,,128,128,bytes,54024640.0,ns,567
cost_inner_type_check_cost,,128,128,bytes,56065119.0,ns,588
cost_inner_type_check_cost,,128,128,bytes,58019265.0,ns,609
cost_inner_type_check_cost,,128,128,bytes,60008508.0,ns,630
cost_inner_type_check_cost,,128,128,bytes,62040134.0,ns,651
cost_inner_type_check_cost,,128,128,bytes,64004645.0,ns,672
cost_inner_type_check_cost,,128,128,bytes,66039961.0,ns,693
cost_inner_type_check_cost,,128,128,bytes,68394283.0,ns,714
cost_inner_type_check_cost,,128,128,bytes,70425929.0,ns,735
cost_inner_type_check_cost,,128,128,bytes,72061944.0,ns,756
cost_inner_type_check_cost,,128,128,bytes,74084613.0,ns,777
cost_inner_type_check_cost,,128,128,bytes,76111309.0,ns,798
cost_inner_type_check_cost,,128,128,bytes,78089950.0,ns,819
cost_inner_type_check_cost,,128,128,bytes,80394894.0,ns,840
cost_inner_type_check_cost,,128,128,bytes,82053375.0,ns,861
cost_inner_type_check_cost,,128,128,bytes,84006506.0,ns,882
cost_inner_type_check_cost,,128,128,bytes,86022602.0,ns,903
cost_inner_type_check_cost,,128,128,bytes,88091195.0,ns,924
cost_inner_type_check_cost,,128,128,bytes,90018859.0,ns,945
cost_inner_type_check_cost,,128,128,bytes,92274934.0,ns,966
cost_inner_type_check_cost,,128,128,bytes,94221329.0,ns,987
cost_inner_type_check_cost,,128,128,bytes,96262281.0,ns,1008
cost_inner_type_check_cost,,128,128,bytes,98278300.0,ns,1029
cost_inner_type_check_cost,,128,128,bytes,100066449.0,ns,1050
cost_inner_type_check_cost,,128,128,bytes,102017296.0,ns,1071
cost_inner_type_check_cost,,128,128,bytes,104250056.0,ns,1092
cost_inner_type_check_cost,,128,128,bytes,106187720.0,ns,1113
cost_inner_type_check_cost,,128,128,bytes,108235644.0,ns,1134
cost_inner_type_check_cost,,128,128,bytes,110102161.0,ns,1155
cost_inner_type_check_cost,,128,128,bytes,112321825.0,ns,1176
cost_inner_type_check_cost,,128,128,bytes,114485242.0,ns,1197
cost_inner_type_check_cost,,128,128,bytes,116056368.0,ns,1218
cost_inner_type_check_cost,,128,128,bytes,118185269.0,ns,1239
