group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_inner_type_check_cost,,8,8,bytes,2119403.0,ns,215
cost_inner_type_check_cost,,8,8,bytes,3971170.0,ns,430
cost_inner_type_check_cost,,8,8,bytes,5956449.0,ns,645
cost_inner_type_check_cost,,8,8,bytes,7936048.0,ns,860
cost_inner_type_check_cost,,8,8,bytes,9914563.0,ns,1075
cost_inner_type_check_cost,,8,8,bytes,11904479.0,ns,1290
cost_inner_type_check_cost,,8,8,bytes,13905517.0,ns,1505
cost_inner_type_check_cost,,8,8,bytes,15873540.0,ns,1720
cost_inner_type_check_cost,,8,8,bytes,17861527.0,ns,1935
cost_inner_type_check_cost,,8,8,bytes,19833042.0,ns,2150
cost_inner_type_check_cost,,8,8,bytes,22367254.0,ns,2365
cost_inner_type_check_cost,,8,8,bytes,23825339.0,ns,2580
cost_inner_type_check_cost,,8,8,bytes,25778988.0,ns,2795
cost_inner_type_check_cost,,8,8,bytes,27798417.0,ns,3010
cost_inner_type_check_cost,,8,8,bytes,29764117.0,ns,3225
cost_inner_type_check_cost,,8,8,bytes,31781186.0,ns,3440
cost_inner_type_check_cost,,8,8,bytes,33940610.0,ns,3655
cost_inner_type_check_cost,,8,8,bytes,35764758.0,ns,3870
cost_inner_type_check_cost,,8,8,bytes,37675574.0,ns,4085
cost_inner_type_check_cost,,8,8,bytes,39693818.0,ns,4300
cost_inner_type_check_cost,,8,8,bytes,41634685.0,ns,4515
cost_inner_type_check_cost,,8,8,bytes,43670596.0,ns,4730
cost_inner_type_check_cost,,8,8,bytes,45656602.0,ns,4945
cost_inner_type_check_cost,,8,8,bytes,47619758.0,ns,5160
cost_inner_type_check_cost,,8,8,bytes,49593439.0,ns,5375
cost_inner_type_check_cost,,8,8,bytes,51760092.0,ns,5590
cost_inner_type_check_cost,,8,8,bytes,53525303.0,ns,5805
cost_inner_type_check_cost,,8,8,bytes,55673361.0,ns,6020
cost_inner_type_check_cost,,8,8,bytes,57793285.0,ns,6235
cost_inner_type_check_cost,,8,8,bytes,59761959.0,ns,6450
cost_inner_type_check_cost,,8,8,bytes,61754080.0,ns,6665
cost_inner_type_check_cost,,8,8,bytes,63697283.0,ns,6880
cost_inner_type_check_cost,,8,8,bytes,65533845.0,ns,7095
cost_inner_type_check_cost,,8,8,bytes,67594768.0,ns,7310
cost_inner_type_check_cost,,8,8,bytes,69576952.0,ns,7525
cost_inner_type_check_cost,,8,8,bytes,71493977.0,ns,7740
cost_inner_type_check_cost,,8,8,bytes,73417024.0,ns,7955
cost_inner_type_check_cost,,8,8,bytes,75433899.0,ns,8170
cost_inner_type_check_cost,,8,8,bytes,77581451.0,ns,8385
cost_inner_type_check_cost,,8,8,bytes,79366546.0,ns,8600
cost_inner_type_check_cost,,8,8,bytes,81662908.0,ns,8815
cost_inner_type_check_cost,,8,8,bytes,83417966.0,ns,9030
cost_inner_type_check_cost,,8,8,bytes,85365956.0,ns,9245
cost_inner_type_check_cost,,8,8,bytes,87434019.0,ns,9460
cost_inner_type_check_cost,,8,8,bytes,89479426.0,ns,9675
cost_inner_type_check_cost,,8,8,bytes,91376218.0,ns,9890
cost_inner_type_check_cost,,8,8,bytes,93252529.0,ns,10105
cost_inner_type_check_cost,,8,8,bytes,95320194.0,ns,10320
cost_inner_type_check_cost,,8,8,bytes,97428083.0,ns,10535
cost_inner_type_check_cost,,8,8,bytes,99598407.0,ns,10750
cost_inner_type_check_cost,,8,8,bytes,101255165.0,ns,10965
cost_inner_type_check_cost,,8,8,bytes,104016318.0,ns,11180
cost_inner_type_check_cost,,8,8,bytes,105483282.0,ns,11395
cost_inner_type_check_cost,,8,8,bytes,107229568.0,ns,11610
cost_inner_type_check_cost,,8,8,bytes,109207430.0,ns,11825
cost_inner_type_check_cost,,8,8,bytes,111231067.0,ns,12040
cost_inner_type_check_cost,,8,8,bytes,113210114.0,ns,12255
cost_inner_type_check_cost,,8,8,bytes,115327138.0,ns,12470
cost_inner_type_check_cost,,8,8,bytes,117156356.0,ns,12685
cost_inner_type_check_cost,,8,8,bytes,119096817.0,ns,12900
cost_inner_type_check_cost,,8,8,bytes,121505819.0,ns,13115
cost_inner_type_check_cost,,8,8,bytes,123371256.0,ns,13330
cost_inner_type_check_cost,,8,8,bytes,125220251.0,ns,13545
cost_inner_type_check_cost,,8,8,bytes,127304686.0,ns,13760
cost_inner_type_check_cost,,8,8,bytes,129019175.0,ns,13975
cost_inner_type_check_cost,,8,8,bytes,131267829.0,ns,14190
cost_inner_type_check_cost,,8,8,bytes,132869284.0,ns,14405
cost_inner_type_check_cost,,8,8,bytes,134887606.0,ns,14620
cost_inner_type_check_cost,,8,8,bytes,137207776.0,ns,14835
cost_inner_type_check_cost,,8,8,bytes,139079271.0,ns,15050
cost_inner_type_check_cost,,8,8,bytes,141252514.0,ns,15265
cost_inner_type_check_cost,,8,8,bytes,143129090.0,ns,15480
cost_inner_type_check_cost,,8,8,bytes,145253762.0,ns,15695
cost_inner_type_check_cost,,8,8,bytes,146971509.0,ns,15910
cost_inner_type_check_cost,,8,8,bytes,149343668.0,ns,16125
cost_inner_type_check_cost,,8,8,bytes,150854746.0,ns,16340
cost_inner_type_check_cost,,8,8,bytes,152821613.0,ns,16555
cost_inner_type_check_cost,,8,8,bytes,155048556.0,ns,16770
cost_inner_type_check_cost,,8,8,bytes,156680201.0,ns,16985
cost_inner_type_check_cost,,8,8,bytes,158939321.0,ns,17200
cost_inner_type_check_cost,,8,8,bytes,160653030.0,ns,17415
cost_inner_type_check_cost,,8,8,bytes,163295034.0,ns,17630
cost_inner_type_check_cost,,8,8,bytes,164894718.0,ns,17845
cost_inner_type_check_cost,,8,8,bytes,166533410.0,ns,18060
cost_inner_type_check_cost,,8,8,bytes,168625044.0,ns,18275
cost_inner_type_check_cost,,8,8,bytes,170547187.0,ns,18490
cost_inner_type_check_cost,,8,8,bytes,172586033.0,ns,18705
cost_inner_type_check_cost,,8,8,bytes,174575260.0,ns,18920
cost_inner_type_check_cost,,8,8,bytes,176705379.0,ns,19135
cost_inner_type_check_cost,,8,8,bytes,178765630.0,ns,19350
cost_inner_type_check_cost,,8,8,bytes,180629110.0,ns,19565
cost_inner_type_check_cost,,8,8,bytes,182655205.0,ns,19780
cost_inner_type_check_cost,,8,8,bytes,184648107.0,ns,19995
cost_inner_type_check_cost,,8,8,bytes,186702714.0,ns,20210
cost_inner_type_check_cost,,8,8,bytes,188657095.0,ns,20425
cost_inner_type_check_cost,,8,8,bytes,190688036.0,ns,20640
cost_inner_type_check_cost,,8,8,bytes,192979343.0,ns,20855
cost_inner_type_check_cost,,8,8,bytes,194563189.0,ns,21070
cost_inner_type_check_cost,,8,8,bytes,196790711.0,ns,21285
cost_inner_type_check_cost,,8,8,bytes,198722918.0,ns,21500
