group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_int_cast,,1,1,bytes,2174598.0,ns,50
cost_int_cast,,1,1,bytes,4044091.0,ns,100
cost_int_cast,,1,1,bytes,6046253.0,ns,150
cost_int_cast,,1,1,bytes,8059190.0,ns,200
cost_int_cast,,1,1,bytes,10092651.0,ns,250
cost_int_cast,,1,1,bytes,12088803.0,ns,300
cost_int_cast,,1,1,bytes,14212683.0,ns,350
cost_int_cast,,1,1,bytes,16145584.0,ns,400
cost_int_cast,,1,1,bytes,18144698.0,ns,450
cost_int_cast,,1,1,bytes,20169291.0,ns,500
cost_int_cast,,1,1,bytes,22172369.0,ns,550
cost_int_cast,,1,1,bytes,24182636.0,ns,600
cost_int_cast,,1,1,bytes,26245073.0,ns,650
cost_int_cast,,1,1,bytes,28242570.0,ns,700
cost_int_cast,,1,1,bytes,30249644.0,ns,750
cost_int_cast,,1,1,bytes,32338455.0,ns,800
cost_int_cast,,1,1,bytes,34283619.0,ns,850
cost_int_cast,,1,1,bytes,36410684.0,ns,900
cost_int_cast,,1,1,bytes,38318452.0,ns,950
cost_int_cast,,1,1,bytes,40314692.0,ns,1000
cost_int_cast,,1,1,bytes,42451144.0,ns,1050
cost_int_cast,,1,1,bytes,44368491.0,ns,1100
cost_int_cast,,1,1,bytes,46334467.0,ns,1150
cost_int_cast,,1,1,bytes,48366273.0,ns,1200
cost_int_cast,,1,1,bytes,50779409.0,ns,1250
cost_int_cast,,1,1,bytes,52656984.0,ns,1300
cost_int_cast,,1,1,bytes,54357856.0,ns,1350
cost_int_cast,,1,1,bytes,56414541.0,ns,1400
cost_int_cast,,1,1,bytes,58506896.0,ns,1450
cost_int_cast,,1,1,bytes,60473291.0,ns,1500
cost_int_cast,,1,1,bytes,62403426.0,ns,1550
cost_int_cast,,1,1,bytes,64436211.0,ns,1600
cost_int_cast,,1,1,bytes,66439645.0,ns,1650
cost_int_cast,,1,1,bytes,68413601.0,ns,1700
cost_int_cast,,1,1,bytes,71533310.0,ns,1750
cost_int_cast,,1,1,bytes,72551432.0,ns,1800
cost_int_cast,,1,1,bytes,74556645.0,ns,1850
cost_int_cast,,1,1,bytes,76738135.0,ns,1900
cost_int_cast,,1,1,bytes,78585988.0,ns,1950
cost_int_cast,,1,1,bytes,80637127.0,ns,2000
cost_int_cast,,1,1,bytes,83160801.0,ns,2050
cost_int_cast,,1,1,bytes,84733051.0,ns,2100
cost_int_cast,,1,1,bytes,86929490.0,ns,2150
cost_int_cast,,1,1,bytes,88684252.0,ns,2200
cost_int_cast,,1,1,bytes,90779264.0,ns,2250
cost_int_cast,,1,1,bytes,92761002.0,ns,2300
cost_int_cast,,1,1,bytes,94753313.0,ns,2350
cost_int_cast,,1,1,bytes,96724034.0,ns,2400
cost_int_cast,,1,1,bytes,98963393.0,ns,2450
cost_int_cast,,1,1,bytes,101140157.0,ns,2500
cost_int_cast,,1,1,bytes,102609090.0,ns,2550
cost_int_cast,,1,1,bytes,104747304.0,ns,2600
cost_int_cast,,1,1,bytes,106984063.0,ns,2650
cost_int_cast,,1,1,bytes,109111329.0,ns,2700
cost_int_cast,,1,1,bytes,110927459.0,ns,2750
cost_int_cast,,1,1,bytes,112859692.0,ns,2800
cost_int_cast,,1,1,bytes,115126408.0,ns,2850
cost_int_cast,,1,1,bytes,116944834.0,ns,2900
cost_int_cast,,1,1,bytes,119631224.0,ns,2950
