group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_int_cast,,1,1,bytes,2195455.0,ns,49
cost_int_cast,,1,1,bytes,3957524.0,ns,98
cost_int_cast,,1,1,bytes,5916486.0,ns,147
cost_int_cast,,1,1,bytes,7890635.0,ns,196
cost_int_cast,,1,1,bytes,9848876.0,ns,245
cost_int_cast,,1,1,bytes,11834932.0,ns,294
cost_int_cast,,1,1,bytes,13792969.0,ns,343
cost_int_cast,,1,1,bytes,15757247.0,ns,392
cost_int_cast,,1,1,bytes,17732438.0,ns,441
cost_int_cast,,1,1,bytes,19711919.0,ns,490
cost_int_cast,,1,1,bytes,21667497.0,ns,539
cost_int_cast,,1,1,bytes,23642968.0,ns,588
cost_int_cast,,1,1,bytes,25642038.0,ns,637
cost_int_cast,,1,1,bytes,27578380.0,ns,686
cost_int_cast,,1,1,bytes,29581034.0,ns,735
cost_int_cast,,1,1,bytes,31550201.0,ns,784
cost_int_cast,,1,1,bytes,33518041.0,ns,833
cost_int_cast,,1,1,bytes,35475540.0,ns,882
cost_int_cast,,1,1,bytes,37496832.0,ns,931
cost_int_cast,,1,1,bytes,39585082.0,ns,980
cost_int_cast,,1,1,bytes,41766268.0,ns,1029
cost_int_cast,,1,1,bytes,43526209.0,ns,1078
cost_int_cast,,1,1,bytes,45408021.0,ns,1127
cost_int_cast,,1,1,bytes,47367711.0,ns,1176
cost_int_cast,,1,1,bytes,49503250.0,ns,1225
cost_int_cast,,1,1,bytes,51340032.0,ns,1274
cost_int_cast,,1,1,bytes,53261922.0,ns,1323
cost_int_cast,,1,1,bytes,55234215.0,ns,1372
cost_int_cast,,1,1,bytes,57231909.0,ns,1421
cost_int_cast,,1,1,bytes,59277024.0,ns,1470
cost_int_cast,,1,1,bytes,61085355.0,ns,1519
cost_int_cast,,1,1,bytes,63069430.0,ns,1568
cost_int_cast,,1,1,bytes,65058282.0,ns,1617
cost_int_cast,,1,1,bytes,66993263.0,ns,1666
cost_int_cast,,1,1,bytes,68986531.0,ns,1715
cost_int_cast,,1,1,bytes,70948974.0,ns,1764
cost_int_cast,,1,1,bytes,72936831.0,ns,1813
cost_int_cast,,1,1,bytes,74888377.0,ns,1862
cost_int_cast,,1,1,bytes,76845134.0,ns,1911
cost_int_cast,,1,1,bytes,78936417.0,ns,1960
cost_int_cast,,1,1,bytes,80854615.0,ns,2009
cost_int_cast,,1,1,bytes,82764178.0,ns,2058
cost_int_cast,,1,1,bytes,84751382.0,ns,2107
cost_int_cast,,1,1,bytes,86907296.0,ns,2156
cost_int_cast,,1,1,bytes,88794025.0,ns,2205
