group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_int_to_ascii,,1,1,bytes,2181124.0,ns,47
cost_int_to_ascii,,1,1,bytes,4035290.0,ns,94
cost_int_to_ascii,,1,1,bytes,6033575.0,ns,141
cost_int_to_ascii,,1,1,bytes,8037683.0,ns,188
cost_int_to_ascii,,1,1,bytes,10049251.0,ns,235
cost_int_to_ascii,,1,1,bytes,12072924.0,ns,282
cost_int_to_ascii,,1,1,bytes,14062329.0,ns,329
cost_int_to_ascii,,1,1,bytes,16088101.0,ns,376
cost_int_to_ascii,,1,1,bytes,18085582.0,ns,423
cost_int_to_ascii,,1,1,bytes,20092945.0,ns,470
cost_int_to_ascii,,1,1,bytes,22089541.0,ns,517
cost_int_to_ascii,,1,1,bytes,24296113.0,ns,564
cost_int_to_ascii,,1,1,bytes,26132284.0,ns,611
cost_int_to_ascii,,1,1,bytes,28125034.0,ns,658
cost_int_to_ascii,,1,1,bytes,30150878.0,ns,705
cost_int_to_ascii,,1,1,bytes,32142106.0,ns,752
cost_int_to_ascii,,1,1,bytes,34163827.0,ns,799
cost_int_to_ascii,,1,1,bytes,36169532.0,ns,846
cost_int_to_ascii,,1,1,bytes,38179087.0,ns,893
cost_int_to_ascii,,1,1,bytes,40175003.0,ns,940
cost_int_to_ascii,,1,1,bytes,42206107.0,ns,987
cost_int_to_ascii,,1,1,bytes,44182647.0,ns,1034
cost_int_to_ascii,,1,1,bytes,46205666.0,ns,1081
cost_int_to_ascii,,1,1,bytes,48244505.0,ns,1128
cost_int_to_ascii,,1,1,bytes,50253946.0,ns,1175
cost_int_to_ascii,,1,1,bytes,52269083.0,ns,1222
cost_int_to_ascii,,1,1,bytes,54250196.0,ns,1269
cost_int_to_ascii,,1,1,bytes,56280871.0,ns,1316
cost_int_to_ascii,,1,1,bytes,58275494.0,ns,1363
cost_int_to_ascii,,1,1,bytes,60284077.0,ns,1410
cost_int_to_ascii,,1,1,bytes,62292274.0,ns,1457
cost_int_to_ascii,,1,1,bytes,64469910.0,ns,1504
cost_int_to_ascii,,1,1,bytes,66287946.0,ns,1551
cost_int_to_ascii,,1,1,bytes,68322876.0,ns,1598
cost_int_to_ascii,,1,1,bytes,70672726.0,ns,1645
cost_int_to_ascii,,1,1,bytes,72359969.0,ns,1692
cost_int_to_ascii,,1,1,bytes,74367285.0,ns,1739
cost_int_to_ascii,,1,1,bytes,76387696.0,ns,1786
cost_int_to_ascii,,1,1,bytes,78382303.0,ns,1833
cost_int_to_ascii,,1,1,bytes,81399733.0,ns,1880
cost_int_to_ascii,,1,1,bytes,82374461.0,ns,1927
cost_int_to_ascii,,1,1,bytes,84388969.0,ns,1974
cost_int_to_ascii,,1,1,bytes,86431915.0,ns,2021
cost_int_to_ascii,,1,1,bytes,88408031.0,ns,2068
cost_int_to_ascii,,1,1,bytes,90401130.0,ns,2115
cost_int_to_ascii,,1,1,bytes,92592171.0,ns,2162
cost_int_to_ascii,,1,1,bytes,94696137.0,ns,2209
cost_int_to_ascii,,1,1,bytes,96480181.0,ns,2256
cost_int_to_ascii,,1,1,bytes,98425079.0,ns,2303
cost_int_to_ascii,,1,1,bytes,100444221.0,ns,2350
cost_int_to_ascii,,1,1,bytes,102912540.0,ns,2397
cost_int_to_ascii,,1,1,bytes,104475461.0,ns,2444
cost_int_to_ascii,,1,1,bytes,106510136.0,ns,2491
cost_int_to_ascii,,1,1,bytes,108465011.0,ns,2538
cost_int_to_ascii,,1,1,bytes,110477569.0,ns,2585
cost_int_to_ascii,,1,1,bytes,112529458.0,ns,2632
cost_int_to_ascii,,1,1,bytes,114526023.0,ns,2679
cost_int_to_ascii,,1,1,bytes,116542200.0,ns,2726
cost_int_to_ascii,,1,1,bytes,118507734.0,ns,2773
cost_int_to_ascii,,1,1,bytes,120712306.0,ns,2820
cost_int_to_ascii,,1,1,bytes,122588755.0,ns,2867
cost_int_to_ascii,,1,1,bytes,124530138.0,ns,2914
cost_int_to_ascii,,1,1,bytes,126842263.0,ns,2961
cost_int_to_ascii,,1,1,bytes,128971769.0,ns,3008
cost_int_to_ascii,,1,1,bytes,130552357.0,ns,3055
cost_int_to_ascii,,1,1,bytes,132603587.0,ns,3102
cost_int_to_ascii,,1,1,bytes,134596935.0,ns,3149
cost_int_to_ascii,,1,1,bytes,136630829.0,ns,3196
cost_int_to_ascii,,1,1,bytes,138716732.0,ns,3243
cost_int_to_ascii,,1,1,bytes,140685105.0,ns,3290
cost_int_to_ascii,,1,1,bytes,142617323.0,ns,3337
cost_int_to_ascii,,1,1,bytes,144680955.0,ns,3384
cost_int_to_ascii,,1,1,bytes,146709615.0,ns,3431
cost_int_to_ascii,,1,1,bytes,148626331.0,ns,3478
cost_int_to_ascii,,1,1,bytes,150788343.0,ns,3525
cost_int_to_ascii,,1,1,bytes,152650153.0,ns,3572
cost_int_to_ascii,,1,1,bytes,154720984.0,ns,3619
cost_int_to_ascii,,1,1,bytes,156829243.0,ns,3666
cost_int_to_ascii,,1,1,bytes,158752956.0,ns,3713
cost_int_to_ascii,,1,1,bytes,160715262.0,ns,3760
cost_int_to_ascii,,1,1,bytes,162739847.0,ns,3807
cost_int_to_ascii,,1,1,bytes,164762572.0,ns,3854
cost_int_to_ascii,,1,1,bytes,166739660.0,ns,3901
cost_int_to_ascii,,1,1,bytes,169091742.0,ns,3948
cost_int_to_ascii,,1,1,bytes,171776807.0,ns,3995
cost_int_to_ascii,,1,1,bytes,172845073.0,ns,4042
