group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_int_to_ascii,,1,1,bytes,2158063.0,ns,47
cost_int_to_ascii,,1,1,bytes,4045510.0,ns,94
cost_int_to_ascii,,1,1,bytes,6060629.0,ns,141
cost_int_to_ascii,,1,1,bytes,8122519.0,ns,188
cost_int_to_ascii,,1,1,bytes,10113616.0,ns,235
cost_int_to_ascii,,1,1,bytes,12134579.0,ns,282
cost_int_to_ascii,,1,1,bytes,14152069.0,ns,329
cost_int_to_ascii,,1,1,bytes,16170110.0,ns,376
cost_int_to_ascii,,1,1,bytes,18199410.0,ns,423
cost_int_to_ascii,,1,1,bytes,20214206.0,ns,470
cost_int_to_ascii,,1,1,bytes,22245138.0,ns,517
cost_int_to_ascii,,1,1,bytes,24246047.0,ns,564
cost_int_to_ascii,,1,1,bytes,26251914.0,ns,611
cost_int_to_ascii,,1,1,bytes,28271204.0,ns,658
cost_int_to_ascii,,1,1,bytes,30347853.0,ns,705
cost_int_to_ascii,,1,1,bytes,32566718.0,ns,752
cost_int_to_ascii,,1,1,bytes,34581794.0,ns,799
cost_int_to_ascii,,1,1,bytes,36401637.0,ns,846
cost_int_to_ascii,,1,1,bytes,38424264.0,ns,893
cost_int_to_ascii,,1,1,bytes,40414106.0,ns,940
cost_int_to_ascii,,1,1,bytes,42502080.0,ns,987
cost_int_to_ascii,,1,1,bytes,44615571.0,ns,1034
cost_int_to_ascii,,1,1,bytes,46521752.0,ns,1081
cost_int_to_ascii,,1,1,bytes,48654690.0,ns,1128
cost_int_to_ascii,,1,1,bytes,50591915.0,ns,1175
cost_int_to_ascii,,1,1,bytes,52561709.0,ns,1222
cost_int_to_ascii,,1,1,bytes,54636144.0,ns,1269
cost_int_to_ascii,,1,1,bytes,56635059.0,ns,1316
cost_int_to_ascii,,1,1,bytes,58703602.0,ns,1363
cost_int_to_ascii,,1,1,bytes,60669788.0,ns,1410
cost_int_to_ascii,,1,1,bytes,62706206.0,ns,1457
cost_int_to_ascii,,1,1,bytes,64938393.0,ns,1504
cost_int_to_ascii,,1,1,bytes,66812835.0,ns,1551
cost_int_to_ascii,,1,1,bytes,69083470.0,ns,1598
cost_int_to_ascii,,1,1,bytes,71043688.0,ns,1645
cost_int_to_ascii,,1,1,bytes,73143535.0,ns,1692
cost_int_to_ascii,,1,1,bytes,75073944.0,ns,1739
cost_int_to_ascii,,1,1,bytes,76799983.0,ns,1786
cost_int_to_ascii,,1,1,bytes,78846164.0,ns,1833
cost_int_to_ascii,,1,1,bytes,80845678.0,ns,1880
cost_int_to_ascii,,1,1,bytes,82854861.0,ns,1927
cost_int_to_ascii,,1,1,bytes,84863480.0,ns,1974
cost_int_to_ascii,,1,1,bytes,86919245.0,ns,2021
cost_int_to_ascii,,1,1,bytes,88935648.0,ns,2068
cost_int_to_ascii,,1,1,bytes,90999058.0,ns,2115
cost_int_to_ascii,,1,1,bytes,93190740.0,ns,2162
cost_int_to_ascii,,1,1,bytes,95310347.0,ns,2209
cost_int_to_ascii,,1,1,bytes,97716547.0,ns,2256
cost_int_to_ascii,,1,1,bytes,99277806.0,ns,2303
cost_int_to_ascii,,1,1,bytes,101089692.0,ns,2350
cost_int_to_ascii,,1,1,bytes,103051405.0,ns,2397
cost_int_to_ascii,,1,1,bytes,105117449.0,ns,2444
cost_int_to_ascii,,1,1,bytes,107149555.0,ns,2491
cost_int_to_ascii,,1,1,bytes,109110161.0,ns,2538
cost_int_to_ascii,,1,1,bytes,111163174.0,ns,2585
cost_int_to_ascii,,1,1,bytes,114681317.0,ns,2632
cost_int_to_ascii,,1,1,bytes,115655109.0,ns,2679
cost_int_to_ascii,,1,1,bytes,118013416.0,ns,2726
cost_int_to_ascii,,1,1,bytes,119301741.0,ns,2773
cost_int_to_ascii,,1,1,bytes,121293861.0,ns,2820
cost_int_to_ascii,,1,1,bytes,123318317.0,ns,2867
cost_int_to_ascii,,1,1,bytes,125335148.0,ns,2914
cost_int_to_ascii,,1,1,bytes,127427516.0,ns,2961
cost_int_to_ascii,,1,1,bytes,129366766.0,ns,3008
cost_int_to_ascii,,1,1,bytes,131450063.0,ns,3055
cost_int_to_ascii,,1,1,bytes,133507817.0,ns,3102
cost_int_to_ascii,,1,1,bytes,135503262.0,ns,3149
cost_int_to_ascii,,1,1,bytes,137510263.0,ns,3196
cost_int_to_ascii,,1,1,bytes,139462127.0,ns,3243
cost_int_to_ascii,,1,1,bytes,141556419.0,ns,3290
cost_int_to_ascii,,1,1,bytes,143768378.0,ns,3337
cost_int_to_ascii,,1,1,bytes,145920206.0,ns,3384
cost_int_to_ascii,,1,1,bytes,147565703.0,ns,3431
cost_int_to_ascii,,1,1,bytes,149646429.0,ns,3478
cost_int_to_ascii,,1,1,bytes,151581097.0,ns,3525
cost_int_to_ascii,,1,1,bytes,153589516.0,ns,3572
cost_int_to_ascii,,1,1,bytes,155626676.0,ns,3619
cost_int_to_ascii,,1,1,bytes,158102590.0,ns,3666
cost_int_to_ascii,,1,1,bytes,160350088.0,ns,3713
cost_int_to_ascii,,1,1,bytes,161783318.0,ns,3760
cost_int_to_ascii,,1,1,bytes,163828076.0,ns,3807
cost_int_to_ascii,,1,1,bytes,165760496.0,ns,3854
cost_int_to_ascii,,1,1,bytes,167803844.0,ns,3901
cost_int_to_ascii,,1,1,bytes,170041722.0,ns,3948
cost_int_to_ascii,,1,1,bytes,172351989.0,ns,3995
cost_int_to_ascii,,1,1,bytes,174479411.0,ns,4042
cost_int_to_ascii,,1,1,bytes,176010267.0,ns,4089
cost_int_to_ascii,,1,1,bytes,179663847.0,ns,4136
cost_int_to_ascii,,1,1,bytes,182137738.0,ns,4183
cost_int_to_ascii,,1,1,bytes,182687520.0,ns,4230
cost_int_to_ascii,,1,1,bytes,184717664.0,ns,4277
cost_int_to_ascii,,1,1,bytes,186195634.0,ns,4324
cost_int_to_ascii,,1,1,bytes,188070725.0,ns,4371
cost_int_to_ascii,,1,1,bytes,190867302.0,ns,4418
cost_int_to_ascii,,1,1,bytes,194056237.0,ns,4465
cost_int_to_ascii,,1,1,bytes,194553694.0,ns,4512
cost_int_to_ascii,,1,1,bytes,196327202.0,ns,4559
cost_int_to_ascii,,1,1,bytes,198260794.0,ns,4606
cost_int_to_ascii,,1,1,bytes,200211163.0,ns,4653
cost_int_to_ascii,,1,1,bytes,202174143.0,ns,4700
