group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_int_to_utf8,,1,1,bytes,2006876.0,ns,26
cost_int_to_utf8,,1,1,bytes,4034940.0,ns,52
cost_int_to_utf8,,1,1,bytes,6147162.0,ns,78
cost_int_to_utf8,,1,1,bytes,8003743.0,ns,104
cost_int_to_utf8,,1,1,bytes,10026334.0,ns,130
cost_int_to_utf8,,1,1,bytes,12264586.0,ns,156
cost_int_to_utf8,,1,1,bytes,14015766.0,ns,182
cost_int_to_utf8,,1,1,bytes,16641612.0,ns,208
cost_int_to_utf8,,1,1,bytes,18066440.0,ns,234
cost_int_to_utf8,,1,1,bytes,20084749.0,ns,260
cost_int_to_utf8,,1,1,bytes,22417325.0,ns,286
cost_int_to_utf8,,1,1,bytes,24292098.0,ns,312
cost_int_to_utf8,,1,1,bytes,26513382.0,ns,338
cost_int_to_utf8,,1,1,bytes,28541142.0,ns,364
cost_int_to_utf8,,1,1,bytes,30627575.0,ns,390
cost_int_to_utf8,,1,1,bytes,32688871.0,ns,416
cost_int_to_utf8,,1,1,bytes,34785157.0,ns,442
cost_int_to_utf8,,1,1,bytes,36643076.0,ns,468
cost_int_to_utf8,,1,1,bytes,38631327.0,ns,494
cost_int_to_utf8,,1,1,bytes,40898182.0,ns,520
cost_int_to_utf8,,1,1,bytes,42099792.0,ns,546
cost_int_to_utf8,,1,1,bytes,44609184.0,ns,572
cost_int_to_utf8,,1,1,bytes,47027357.0,ns,598
cost_int_to_utf8,,1,1,bytes,49052905.0,ns,624
cost_int_to_utf8,,1,1,bytes,51253533.0,ns,650
cost_int_to_utf8,,1,1,bytes,52855747.0,ns,676
cost_int_to_utf8,,1,1,bytes,54740602.0,ns,702
cost_int_to_utf8,,1,1,bytes,56668511.0,ns,728
cost_int_to_utf8,,1,1,bytes,59081291.0,ns,754
cost_int_to_utf8,,1,1,bytes,60899115.0,ns,780
cost_int_to_utf8,,1,1,bytes,62973107.0,ns,806
cost_int_to_utf8,,1,1,bytes,65037720.0,ns,832
cost_int_to_utf8,,1,1,bytes,67204590.0,ns,858
cost_int_to_utf8,,1,1,bytes,69125216.0,ns,884
cost_int_to_utf8,,1,1,bytes,71037045.0,ns,910
cost_int_to_utf8,,1,1,bytes,73773386.0,ns,936
cost_int_to_utf8,,1,1,bytes,75786366.0,ns,962
cost_int_to_utf8,,1,1,bytes,77430700.0,ns,988
cost_int_to_utf8,,1,1,bytes,79322639.0,ns,1014
cost_int_to_utf8,,1,1,bytes,81405186.0,ns,1040
cost_int_to_utf8,,1,1,bytes,83189230.0,ns,1066
cost_int_to_utf8,,1,1,bytes,85653865.0,ns,1092
cost_int_to_utf8,,1,1,bytes,87631285.0,ns,1118
cost_int_to_utf8,,1,1,bytes,89866785.0,ns,1144
cost_int_to_utf8,,1,1,bytes,91878332.0,ns,1170
cost_int_to_utf8,,1,1,bytes,94120845.0,ns,1196
cost_int_to_utf8,,1,1,bytes,95629526.0,ns,1222
cost_int_to_utf8,,1,1,bytes,98098178.0,ns,1248
cost_int_to_utf8,,1,1,bytes,100124048.0,ns,1274
cost_int_to_utf8,,1,1,bytes,101672705.0,ns,1300
cost_int_to_utf8,,1,1,bytes,103396337.0,ns,1326
cost_int_to_utf8,,1,1,bytes,105817870.0,ns,1352
