group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_int_to_utf8,,1,1,bytes,2119464.0,ns,39
cost_int_to_utf8,,1,1,bytes,3983651.0,ns,78
cost_int_to_utf8,,1,1,bytes,5973705.0,ns,117
cost_int_to_utf8,,1,1,bytes,7978298.0,ns,156
cost_int_to_utf8,,1,1,bytes,9943340.0,ns,195
cost_int_to_utf8,,1,1,bytes,11954265.0,ns,234
cost_int_to_utf8,,1,1,bytes,13918421.0,ns,273
cost_int_to_utf8,,1,1,bytes,15923459.0,ns,312
cost_int_to_utf8,,1,1,bytes,17895632.0,ns,351
cost_int_to_utf8,,1,1,bytes,19898163.0,ns,390
cost_int_to_utf8,,1,1,bytes,21885948.0,ns,429
cost_int_to_utf8,,1,1,bytes,23872130.0,ns,468
cost_int_to_utf8,,1,1,bytes,25868874.0,ns,507
cost_int_to_utf8,,1,1,bytes,27852516.0,ns,546
cost_int_to_utf8,,1,1,bytes,29835037.0,ns,585
cost_int_to_utf8,,1,1,bytes,31811375.0,ns,624
cost_int_to_utf8,,1,1,bytes,33818699.0,ns,663
cost_int_to_utf8,,1,1,bytes,35835477.0,ns,702
cost_int_to_utf8,,1,1,bytes,37790515.0,ns,741
cost_int_to_utf8,,1,1,bytes,39755012.0,ns,780
cost_int_to_utf8,,1,1,bytes,41774494.0,ns,819
cost_int_to_utf8,,1,1,bytes,43862242.0,ns,858
cost_int_to_utf8,,1,1,bytes,46232621.0,ns,897
cost_int_to_utf8,,1,1,bytes,47853945.0,ns,936
cost_int_to_utf8,,1,1,bytes,50137893.0,ns,975
cost_int_to_utf8,,1,1,bytes,51914571.0,ns,1014
cost_int_to_utf8,,1,1,bytes,53722256.0,ns,1053
cost_int_to_utf8,,1,1,bytes,55825376.0,ns,1092
cost_int_to_utf8,,1,1,bytes,57822434.0,ns,1131
cost_int_to_utf8,,1,1,bytes,59778354.0,ns,1170
cost_int_to_utf8,,1,1,bytes,61220991.0,ns,1209
cost_int_to_utf8,,1,1,bytes,63514276.0,ns,1248
cost_int_to_utf8,,1,1,bytes,65157306.0,ns,1287
cost_int_to_utf8,,1,1,bytes,67103349.0,ns,1326
cost_int_to_utf8,,1,1,bytes,69406155.0,ns,1365
cost_int_to_utf8,,1,1,bytes,72742389.0,ns,1404
cost_int_to_utf8,,1,1,bytes,73697771.0,ns,1443
cost_int_to_utf8,,1,1,bytes,75602970.0,ns,1482
cost_int_to_utf8,,1,1,bytes,77573756.0,ns,1521
cost_int_to_utf8,,1,1,bytes,79587091.0,ns,1560
cost_int_to_utf8,,1,1,bytes,81584057.0,ns,1599
cost_int_to_utf8,,1,1,bytes,83625731.0,ns,1638
cost_int_to_utf8,,1,1,bytes,85179048.0,ns,1677
cost_int_to_utf8,,1,1,bytes,86833551.0,ns,1716
cost_int_to_utf8,,1,1,bytes,88776353.0,ns,1755
