group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_is_err,,1,1,bytes,1128835.0,ns,7
cost_is_err,,1,1,bytes,2260799.0,ns,14
cost_is_err,,1,1,bytes,3389143.0,ns,21
cost_is_err,,1,1,bytes,4542512.0,ns,28
cost_is_err,,1,1,bytes,5645442.0,ns,35
cost_is_err,,1,1,bytes,6765735.0,ns,42
cost_is_err,,1,1,bytes,7902790.0,ns,49
cost_is_err,,1,1,bytes,9024238.0,ns,56
cost_is_err,,1,1,bytes,10167882.0,ns,63
cost_is_err,,1,1,bytes,11273509.0,ns,70
cost_is_err,,1,1,bytes,12439240.0,ns,77
cost_is_err,,1,1,bytes,13545298.0,ns,84
cost_is_err,,1,1,bytes,14652953.0,ns,91
cost_is_err,,1,1,bytes,15860468.0,ns,98
cost_is_err,,1,1,bytes,16921572.0,ns,105
cost_is_err,,1,1,bytes,18058713.0,ns,112
cost_is_err,,1,1,bytes,19152654.0,ns,119
cost_is_err,,1,1,bytes,20285567.0,ns,126
cost_is_err,,1,1,bytes,21439301.0,ns,133
cost_is_err,,1,1,bytes,22526062.0,ns,140
cost_is_err,,1,1,bytes,24011949.0,ns,147
cost_is_err,,1,1,bytes,24851875.0,ns,154
cost_is_err,,1,1,bytes,26068443.0,ns,161
cost_is_err,,1,1,bytes,27156526.0,ns,168
cost_is_err,,1,1,bytes,28248209.0,ns,175
cost_is_err,,1,1,bytes,29297246.0,ns,182
cost_is_err,,1,1,bytes,30494690.0,ns,189
cost_is_err,,1,1,bytes,31629530.0,ns,196
cost_is_err,,1,1,bytes,32752742.0,ns,203
cost_is_err,,1,1,bytes,33886554.0,ns,210
cost_is_err,,1,1,bytes,34972882.0,ns,217
cost_is_err,,1,1,bytes,36067766.0,ns,224
cost_is_err,,1,1,bytes,37231726.0,ns,231
cost_is_err,,1,1,bytes,38307343.0,ns,238
cost_is_err,,1,1,bytes,39435224.0,ns,245
cost_is_err,,1,1,bytes,40548534.0,ns,252
cost_is_err,,1,1,bytes,41682799.0,ns,259
cost_is_err,,1,1,bytes,42778612.0,ns,266
cost_is_err,,1,1,bytes,43864704.0,ns,273
cost_is_err,,1,1,bytes,45099005.0,ns,280
cost_is_err,,1,1,bytes,46307240.0,ns,287
cost_is_err,,1,1,bytes,47684828.0,ns,294
cost_is_err,,1,1,bytes,48514611.0,ns,301
cost_is_err,,1,1,bytes,49665237.0,ns,308
cost_is_err,,1,1,bytes,50781714.0,ns,315
cost_is_err,,1,1,bytes,52331204.0,ns,322
cost_is_err,,1,1,bytes,53316027.0,ns,329
cost_is_err,,1,1,bytes,54254787.0,ns,336
cost_is_err,,1,1,bytes,55358034.0,ns,343
cost_is_err,,1,1,bytes,56490947.0,ns,350
cost_is_err,,1,1,bytes,57579074.0,ns,357
cost_is_err,,1,1,bytes,58698344.0,ns,364
cost_is_err,,1,1,bytes,59738648.0,ns,371
cost_is_err,,1,1,bytes,60945322.0,ns,378
cost_is_err,,1,1,bytes,62078286.0,ns,385
cost_is_err,,1,1,bytes,63332726.0,ns,392
cost_is_err,,1,1,bytes,64294826.0,ns,399
cost_is_err,,1,1,bytes,65328754.0,ns,406
cost_is_err,,1,1,bytes,66398562.0,ns,413
cost_is_err,,1,1,bytes,67859251.0,ns,420
cost_is_err,,1,1,bytes,69345580.0,ns,427
cost_is_err,,1,1,bytes,70281158.0,ns,434
cost_is_err,,1,1,bytes,71503980.0,ns,441
cost_is_err,,1,1,bytes,72826490.0,ns,448
cost_is_err,,1,1,bytes,73608530.0,ns,455
cost_is_err,,1,1,bytes,74617066.0,ns,462
cost_is_err,,1,1,bytes,75660187.0,ns,469
cost_is_err,,1,1,bytes,76834766.0,ns,476
cost_is_err,,1,1,bytes,77964037.0,ns,483
cost_is_err,,1,1,bytes,79189569.0,ns,490
cost_is_err,,1,1,bytes,80197130.0,ns,497
cost_is_err,,1,1,bytes,81390674.0,ns,504
cost_is_err,,1,1,bytes,82360426.0,ns,511
cost_is_err,,1,1,bytes,83936782.0,ns,518
cost_is_err,,1,1,bytes,85229172.0,ns,525
cost_is_err,,1,1,bytes,85987215.0,ns,532
cost_is_err,,1,1,bytes,87053282.0,ns,539
cost_is_err,,1,1,bytes,88023077.0,ns,546
cost_is_err,,1,1,bytes,89081204.0,ns,553
cost_is_err,,1,1,bytes,90222329.0,ns,560
cost_is_err,,1,1,bytes,91442988.0,ns,567
cost_is_err,,1,1,bytes,92636083.0,ns,574
cost_is_err,,1,1,bytes,94313003.0,ns,581
cost_is_err,,1,1,bytes,95142927.0,ns,588
cost_is_err,,1,1,bytes,95923839.0,ns,595
cost_is_err,,1,1,bytes,97403664.0,ns,602
cost_is_err,,1,1,bytes,98375444.0,ns,609
cost_is_err,,1,1,bytes,99625881.0,ns,616
cost_is_err,,1,1,bytes,101007662.0,ns,623
cost_is_err,,1,1,bytes,101840002.0,ns,630
cost_is_err,,1,1,bytes,102851408.0,ns,637
cost_is_err,,1,1,bytes,104102483.0,ns,644
cost_is_err,,1,1,bytes,105194801.0,ns,651
cost_is_err,,1,1,bytes,106100770.0,ns,658
cost_is_err,,1,1,bytes,107215510.0,ns,665
cost_is_err,,1,1,bytes,108722781.0,ns,672
cost_is_err,,1,1,bytes,109949633.0,ns,679
cost_is_err,,1,1,bytes,110681155.0,ns,686
cost_is_err,,1,1,bytes,111829259.0,ns,693
cost_is_err,,1,1,bytes,113113974.0,ns,700
